rollout/ep_len_mean,time/episodes,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss
89.5,4,3559,1200,0.26089899999999977,0,,,,,
196.25,8,3514,3008,34.71481924999999,0,,,,,
265.4166666666667,12,3542,4944,59.752554083333315,1,,,,,
296.0,16,3473,6000,55.6480439375,1,,,,,
298.45,20,3524,7504,47.353083500000004,2,,,,,
282.6666666666667,24,3521,8360,44.13140733333333,2,,,,,
280.10714285714283,28,3495,8872,39.049860821428574,2,,,,,
273.8125,32,3267,10152,39.156350343750006,3,,,,,
266.72222222222223,36,2351,10712,40.16640275,4,0.10000000149011612,0.0003,64,5.113998854532838,-0.8158456645905972
247.775,40,1820,11296,44.25168565,6,0.10000000149011612,0.0003,160,6.7954881973564625,-1.4654668681323528
228.5681818181818,44,1691,11768,40.322773500000004,6,0.10000000149011612,0.0003,192,5.107094978913665,-1.813889816403389
242.0625,48,1454,12520,57.48415497916667,8,0.10000000149011612,0.0003,288,6.9984524063766,-3.1324427872896194
254.6153846153846,52,1023,15512,82.01110698076923,15,0.10000000149011612,0.0003,672,5.1296228766441345,-12.4107226729393
279.2142857142857,56,898,17288,108.29350964285713,19,0.10000000149011612,0.0003,896,5.74237833917141,-17.28738182783127
283.85,60,803,19616,120.75625703333331,24,0.10000000149011612,0.0003,1184,6.728010222315788,-22.284047782421112
296.34375,64,762,21224,136.51246171875,27,0.10000000149011612,0.0003,1376,8.478345602750778,-25.003530204296112
314.20588235294116,68,710,23760,146.2554768235294,33,0.10000000149011612,0.0003,1696,7.29541203379631,-28.86930364370346
326.5416666666667,72,674,25680,157.12532712499998,38,0.10000000149011612,0.0003,1952,8.317729398608208,-30.848850190639496
340.9342105263158,76,635,28560,165.7771583026316,44,0.10000000149011612,0.0003,2304,7.864004343748093,-32.8292116522789
351.425,80,622,29912,173.21380482499998,48,0.10000000149011612,0.0003,2464,9.139621809124947,-33.59813445806503
357.8095238095238,84,608,31280,182.30714977380953,51,0.10000000149011612,0.0003,2656,8.380892604589462,-34.4141982793808
365.2613636363636,88,594,34016,186.2713068181818,57,0.10000000149011612,0.0003,2976,8.503241941332817,-35.139237344264984
370.5652173913044,92,584,35768,191.7828558804348,61,0.10000000149011612,0.0003,3200,8.733851283788681,-35.683629155159
369.0416666666667,96,578,36400,192.69335425,62,0.10000000149011612,0.0003,3296,8.49360305070877,-36.17175114154816
363.04,100,574,37432,197.63834866000002,65,0.10000000149011612,0.0003,3424,8.53627324104309,-36.57666754722595
367.22,104,566,38384,208.77197630000003,67,0.10000000149011612,0.0003,3520,10.685404986143112,-36.92164385318756
367.45,108,547,40456,216.81590332,73,0.10000000149011612,0.0003,3808,8.95753887295723,-37.522793769836426
371.36,112,537,42680,225.94349038000004,79,0.10000000149011612,0.0003,4064,10.098412916064262,-36.940858364105225
379.85,116,525,44744,233.89797521,85,0.10000000149011612,0.0003,4320,9.145557284355164,-37.00508451461792
391.52,120,512,47480,243.73968804,92,0.10000000149011612,0.0003,4672,9.5020542293787,-37.64322209358215
403.52,124,507,48648,253.07684833,95,0.10000000149011612,0.0003,4832,9.74464763700962,-38.25948238372803
