policy,seed,episode,ep_return,steps,explored_voxels,coverage_pct,visited_rooms,success,crashed
heuristic,7,12,675.99,380,1024,100.0,6,1,0
heuristic,7,13,470.95,600,1014,99.02,5,0,0
heuristic,7,14,297.59,556,909,88.77,4,0,1
heuristic,7,15,395.99,600,932,91.02,5,0,0
heuristic,7,16,2.58,17,447,43.65,1,0,1
heuristic,7,17,754.42,328,1020,99.61,6,1,0
heuristic,7,18,662.23,483,1020,99.61,6,1,0
heuristic,7,19,805.29,575,1024,100.0,6,1,0
heuristic,7,20,-3.22,72,204,19.92,1,0,1
heuristic,13,1,442.09,207,932,91.02,4,0,1
heuristic,13,2,394.89,600,845,82.52,4,0,0
heuristic,13,3,618.88,348,1024,100.0,6,1,0
heuristic,13,4,697.82,575,1024,100.0,6,1,0
heuristic,13,5,347.2,600,955,93.26,4,0,0
heuristic,13,6,44.38,49,250,24.41,1,0,1
heuristic,13,7,-7.57,29,197,19.24,1,0,1
heuristic,13,8,-20.03,69,172,16.8,1,0,1
heuristic,13,9,423.65,210,945,92.29,4,0,1
heuristic,13,10,460.71,600,987,96.39,5,0,0
heuristic,13,11,744.1,377,1023,99.9,6,1,0
heuristic,13,12,-12.92,111,175,17.09,1,0,1
heuristic,13,13,602.49,600,958,93.55,5,0,0
heuristic,13,14,275.89,600,830,81.05,3,0,0
heuristic,13,15,585.86,600,1023,99.9,5,0,0
heuristic,13,16,3.71,148,201,19.63,1,0,1
heuristic,13,17,316.56,600,831,81.15,3,0,0
heuristic,13,18,260.4,600,730,71.29,3,0,0
heuristic,13,19,445.98,191,973,95.02,4,0,1
heuristic,13,20,538.31,600,1021,99.71,5,0,0
heuristic,42,1,522.09,600,1008,98.44,5,0,0
heuristic,42,2,376.19,449,939,91.7,4,0,1
heuristic,42,3,301.28,600,800,78.12,3,0,0
heuristic,42,4,336.38,426,986,96.29,4,0,1
heuristic,42,5,534.75,600,1019,99.51,5,0,0
heuristic,42,6,709.78,375,1022,99.8,6,1,0
heuristic,42,7,462.8,600,996,97.27,5,0,0
heuristic,42,8,511.39,354,974,95.12,5,0,1
heuristic,42,9,649.03,379,1023,99.9,6,1,0
heuristic,42,10,449.16,600,996,97.27,5,0,0
heuristic,42,11,412.86,600,999,97.56,5,0,0
heuristic,42,12,379.45,600,829,80.96,3,0,0
heuristic,42,13,642.37,492,1023,99.9,6,1,0
heuristic,42,14,376.2,600,932,91.02,5,0,0
heuristic,42,15,677.52,328,1023,99.9,6,1,0
heuristic,42,16,451.92,600,987,96.39,5,0,0
heuristic,42,17,648.26,374,1024,100.0,6,1,0
heuristic,42,18,-14.67,11,397,38.77,1,0,1
heuristic,42,19,521.11,600,1021,99.71,5,0,0
heuristic,42,20,-8.74,12,436,42.58,1,0,1
heuristic,123,1,494.7,600,1005,98.14,5,0,0
heuristic,123,2,521.15,600,1024,100.0,5,0,0
heuristic,123,3,470.09,219,922,90.04,4,0,1
heuristic,123,4,718.57,377,1024,100.0,6,1,0
heuristic,123,5,756.79,335,1020,99.61,6,1,0
heuristic,123,6,701.36,373,1023,99.9,6,1,0
heuristic,123,7,253.08,449,854,83.4,4,0,1
heuristic,123,8,610.66,449,1021,99.71,5,0,1
heuristic,123,9,478.72,600,992,96.88,5,0,0
heuristic,123,10,2.46,18,430,41.99,1,0,1
heuristic,123,11,417.72,489,954,93.16,5,0,1
heuristic,123,12,351.53,222,919,89.75,4,0,1
heuristic,123,13,563.32,600,1017,99.32,5,0,0
heuristic,123,14,323.85,222,583,56.93,3,0,1
heuristic,123,15,1.59,154,187,18.26,1,0,1
heuristic,123,16,4.16,29,195,19.04,1,0,1
heuristic,123,17,462.8,600,989,96.58,5,0,0
heuristic,123,18,377.76,486,930,90.82,5,0,1
heuristic,123,19,437.93,216,918,89.65,4,0,1
heuristic,123,20,-19.84,29,168,16.41,1,0,1
heuristic,2025,1,654.84,448,1023,99.9,5,0,1
heuristic,2025,2,409.02,452,942,91.99,5,0,1
heuristic,2025,3,-21.36,113,173,16.89,1,0,1
heuristic,2025,4,385.84,600,893,87.21,5,0,0
heuristic,2025,5,441.96,180,950,92.77,4,0,1
heuristic,2025,6,-4.94,73,175,17.09,1,0,1
heuristic,2025,7,529.15,264,877,85.64,4,0,1
heuristic,2025,8,716.78,374,1024,100.0,6,1,0
heuristic,2025,9,35.88,68,223,21.78,1,0,1
heuristic,2025,10,631.29,523,1021,99.71,6,1,0
heuristic,2025,11,375.66,447,931,90.92,5,0,1
heuristic,2025,12,483.34,600,994,97.07,5,0,0
heuristic,2025,13,-23.05,30,167,16.31,1,0,1
heuristic,2025,14,763.33,330,1019,99.51,6,1,0
heuristic,2025,15,-19.29,70,173,16.89,1,0,1
heuristic,2025,16,775.5,337,1022,99.8,6,1,0
heuristic,2025,17,588.45,600,1023,99.9,5,0,0
heuristic,2025,18,665.48,378,1024,100.0,6,1,0
heuristic,2025,19,-19.56,28,165,16.11,1,0,1
heuristic,2025,20,340.38,332,922,90.04,4,0,1
