episode,timestep,ep_return,steps,explored_voxels,coverage_pct,visited_rooms,success,crashed,min_lidar,ent_coef,actor_loss,critic_loss
1,752,33.72,94,412,40.2,1,0,1,0.097,0.1,0.0,0.0
2,1448,114.47,181,379,37.0,1,0,1,0.128,0.1,0.0,0.0
3,1960,32.52,245,421,41.1,1,0,1,0.128,0.1,0.0,0.0
4,2016,-32.67,252,282,27.5,1,0,1,0.137,0.1,0.0,0.0
5,2552,13.59,74,209,20.4,1,0,1,0.08,0.1,0.0,0.0
6,3000,114.76,375,447,43.7,1,0,1,0.112,0.1,0.0,0.0
7,3600,7.55,198,200,19.5,1,0,1,0.185,0.1,0.0,0.0
8,4096,-10.0,331,280,27.3,1,0,1,0.155,0.1,0.0,0.0
9,4456,-9.13,107,357,34.9,1,0,1,0.141,0.1,0.0,0.0
10,4648,65.05,581,447,43.7,1,0,1,0.108,0.1,0.0,0.0
11,4664,-29.26,583,450,43.9,1,0,1,0.18,0.1,0.0,0.0
12,4800,199.76,600,528,51.6,2,0,0,1.702,0.1,0.0,0.0
13,5104,112.15,319,521,50.9,1,0,1,0.173,0.1,0.0,0.0
14,5496,22.9,175,390,38.1,1,0,1,0.182,0.1,0.0,0.0
15,5552,80.53,600,452,44.1,1,0,0,1.808,0.1,0.0,0.0
16,6224,-21.78,197,408,39.8,1,0,1,0.188,0.1,0.0,0.0
17,6248,-28.63,94,335,32.7,1,0,1,0.197,0.1,0.0,0.0
18,6280,16.13,410,449,43.8,1,0,1,0.174,0.1,0.0,0.0
19,6416,1.33,108,213,20.8,1,0,1,0.154,0.1,0.0,0.0
20,6432,-4.84,247,446,43.6,1,0,1,0.207,0.1,0.0,0.0
21,7080,30.09,285,433,42.3,1,0,1,0.148,0.1,0.0,0.0
22,7432,78.64,148,482,47.1,1,0,1,0.128,0.1,0.0,0.0
23,7656,66.55,153,487,47.6,1,0,1,0.098,0.1,0.0,0.0
24,8760,-17.41,166,195,19.0,1,0,1,0.123,0.1,0.0,0.0
25,9464,46.9,600,485,47.4,1,0,0,1.571,0.1,0.0,0.0
26,9904,327.54,600,509,49.7,2,0,0,1.407,0.1,0.0,0.0
27,10096,15.43,477,438,42.8,1,0,1,0.11,0.1,0.0,0.0
28,10344,94.11,408,480,46.9,1,0,1,0.107,0.1,-0.6298,4.9949
29,10576,37.2,60,435,42.5,1,0,1,0.122,0.1,-0.8696,5.7485
