time/episodes,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/ent_coef,train/critic_loss,train/n_updates,train/learning_rate,train/ent_coef_loss
208,249,382,95408,247.12013709000001,509.7,-91.33850145339966,0.09501951956190169,12.097427174448967,10656,0.0003,-0.8596428937744349
212,255,381,97624,242.44325816999998,515.15,-89.46506071090698,0.09120534965768456,15.69021663069725,10944,0.0003,-0.2064159435685724
216,263,380,100208,240.2154159,515.15,-87.97429776191711,0.08712345198728144,13.325500965118408,11264,0.0003,-0.8241841231938452
220,267,381,101992,243.39773054000005,509.37,-86.65562057495117,0.0843798944260925,12.999767988920212,11488,0.0003,0.11424577375873923
224,273,381,104392,233.51169717999997,509.37,-85.46715497970581,0.08191631268709898,15.791922867298126,11776,0.0003,-0.3303528216201812
228,278,382,106440,230.8104373,503.9,-84.65615963935852,0.08086547069251537,11.91598355770111,12032,0.0003,0.19349408289417624
232,285,382,108888,232.43042527,509.72,-84.26330375671387,0.08201945410110056,13.437704652547836,12352,0.0003,0.040731633082032204
236,287,382,109952,237.08445368999998,515.56,-84.38614892959595,0.08177222567610443,16.781749576330185,12480,0.0003,-0.005800795275717974
240,297,382,113688,237.25021370000002,515.56,-82.76338577270508,0.08140697563067079,19.747365355491638,12960,0.0003,-0.2717197397723794
244,300,381,114752,242.07390759999996,521.44,-81.66559672355652,0.08199808793142438,15.152331709861755,13088,0.0003,-0.40058953943662345
248,309,382,118488,241.83655689000005,524.77,-79.69606471061707,0.07989402418024838,15.196350201964378,13536,0.0003,-0.29601501440629363
252,312,382,119552,240.3835627,527.81,-78.59568738937378,0.0792136862874031,14.424820452928543,13664,0.0003,-0.21557457651942968
256,320,381,122072,240.72473074,529.14,-77.56605648994446,0.07893730816431344,11.4635099619627,13984,0.0003,-0.0967071505729109
260,329,377,124352,236.90738392,532.92,-76.6660590171814,0.0791755283717066,15.834420174360275,14272,0.0003,-0.20177962142042816
264,340,372,126872,230.57523851999997,532.92,-75.39972829818726,0.0777675430290401,12.247910350561142,14592,0.0003,0.1832130562979728
268,348,370,129008,229.04230067999998,530.45,-73.6418194770813,0.07721596537157893,12.016389638185501,14848,0.0003,-0.22506663482636213
272,352,368,130144,220.43148348999995,515.24,-73.2830765247345,0.07539762556552887,13.871375948190689,15008,0.0003,-0.4320137647446245
276,357,368,131672,225.01199933000004,523.09,-71.78409218788147,0.07373725483193994,14.332141682505608,15200,0.0003,0.5104786169249564
280,364,367,134048,228.18658771000003,530.5,-70.24838066101074,0.07303195726126432,12.79172520339489,15488,0.0003,-0.34174969140440226
284,371,366,136024,227.90721246,524.58,-69.43607139587402,0.07274056412279606,16.347477093338966,15744,0.0003,0.3838503828737885
288,379,365,138848,233.95670092,530.44,-67.5779709815979,0.07261632569134235,15.120541200041771,16096,0.0003,-0.16336054308339953
292,385,365,140824,239.02423135,536.21,-65.59823536872864,0.07158777629956603,14.093429654836655,16352,0.0003,-0.5731192827224731
296,391,364,142864,244.18257391000003,537.23,-64.50643134117126,0.07173799793235958,16.078441813588142,16608,0.0003,0.2792238376569003
300,395,364,143984,248.48515561999997,533.8,-64.41739177703857,0.07184117054566741,16.059234380722046,16736,0.0003,0.09680198947899044
304,404,362,146504,256.62193552,522.58,-63.87530195713043,0.07298322021961212,14.267399817705154,17056,0.0003,-0.24194828525651246
308,409,362,148448,265.35973107,531.66,-63.89285087585449,0.07266985741443932,13.529813379049301,17280,0.0003,-0.32915676734410226
312,419,360,151304,270.98632445000004,531.66,-63.04972493648529,0.07313105161301792,16.115608870983124,17664,0.0003,-0.40107534686103463
316,423,360,152480,266.83664206000003,525.94,-62.07073712348938,0.07260618568398058,13.169329166412354,17792,0.0003,-0.11754226626362652
320,430,359,154536,273.67735756999997,525.15,-62.099812626838684,0.07397292624227703,15.344533562660217,18048,0.0003,0.09540869714692235
324,434,358,155792,285.15001105999994,515.33,-62.70455598831177,0.07445001951418817,14.026536285877228,18208,0.0003,0.7199998865835369
328,438,358,157264,294.72389803,512.66,-62.5469628572464,0.07562142238020897,17.49205370247364,18400,0.0003,-0.014204378705471754
332,443,358,158896,298.66570145000003,507.71,-62.141128182411194,0.07602855144068599,17.75661963224411,18592,0.0003,-0.09865333908237517
336,449,356,160280,298.37626552999996,498.76,-63.00525605678558,0.07574338582344353,16.891579523682594,18784,0.0003,-0.18350884062238038
340,453,356,161664,297.79276784999996,491.21,-62.81878972053528,0.0747322931420058,15.620756849646568,18944,0.0003,-0.01434259710367769
344,455,356,162432,301.5604928,484.53,-62.23058521747589,0.0748759072739631,16.481584206223488,19040,0.0003,-0.23070179554633796
348,462,356,164864,303.88441673,475.31,-61.68114411830902,0.07352282688952982,17.423770278692245,19328,0.0003,-0.11521384911611676
352,466,356,166464,302.25729249,465.1,-62.41197884082794,0.0734876322094351,16.00467850267887,19552,0.0003,0.17414282844401896
356,469,356,167616,307.18707403,457.93,-62.46368718147278,0.07402394316159189,15.88346703350544,19680,0.0003,0.12569866934791207
360,474,356,169448,307.80057673,450.6,-61.17416739463806,0.07440043753013015,16.343429416418076,19904,0.0003,-0.03805796126835048
364,479,356,170944,312.14038937000004,446.66,-61.218092918395996,0.07402477343566716,19.214984819293022,20096,0.0003,-0.14461843110620975
368,487,355,173448,311.19255923000003,442.23,-61.79469811916351,0.07277437881566584,17.679691314697266,20416,0.0003,-0.10982315381988883
372,494,355,175672,316.67984818,457.44,-62.049742579460144,0.0706178571563214,15.607021450996399,20704,0.0003,0.01778266462497413
376,499,355,177408,314.77163024000004,458.16,-61.07553577423096,0.06967219663783908,19.587319657206535,20896,0.0003,0.09961257223039865
380,509,354,180472,313.06381287,460.79,-60.45624649524689,0.06958590028807521,19.033696860074997,21280,0.0003,-0.3576519195921719
384,514,354,182208,311.69235234,466.71,-59.65636610984802,0.06697971816174686,17.749873027205467,21504,0.0003,0.005158113082870841
388,521,353,184624,311.36949223999994,460.7,-58.721670746803284,0.06678594532422721,15.647721111774445,21824,0.0003,-0.29041957505978644
392,525,353,186024,309.10289962,454.23,-58.646485328674316,0.066848419373855,15.603081911802292,21984,0.0003,-0.03847065777517855
396,529,353,187480,311.65862783,451.36,-58.84653103351593,0.0665768797043711,18.52026331424713,22176,0.0003,-0.27442283602431417
400,534,353,189072,316.6580872799999,444.68,-58.41575860977173,0.06723559112288058,18.05796927213669,22368,0.0003,0.20199052465613931
404,538,353,190648,317.15661789999996,446.11,-58.02471041679382,0.06797085586003959,20.09936533868313,22560,0.0003,-0.11165935092139989
408,542,353,192144,318.62956602,434.55,-58.80071485042572,0.06951535469852388,21.453788846731186,22752,0.0003,0.06593316188082099
412,544,353,192768,322.83001342000006,428.32,-58.35629117488861,0.06981030572205782,18.733389616012573,22816,0.0003,-0.07392484927549958
416,551,353,195272,328.78313512,425.53,-58.43516385555267,0.06694566993974149,21.008288770914078,23136,0.0003,-0.12533986661583185
420,555,353,196528,323.29355851,423.57,-57.37328016757965,0.0656016985885799,18.816473677754402,23296,0.0003,0.31465645832940936
424,560,352,197896,313.30921856,428.33,-57.45478320121765,0.06586451339535415,18.681650757789612,23488,0.0003,0.4498287090100348
428,566,353,200072,310.47744143,425.26,-56.96594321727753,0.06553572998382151,20.27709451317787,23744,0.0003,-0.237149762455374
