time/episodes,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/ent_coef,train/critic_loss,train/n_updates,train/learning_rate,train/ent_coef_loss
4,1,2798,2960,56.2813345,180.25,,,,,,
8,1,2846,4496,27.331486374999997,227.5,,,,,,
12,1,2812,4800,47.611027538461535,287.53846153846155,,,,,,
16,1,2778,5296,41.770207187500006,276.6875,,,,,,
20,2,2843,7480,32.29072955,257.6,,,,,,
24,3,2821,8592,34.520985708333335,287.7083333333333,,,,,,
28,3,2765,9968,23.745066607142856,308.25,,,,,,
32,6,1760,10736,28.465473818181817,290.8484848484849,-4.861281618475914,0.9858431629836559,4.442522846162319,64,0.0003,-0.07202755473554134
36,8,1379,11296,31.577954638888887,282.6111111111111,-7.76710931956768,0.9578426778316498,5.855195980519056,160,0.0003,-0.2174934782087803
40,9,1218,11872,29.770115624999995,278.525,-9.843693524599075,0.9396315086632967,7.3959942907094955,224,0.0003,-0.31393481884151697
44,15,932,14032,35.95306020454546,267.8863636363636,-18.6088427901268,0.8703722320497036,7.23205079510808,480,0.0003,-0.6906348448246717
48,21,767,16216,57.743737333333335,288.75,-29.07159113883972,0.8000656552612782,7.95521293208003,768,0.0003,-1.05998220667243
52,23,732,16912,73.21142053846152,303.4807692307692,-32.58145970106125,0.7783172838389874,6.584975451231003,864,0.0003,-1.1707357056438923
56,25,692,18016,76.36893607142858,299.3392857142857,-37.104490995407104,0.7504310104995966,7.976618327200413,992,0.0003,-1.3188055977225304
60,41,513,21472,99.16917991666668,319.3833333333333,-50.929250597953796,0.668355755507946,8.522403337061405,1408,0.0003,-1.7105559036135674
64,43,509,22016,108.780416125,320.359375,-52.878198862075806,0.6567689068615437,7.2446465864777565,1472,0.0003,-1.7685198113322258
68,53,481,25816,123.11645436764705,336.80882352941177,-66.73179292678833,0.5772166680544615,10.226210966706276,1952,0.0003,-2.150707669556141
72,56,471,26752,131.21570634722224,343.5138888888889,-69.50909447669983,0.5576771311461926,10.364061698317528,2080,0.0003,-2.2817639634013176
76,59,466,27616,137.54217731578947,349.32894736842104,-71.67682456970215,0.5432941410690546,10.627012059092522,2176,0.0003,-2.3631300404667854
80,71,437,31312,140.71312512499998,354.7375,-79.99361634254456,0.4767940603196621,11.601333126425743,2656,0.0003,-2.7441644817590714
84,72,436,31648,145.51072135714284,359.6309523809524,-80.13476896286011,0.47264054510742426,11.606843575835228,2688,0.0003,-2.7426670491695404
88,81,427,34736,148.47628137499999,363.85227272727275,-84.08669590950012,0.4249268742278218,12.408841490745544,3072,0.0003,-3.1880040243268013
92,86,422,36416,154.6550342826087,374.1195652173913,-85.21997141838074,0.39887628704309464,12.217612132430077,3296,0.0003,-3.3858251944184303
96,87,420,36944,153.26233186458333,371.9375,-85.3499128818512,0.39173457212746143,13.78268088400364,3360,0.0003,-3.386189714074135
100,98,410,40456,151.38339857,375.78,-88.28651332855225,0.3462259480729699,15.509391397237778,3808,0.0003,-3.573425702750683
104,101,409,41432,159.90881554999999,392.57,-88.5457558631897,0.3372560488060117,13.962310060858727,3904,0.0003,-3.628187544643879
108,112,402,45256,168.85455002000003,405.58,-91.31764078140259,0.2988996496424079,16.860917508602142,4384,0.0003,-3.1900538951158524
112,115,398,46096,173.32076113000002,410.95,-92.645094871521,0.29004756454378366,14.104539394378662,4512,0.0003,-3.1520052924752235
116,123,398,49136,186.87012367000003,422.06,-94.50479030609131,0.2674807896837592,15.088290512561798,4864,0.0003,-3.1656339913606644
120,128,396,50896,195.45317403999996,438.81,-94.76277208328247,0.2537706308066845,16.001299887895584,5088,0.0003,-3.3031793534755707
124,137,392,53936,209.27553726000005,445.28,-96.59721112251282,0.23179666558280587,13.49905176460743,5472,0.0003,-2.986385092139244
128,142,391,55696,219.9004438,451.83,-96.91794490814209,0.2202701815403998,15.363570213317871,5696,0.0003,-3.0657433569431305
132,143,390,56144,224.96440192000003,454.92,-97.25960183143616,0.21704277582466602,13.351392567157745,5760,0.0003,-3.093745030462742
136,153,390,59944,230.13400069,466.91,-98.39851379394531,0.19526371220126748,13.780037820339203,6240,0.0003,-2.7144211903214455
140,155,390,60776,241.54653738000005,481.24,-98.78581166267395,0.19129740120843053,15.54915365576744,6336,0.0003,-2.742933325469494
144,162,391,63664,243.513753,492.9,-98.38987684249878,0.17660860205069184,16.217901289463043,6688,0.0003,-2.8992965668439865
148,166,391,65216,243.0028357,492.84,-97.63558387756348,0.16881882259622216,15.215604394674301,6880,0.0003,-2.952090620994568
