timestamp,step,ep_rew_mean,ep_len_mean,fps,entropy_loss,std,ckpt_file
2026-05-30 11:02:07,142336,-290.69525146484375,1000.0,83.0,-3.8855087757110596,0.8882406949996948,ppo_drone_80000_steps.zip
2026-05-30 11:32:07,293888,-272.414794921875,1000.0,84.0,-3.6167476177215576,0.8131527900695801,ppo_drone_80000_steps.zip
2026-05-30 12:02:07,447488,-270.6879577636719,1000.0,84.0,-3.4404959678649902,0.7715740203857422,ppo_drone_80000_steps.zip
2026-05-30 12:32:07,599040,-270.0102233886719,1000.0,84.0,-3.3241629600524902,0.7458157539367676,ppo_drone_80000_steps.zip
2026-05-30 13:02:08,49152,-102.89874267578125,245.75999450683594,68.0,-4.258593559265137,1.0008723735809326,ppo_drone_80000_steps.zip
2026-05-30 13:52:00,83968,-25.296276092529297,95.16999816894531,61.0,-4.252974033355713,0.9984557032585144,ppo_drone_80000_steps.zip
2026-05-30 14:22:02,106624,-39.96351623535156,144.82000732421875,101.0,-4.247411727905273,0.9971001148223877,ppo_drone_80000_steps.zip
2026-05-30 14:33:06,98432,-55.77204513549805,168.6699981689453,98.0,-4.24342155456543,0.9949584007263184,ppo_drone_80000_steps.zip
2026-05-30 14:53:12,100480,-47.1191291809082,150.97000122070312,100.0,-4.247157096862793,0.9964055418968201,ppo_drone_80000_steps.zip
2026-05-30 15:13:19,110720,-29.014278411865234,109.30000305175781,95.0,-4.23399019241333,0.9918990135192871,ppo_drone_80000_steps.zip
2026-05-30 15:33:25,106624,-54.75779342651367,165.8699951171875,102.0,-4.247206687927246,0.9965574145317078,ppo_drone_80000_steps.zip
2026-05-30 15:53:31,98432,-64.45301818847656,177.77999877929688,102.0,-4.2438507080078125,0.9958417415618896,ppo_drone_80000_steps.zip
2026-05-30 16:13:37,102528,-84.53166961669922,243.5500030517578,118.0,-4.254160404205322,0.9988319873809814,ppo_drone_80000_steps.zip
2026-05-30 16:33:43,90240,-55.38322830200195,160.64999389648438,109.0,-4.25066614151001,0.9975230097770691,ppo_drone_80000_steps.zip
2026-05-30 16:53:50,96384,-60.28253936767578,175.07000732421875,104.0,-4.246334552764893,0.995988130569458,ppo_drone_80000_steps.zip
2026-05-30 17:13:56,110720,-56.39122009277344,176.0500030517578,108.0,-4.245666980743408,0.9959110617637634,ppo_drone_80000_steps.zip
2026-05-30 17:34:02,108672,-68.60808563232422,210.35000610351562,106.0,-4.24813175201416,0.9972888827323914,ppo_drone_80000_steps.zip
2026-05-30 17:54:08,135296,-109.2483139038086,315.5400085449219,121.0,-4.225813388824463,0.9897801876068115,ppo_drone_80000_steps.zip
2026-05-30 18:14:14,98432,-80.79016876220703,227.8699951171875,114.0,-4.254894733428955,0.9993094801902771,ppo_drone_80000_steps.zip
2026-05-30 18:34:20,96384,-74.71471405029297,206.77000427246094,112.0,-4.250962257385254,0.9977604746818542,ppo_drone_80000_steps.zip
2026-05-30 18:54:26,116864,-79.87100982666016,237.52000427246094,107.0,-4.239745616912842,0.9940103888511658,ppo_drone_80000_steps.zip
2026-05-30 19:14:33,100480,-79.54502868652344,231.3699951171875,111.0,-4.252644062042236,0.998509407043457,ppo_drone_80000_steps.zip
2026-05-30 19:34:39,130620,-60.02911376953125,189.22999572753906,102.0,-4.220687389373779,0.9876331090927124,ppo_drone_80000_steps.zip
2026-05-30 19:54:45,112768,-83.42929077148438,242.4499969482422,108.0,-4.263421535491943,1.0025858879089355,ppo_drone_80000_steps.zip
2026-05-30 20:14:51,108672,-107.68900299072266,298.5799865722656,114.0,-4.2454304695129395,0.9959704279899597,ppo_drone_80000_steps.zip
2026-05-30 20:35:00,90240,-54.29438400268555,161.50999450683594,105.0,-4.255105495452881,0.9994577169418335,ppo_drone_80000_steps.zip
2026-05-30 20:55:06,104576,-89.5545654296875,260.8599853515625,114.0,-4.240530014038086,0.9944469928741455,ppo_drone_80000_steps.zip
2026-05-30 20:59:56,96384,-67.79507446289062,200.1199951171875,103.0,-4.248619556427002,0.997260570526123,ppo_drone_120000_steps.zip
2026-05-30 21:20:03,145600,-37.37944030761719,214.49000549316406,67.0,-4.235599517822266,0.9926834106445312,ppo_drone_140000_steps.zip
2026-05-30 21:40:10,149216,-47.36711883544922,246.88999938964844,72.0,-4.217272758483887,0.986888587474823,ppo_drone_140000_steps.zip
2026-05-30 22:00:17,193248,-173.84860229492188,637.4400024414062,72.0,-4.212104797363281,0.9853203296661377,ppo_drone_180000_steps.zip
2026-05-30 22:20:19,193248,-173.84860229492188,637.4400024414062,72.0,-4.212104797363281,0.9853203296661377,ppo_drone_180000_steps.zip
