rollout/ep_len_mean,time/episodes,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,train/n_updates,train/learning_rate,train/ent_coef
180.25,4,3347,0,2960,56.2813345,,,,,
227.5,8,3316,1,4496,27.331486374999997,,,,,
287.53846153846155,12,3286,1,4800,47.611027538461535,,,,,
276.6875,16,3287,1,5296,41.770207187500006,,,,,
257.6,20,3372,2,7480,32.29072955,,,,,
287.7083333333333,24,3396,2,8592,34.520985708333335,,,,,
308.25,28,3426,2,9968,23.745066607142856,,,,,
298.625,32,2266,4,10728,28.692069875,-1.2168688476085663,4.048723224550486,64,0.0003,0.20000000298023224
297.69444444444446,36,1764,6,11376,33.64681638888889,-2.0210379399359226,4.553418116644025,160,0.0003,0.20000000298023224
305.95,40,1029,14,15208,53.955843725,-10.03749230504036,3.366838175803423,640,0.0003,0.20000000298023224
319.6136363636364,44,964,16,16032,75.35870218181817,-11.898944765329361,4.4697327092289925,736,0.0003,0.20000000298023224
333.3333333333333,48,868,20,17768,96.4618126875,-16.114186108112335,4.238424651324749,960,0.0003,0.20000000298023224
321.03846153846155,52,823,22,18864,104.64402313461537,-18.2200625538826,5.926621280610561,1088,0.0003,0.20000000298023224
327.44642857142856,56,800,24,19272,130.59016833928573,-19.250350832939148,5.7260530441999435,1152,0.0003,0.20000000298023224
324.1,60,757,27,20832,155.31653163333334,-22.834095001220703,7.041673727333546,1344,0.0003,0.20000000298023224
318.953125,64,738,29,21592,163.29762376562502,-24.321630775928497,7.881655812263489,1440,0.0003,0.20000000298023224
314.55882352941177,68,703,33,23664,175.48953076470593,-28.0296191573143,8.381695106625557,1696,0.0003,0.20000000298023224
324.4166666666667,72,658,38,25416,185.20107290277778,-30.942342281341553,8.592551484704018,1920,0.0003,0.20000000298023224
328.9342105263158,76,624,43,27392,190.24755285526314,-33.44937163591385,10.496454417705536,2144,0.0003,0.20000000298023224
337.9875,80,599,48,29312,197.70337413750002,-35.92936551570892,10.970919206738472,2400,0.0003,0.20000000298023224
341.6904761904762,84,589,52,30656,194.91594102380955,-36.9575617313385,8.741013899445534,2560,0.0003,0.20000000298023224
342.67045454545456,88,574,56,32608,195.71470477272726,-38.15348732471466,10.05341725051403,2816,0.0003,0.20000000298023224
349.32608695652175,92,558,61,34160,196.54269746739132,-40.05842995643616,10.485523849725723,3008,0.0003,0.20000000298023224
356.1666666666667,96,547,67,37048,195.95439208333332,-40.57154631614685,11.173644453287125,3360,0.0003,0.20000000298023224
365.92,100,540,70,38064,197.14847422,-41.26712691783905,10.615640684962273,3488,0.0003,0.20000000298023224
377.62,104,523,78,41024,204.80041627999998,-43.26942706108093,12.078319042921066,3872,0.0003,0.20000000298023224
389.84,108,519,81,42256,213.95856898000002,-43.172478556632996,13.063398316502571,4032,0.0003,0.20000000298023224
396.33,112,514,87,45056,220.57513261999998,-44.79198956489563,11.359409019351006,4352,0.0003,0.20000000298023224
401.71,116,511,91,47008,226.29518145999998,-45.20056641101837,10.909031450748444,4608,0.0003,0.20000000298023224
414.6,120,510,95,48560,236.88850691,-45.36935794353485,12.183284014463425,4800,0.0003,0.20000000298023224
