train/learning_rate,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/loss,rollout/ep_rew_mean,time/episodes,time/fps,rollout/exploration_rate,train/n_updates
0.0001,11162,111.62,8,1.084409236907959,39.228730739999996,100,1321,0.9293073333333333,290
0.0001,31879,207.17,40,1.3328779935836792,149.59915800000002,200,795,0.7980996666666668,5469
0.0001,47961,160.82,65,1.9128501415252686,128.8215564,300,736,0.6962469999999998,9490
0.0001,55188,72.27,76,4.588690757751465,48.69384026000001,400,720,0.6504759999999998,11296
0.0001,62675,74.87,88,2.078587532043457,61.831162080000006,500,707,0.603058333333333,13168
0.0001,77101,144.26,112,2.5415661334991455,151.19025163000003,600,686,0.5116936666666668,16775
0.0001,103386,262.85,157,6.3637895584106445,261.24138586000004,700,656,0.34522200000000014,23346
0.0001,117784,143.98,183,5.8605546951293945,127.58783272999999,800,640,0.25403466666666674,26945
0.0001,135916,181.32,217,5.968977451324463,166.56173836000002,900,624,0.13919866666666647,31478
0.0001,165027,291.11,274,5.107649326324463,269.50585298999994,1000,601,0.05,38756
0.0001,199792,347.65,342,5.193796157836914,235.70282310000002,1100,582,0.05,47447
0.0001,228048,282.56,398,3.4729981422424316,239.54126155999998,1200,572,0.05,54511
0.0001,260839,327.91,458,2.301863193511963,275.69555758,1300,568,0.05,62709
0.0001,285726,248.87,499,4.576970100402832,316.30281951,1400,572,0.05,68931
0.0001,302521,167.95,526,3.8106942176818848,260.50846611000003,1500,574,0.05,73130
0.0001,317354,148.33,549,3.262673854827881,270.74969932,1600,577,0.05,76838
0.0001,330389,130.35,571,5.93207311630249,245.88927078999998,1700,578,0.05,80097
0.0001,346638,162.49,598,5.390248775482178,291.41315461,1800,579,0.05,84159
0.0001,368069,214.31,634,3.6377384662628174,283.11911661999994,1900,580,0.05,89517
0.0001,389386,213.17,668,6.595661163330078,296.88833021000005,2000,582,0.05,94846
0.0001,414314,249.28,708,2.428036689758301,262.46484015999994,2100,585,0.05,101078
0.0001,441921,276.07,752,3.158505916595459,272.64997167999996,2200,587,0.05,107980
0.0001,470354,284.33,798,4.568212985992432,273.46878429000003,2300,588,0.05,115088
0.0001,498528,281.74,843,2.1920247077941895,275.55977626000004,2400,590,0.05,122131
0.0001,528006,294.78,891,3.396167039871216,290.36494121,2500,592,0.05,129501
0.0001,560758,327.52,943,1.886101484298706,260.12262612,2600,594,0.05,137689
0.0001,593571,328.13,996,4.13016939163208,271.94318632,2700,595,0.05,145892
0.0001,625993,324.22,1048,1.1267952919006348,266.36057279,2800,597,0.05,153998
0.0001,658429,324.36,1100,1.7373533248901367,267.20915425,2900,598,0.05,162107
0.0001,695055,366.26,1159,3.2602970600128174,314.84460339,3000,599,0.05,171263
0.0001,733186,381.31,1220,2.96439790725708,255.37357743,3100,600,0.05,180796
0.0001,775996,428.1,1289,2.0031261444091797,323.48569886,3200,601,0.05,191498
0.0001,815631,396.35,1353,1.7377086877822876,322.62628505,3300,602,0.05,201407
0.0001,852126,364.95,1411,3.994439125061035,294.80152971,3400,603,0.05,210531
0.0001,885382,332.56,1464,1.93600332736969,346.22653398999995,3500,604,0.05,218845
0.0001,919718,343.36,1520,1.7654271125793457,351.5293917700001,3600,604,0.05,227429
0.0001,957382,376.64,1580,1.7408115863800049,342.9157427999999,3700,605,0.05,236845
0.0001,997882,405.0,1645,2.0352046489715576,343.5171012900001,3800,606,0.05,246970
