rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/loss,train/explained_variance,train/clip_range,train/std,train/learning_rate,train/value_loss,train/approx_kl
37.216899375,209.59375,8192,1,4104,1,,,,,,,,,,,
72.24277760000001,278.86,16384,2,3480,4,-4.258913880586624,-0.013688003087008838,0.1406494140625,10,36.7062873840332,0.00045365095138549805,0.2,1.0009759664535522,0.0003,95.43558783531189,0.010764416
99.97170508219178,308.09589041095893,24576,3,3479,7,-4.253514677286148,-0.013182329387927894,0.11075439453125,20,33.36491775512695,0.12304079532623291,0.2,0.9957995414733887,0.0003,75.40439114570617,0.011159724
130.91510509574465,331.9574468085106,32768,4,3496,9,-4.235351151227951,-0.009472986255423166,0.06724853515625,30,43.79745101928711,0.18528962135314941,0.2,0.9892616868019104,0.0003,99.64106583595276,0.007049162
159.03714630000002,362.24,40960,5,3507,11,-4.217297765612602,-0.008827139623463154,0.0588623046875,40,53.62639617919922,0.3360227942466736,0.2,0.9843679070472717,0.0003,111.97632279396058,0.0063527348
206.32337176999997,408.3,49152,6,3512,13,-4.206570896506309,-0.008049151803425048,0.05416259765625,50,54.04957962036133,0.4458615779876709,0.2,0.9822651743888855,0.0003,110.55564904212952,0.0065458207
236.08172674999997,422.73,57344,7,3511,16,-4.2003462463617325,-0.0075114520172064655,0.05325927734375,60,57.795467376708984,0.5953576862812042,0.2,0.9802815318107605,0.0003,127.04586372375488,0.005938107
254.58750834,426.17,65536,8,3512,18,-4.191577133536339,-0.007595922867767513,0.04322509765625,70,40.563209533691406,0.6912238299846649,0.2,0.9767554402351379,0.0003,94.78528847694398,0.0054847514
265.83264942,437.01,73728,9,3515,20,-4.180749997496605,-0.007273552902915981,0.04603271484375,80,57.95266342163086,0.7600573748350143,0.2,0.97308349609375,0.0003,110.02566146850586,0.00616659
282.66927569,456.49,81920,10,3514,23,-4.169974246621132,-0.004811104726104532,0.03841552734375,90,47.98322296142578,0.8123534917831421,0.2,0.9699280261993408,0.0003,105.04593067169189,0.0051596365
312.47877173,464.68,90112,11,3517,25,-4.159338995814323,-0.005736266920575872,0.05089111328125,100,40.69232177734375,0.8348628580570221,0.2,0.9662999510765076,0.0003,103.64814991950989,0.005058264
309.33666934,458.1,98304,12,3519,27,-4.1478194177150725,-0.0063687205169117075,0.072265625,110,55.67931365966797,0.8471931517124176,0.2,0.9626485705375671,0.0003,119.00470762252807,0.0071490407
337.59173861000005,479.81,106496,13,3519,30,-4.136926364898682,-0.006649419234599918,0.0584228515625,120,47.797691345214844,0.8668456375598907,0.2,0.9601554274559021,0.0003,99.75565104484558,0.005110774
327.20897873000007,441.15,114688,14,3516,32,-4.127272263169289,-0.005378811234550085,0.04794921875,130,45.302406311035156,0.8828674405813217,0.2,0.9560828804969788,0.0003,99.5706196308136,0.0060251523
339.82028809999997,429.93,122880,15,3515,34,-4.115021747350693,-0.006693287393136416,0.075830078125,140,67.77587127685547,0.8714876025915146,0.2,0.9519448280334473,0.0003,124.77703657150269,0.0073816665
338.39364853,422.43,131072,16,3515,37,-4.104154101014137,-0.005723611871508183,0.063720703125,150,45.04004669189453,0.8943546116352081,0.2,0.9496161341667175,0.0003,110.80389099121093,0.007367031
335.68076229999997,411.29,139264,17,3515,39,-4.09255214035511,-0.00599857116030762,0.06474609375,160,59.0814323425293,0.9187164977192879,0.2,0.9443511366844177,0.0003,106.46041836738587,0.0065643582
337.46539392,394.45,147456,18,3514,41,-4.074153718352318,-0.006158873566891998,0.0720947265625,170,45.21406936645508,0.8985475227236748,0.2,0.939236581325531,0.0003,115.01493649482727,0.0075386623
366.46734367,429.58,155648,19,3514,44,-4.064597845077515,-0.004862434729875531,0.06387939453125,180,45.177059173583984,0.9183179661631584,0.2,0.9371628761291504,0.0003,111.44517741203308,0.00629496
367.82439755000007,435.7,163840,20,3511,46,-4.046424087882042,-0.004848284901527222,0.06556396484375,190,51.69510269165039,0.9273063763976097,0.2,0.928076446056366,0.0003,106.25427112579345,0.006794212
378.18025466000006,434.54,172032,21,3512,48,-4.023566195368767,-0.006620066468894947,0.08907470703125,200,44.1923942565918,0.9219261035323143,0.2,0.9235814213752747,0.0003,100.79917945861817,0.008236039
396.76268690000006,404.89,180224,22,3512,51,-4.007185293734073,-0.0063751585003046785,0.0726318359375,210,66.90963745117188,0.9103443473577499,0.2,0.9178704619407654,0.0003,149.21892676353454,0.006332445
403.10024468999995,398.08,188416,23,3512,53,-3.9886639907956125,-0.00612651691044448,0.0716796875,220,105.66680145263672,0.8946268931031227,0.2,0.91246098279953,0.0003,182.0445652961731,0.005708711
414.92110492999996,374.87,196608,24,3513,55,-3.9693878799676896,-0.006076536263572052,0.07847900390625,230,59.69084930419922,0.9233241453766823,0.2,0.9062976241111755,0.0003,145.35958971977234,0.0073717646
406.2358354400001,338.41,204800,25,3513,58,-3.9482199534773827,-0.005250651308233501,0.06822509765625,240,46.89797592163086,0.9426845051348209,0.2,0.8995473980903625,0.0003,113.045769405365,0.0068893214
