time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,train/policy_gradient_loss,train/clip_range,train/value_loss,train/learning_rate,train/clip_fraction,train/n_updates,train/approx_kl,train/loss,train/explained_variance,train/entropy_loss,train/std
1,1,37.216899375,209.59375,8192,4658,,,,,,,,,,,
2,4,68.73561671428571,277.9183673469388,16384,3775,-0.013680455049325246,0.2,95.43559889793396,0.0003,0.14039306640625,10,0.010983563,36.68449020385742,0.00045365095138549805,-4.262897360324859,1.0031366348266602
3,6,100.68941149275362,318.3478260869565,24576,3563,-0.012751829983608331,0.2,73.03020470142364,0.0003,0.10478515625,20,0.010790792,32.47654724121094,0.11208444833755493,-4.258731213212013,0.9971542358398438
4,9,131.43093612087912,333.68131868131866,32768,3472,-0.011163203725300264,0.2,93.52748494148254,0.0003,0.077978515625,30,0.0077164015,44.4178352355957,0.18127858638763428,-4.24188030064106,0.992377758026123
5,11,170.56026627,365.35,40960,3429,-0.008910827038926072,0.2,123.35867319107055,0.0003,0.0609375,40,0.006662539,58.05103302001953,0.25865811109542847,-4.2309517621994015,0.9900719523429871
6,14,210.01711707,409.77,49152,3386,-0.0057041204752749765,0.2,117.05951099395752,0.0003,0.031982421875,50,0.004541399,57.89274978637695,0.3253070116043091,-4.226844123005867,0.9899762272834778
7,17,244.19994641000002,424.64,57344,3356,-0.006632140012516175,0.2,118.84592084884643,0.0003,0.0445068359375,60,0.0062742205,55.27986145019531,0.46377164125442505,-4.222370085120201,0.9869169592857361
8,19,262.87055757,436.37,65536,3334,-0.004896073901181808,0.2,90.93260226249694,0.0003,0.04151611328125,70,0.005048153,30.97724151611328,0.6892595589160919,-4.21330049932003,0.9839313626289368
9,22,269.95738848,432.56,73728,3318,-0.004460171097161947,0.2,132.00327444076538,0.0003,0.02923583984375,80,0.0052341297,52.727577209472656,0.688502162694931,-4.2072296142578125,0.983802318572998
10,24,281.23847797,457.42,81920,3302,-0.006309407645676402,0.2,105.35651950836181,0.0003,0.04718017578125,90,0.005626228,54.380584716796875,0.7800302654504776,-4.208490341901779,0.9848048090934753
11,27,293.08283880000005,473.45,90112,3291,-0.006392731114465278,0.2,116.98600754737853,0.0003,0.0536376953125,100,0.0068554156,49.66447067260742,0.8031672835350037,-4.208379581570625,0.9833559989929199
12,29,285.38932636000004,457.72,98304,3283,-0.0072981810400960965,0.2,94.87963728904724,0.0003,0.0723876953125,110,0.006997017,43.12720489501953,0.8334852904081345,-4.199763682484627,0.9792162775993347
13,32,288.05791217,467.6,106496,3277,-0.0074071991140954195,0.2,75.92126014232636,0.0003,0.0966064453125,120,0.007778175,36.38636016845703,0.8953265845775604,-4.187992000579834,0.976247251033783
14,35,295.79451116,475.8,114688,3270,-0.009046660373860505,0.2,73.27717344760894,0.0003,0.106884765625,130,0.009160807,31.15321922302246,0.9070551693439484,-4.17695532143116,0.9717499613761902
15,37,308.05230266,476.82,122880,3266,-0.0066020462472806685,0.2,63.72947642803192,0.0003,0.06387939453125,140,0.0065789204,21.802663803100586,0.9250679910182953,-4.163362866640091,0.9665897488594055
16,40,308.24169134,463.61,131072,3263,-0.0053679496559198014,0.2,111.05855016708374,0.0003,0.04808349609375,150,0.0050656255,58.31925964355469,0.8755041062831879,-4.149185213446617,0.9633188247680664
17,42,320.58581329000003,469.82,139264,3256,-0.0066345452767563986,0.2,122.4746461391449,0.0003,0.0573974609375,160,0.007280221,44.00823211669922,0.8864858746528625,-4.142875695228577,0.9630115628242493
18,45,324.67845121,446.69,147456,3254,-0.0068098687872407025,0.2,93.04203481674195,0.0003,0.07342529296875,170,0.006982331,42.64614486694336,0.9170266166329384,-4.144223275780678,0.9640786051750183
19,47,321.53111225,411.22,155648,3261,-0.004610855286591687,0.2,157.934481716156,0.0003,0.05235595703125,180,0.005642116,105.29839324951172,0.8699282705783844,-4.1410106241703035,0.9609842300415039
20,50,333.50754136999996,408.54,163840,3271,-0.006985972506663529,0.2,130.41928806304932,0.0003,0.07264404296875,190,0.0066771694,43.578575134277344,0.9082866013050079,-4.132025921344757,0.9585221409797668
21,52,344.1674815199999,416.09,172032,3283,-0.0047440606416785155,0.2,117.04399528503419,0.0003,0.05244140625,200,0.00597367,48.41825485229492,0.9117923974990845,-4.1206489384174345,0.9531433582305908
22,54,311.46929595,387.1,180224,3293,-0.004606163129210472,0.2,82.92238919734955,0.0003,0.04896240234375,210,0.0044963798,29.49275016784668,0.9350752383470535,-4.112442415952683,0.9543788433074951
23,57,314.68396218,393.96,188416,3301,-0.005690996955672744,0.2,146.02753901481628,0.0003,0.05537109375,220,0.006045801,62.41936492919922,0.877573773264885,-4.113291248679161,0.9532691836357117
24,59,321.49370272,406.49,196608,3309,-0.006359778792830184,0.2,86.4956621170044,0.0003,0.07847900390625,230,0.008379139,29.616931915283203,0.9408090263605118,-4.110785004496575,0.9527103304862976
25,61,304.98079784,393.1,204800,3318,-0.005774133008526405,0.2,96.75411887168885,0.0003,0.09097900390625,240,0.0073391134,44.5966796875,0.9311419352889061,-4.104273048043251,0.9499943852424622
