time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/approx_kl,train/std,train/entropy_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/value_loss,train/loss,train/clip_range,train/learning_rate,train/policy_gradient_loss
1,1,224.2,8192,21.50270192,5009,,,,,,,,,,,
3,2,312.77777777777777,16384,88.81861544444443,4125,0.009773767,1.0142056941986084,-4.282950735092163,0.1270751953125,-0.0017156600952148438,10,68.72070934772492,28.21379852294922,0.2,0.0003,-0.013766897839377634
6,3,342.765625,24576,127.097822609375,3909,0.010112522,1.0190030336380005,-4.307658994197846,0.100537109375,0.10441344976425171,20,95.83359761238098,35.50715255737305,0.2,0.0003,-0.012964135191577953
8,4,359.76190476190476,32768,153.81286364285717,3788,0.008309945,1.0250835418701172,-4.322710907459259,0.075927734375,0.07667779922485352,30,112.58074116706848,51.908023834228516,0.2,0.0003,-0.010883232351625338
11,5,388.29,40960,183.04980259000004,3720,0.006169365,1.031936526298523,-4.341619876027107,0.03612060546875,0.1808069944381714,40,123.36376910209655,57.44997787475586,0.2,0.0003,-0.006081177338637644
13,6,418.97,49152,223.44306317000002,3677,0.0054848907,1.039354681968689,-4.3608737826347355,0.03475341796875,0.49105584621429443,50,107.28879528045654,39.87743377685547,0.2,0.0003,-0.006617029802873731
15,7,436.82,57344,267.73900113999997,3645,0.0047182157,1.0428422689437866,-4.378158858418464,0.035302734375,0.6807352006435394,60,99.22988605499268,40.02516555786133,0.2,0.0003,-0.00493568848396535
18,8,445.07,65536,279.57212086,3630,0.004558752,1.048013687133789,-4.389818561077118,0.028857421875,0.7099128663539886,70,124.84168653488159,58.64824676513672,0.2,0.0003,-0.0050401966873323545
20,9,465.94,73728,297.5580202,3610,0.0053752214,1.052691102027893,-4.404192066192627,0.0453125,0.7467243373394012,80,101.38365006446838,39.17047119140625,0.2,0.0003,-0.006787120299122762
22,10,475.14,81920,309.4371184,3596,0.00820682,1.0576187372207642,-4.418065392971039,0.0731201171875,0.8486352562904358,90,74.53152232170105,33.52021026611328,0.2,0.0003,-0.008078750146523817
25,11,491.42,90112,321.14806708,3582,0.008235185,1.06348717212677,-4.432934755086899,0.06644287109375,0.8455294668674469,100,101.24958176612854,49.15547180175781,0.2,0.0003,-0.0062802293774439025
27,12,487.28,98304,312.94651753,3570,0.008210974,1.0686448812484741,-4.4492326259613035,0.0784423828125,0.835099846124649,110,96.32559280395508,32.179256439208984,0.2,0.0003,-0.008610349541413598
29,13,462.48,106496,314.51081074,3562,0.005939778,1.0746878385543823,-4.46331572830677,0.031640625,0.8485942333936691,120,114.43938879966736,48.41847610473633,0.2,0.0003,-0.004056441798456945
32,14,468.75,114688,332.80482517999997,3557,0.0054159155,1.079555630683899,-4.480251187086106,0.05291748046875,0.8670165985822678,130,136.14586658477782,59.80442810058594,0.2,0.0003,-0.006085288418398704
34,15,459.26,122880,338.96214520999996,3553,0.006394812,1.0856612920761108,-4.494634488224984,0.06993408203125,0.8887228444218636,140,108.08554158210754,52.24102020263672,0.2,0.0003,-0.005979717231093673
36,16,433.69,131072,344.10229540000006,3549,0.005380045,1.0886274576187134,-4.507755023241043,0.0494140625,0.871154710650444,150,142.90186376571654,82.50389862060547,0.2,0.0003,-0.0052734224504092705
39,17,430.12,139264,362.14698225,3544,0.005264295,1.092736005783081,-4.516948014497757,0.064892578125,0.8817963898181915,160,142.24181227684022,75.73274230957031,0.2,0.0003,-0.006418540074082557
41,18,432.25,147456,350.02236028999994,3540,0.006275437,1.100344181060791,-4.532198035717011,0.055810546875,0.9060563296079636,170,116.2668701171875,39.068607330322266,0.2,0.0003,-0.005911590915638953
44,19,406.18,155648,363.88708154000005,3536,0.0061796578,1.1110492944717407,-4.556425324082374,0.0412109375,0.9203492701053619,180,115.03705558776855,50.82454299926758,0.2,0.0003,-0.004496683542674873
46,20,401.72,163840,365.6694998,3533,0.006230619,1.117494821548462,-4.581217560172081,0.04683837890625,0.8858427628874779,190,153.9939127922058,69.26924133300781,0.2,0.0003,-0.004706263014668366
48,21,371.76,172032,352.61345915,3532,0.008461636,1.1223663091659546,-4.59652926325798,0.07584228515625,0.9260224401950836,200,115.70866980552674,62.55475997924805,0.2,0.0003,-0.00688649440271547
51,22,360.87,180224,370.26890446000004,3529,0.0055032535,1.1274638175964355,-4.609155997633934,0.03885498046875,0.8833485543727875,210,205.22964210510253,95.54087829589844,0.2,0.0003,-0.005065857560839504
53,23,354.23,188416,376.52109851,3527,0.005933651,1.1347638368606567,-4.626459130644799,0.047607421875,0.9070946499705315,220,165.06679949760436,77.69943237304688,0.2,0.0003,-0.005373660915938672
55,24,325.47,196608,385.76195312,3526,0.006907229,1.1413646936416626,-4.6447806596755985,0.06875,0.9145599156618118,230,157.13387861251832,96.53086853027344,0.2,0.0003,-0.005872766937318375
58,25,347.78,204800,395.01022586999994,3524,0.006412918,1.1480947732925415,-4.661873763799667,0.05478515625,0.9022587612271309,240,205.80645627975463,108.2292709350586,0.2,0.0003,-0.004814780938613694
