episode,timestep,episode_reward,episode_length,visited_rooms,explored_pct
1,197,129.2087,197,1,45.8
2,442,276.7024,245,2,47.46
3,681,199.1869,239,2,49.8
4,709,-26.769,28,1,33.3
5,786,11.8689,77,1,42.68
6,962,277.8886,176,2,72.17
7,1013,-12.7802,51,1,36.82
8,1360,274.7851,347,1,50.0
9,1408,-18.437,48,1,38.96
10,1639,211.6593,231,2,52.34
11,1693,-13.7431,54,1,18.46
12,1807,52.5066,114,1,46.58
13,1935,-1.9593,128,1,40.92
14,2243,129.6891,308,2,46.0
15,2290,-24.0956,47,1,37.79
16,2337,-13.2657,47,1,39.36
17,2399,3.0171,62,1,39.36
18,2463,2.9765,64,1,37.5
19,2485,-9.4823,22,1,17.77
20,2711,166.8099,226,3,53.52
21,2865,191.7206,154,2,52.83
22,2902,10.5975,37,1,20.61
23,3061,53.1596,159,1,48.93
24,3177,57.8071,116,1,45.8
25,3302,10.9312,125,1,40.92
26,3357,-33.0626,55,1,25.0
27,3721,185.1424,364,2,61.72
28,3781,-17.7934,60,1,40.43
29,3847,21.6134,66,1,42.09
30,4160,189.5702,313,2,53.71
31,4238,21.9592,78,1,37.3
32,4302,-11.7503,64,1,39.16
33,4376,-16.9741,74,1,33.89
34,4447,-27.4328,71,1,25.49
35,4548,56.6416,101,1,44.92
36,4605,16.8625,57,1,43.07
37,4689,31.0695,84,1,46.0
38,4711,-19.5081,22,1,32.81
39,4772,-17.3489,61,1,38.09
40,4838,-23.4332,66,1,25.68
41,4949,-32.2941,111,1,26.56
42,4988,-18.1923,39,1,37.7
43,5057,6.0632,69,1,35.64
44,5147,16.1188,90,1,41.11
45,5186,0.2116,39,1,19.73
46,5402,40.8634,216,1,32.03
47,5467,-29.1945,65,1,25.39
48,5580,4.2435,113,1,38.77
49,5724,80.8945,144,1,48.73
50,5755,-10.6003,31,1,17.48
51,5798,-25.7792,43,1,25.29
52,5848,21.9653,50,1,21.97
53,5907,43.8304,59,1,41.41
54,6026,20.4702,119,1,42.68
55,6143,151.69,117,1,59.57
56,6206,0.9876,63,1,39.55
57,6352,166.78,146,1,49.02
58,6482,56.269,130,1,31.35
59,6555,-9.1606,73,1,41.89
60,6619,3.9777,64,1,38.38
61,6663,-11.1295,44,1,31.25
62,6749,-5.2788,86,1,19.14
63,6808,63.9054,59,1,47.07
64,6870,-0.1154,62,1,43.07
65,6919,-14.3195,49,1,18.46
66,7519,372.0967,600,2,69.53
67,7682,-28.7357,163,1,26.56
68,7779,59.9576,97,1,46.0
69,7882,49.1076,103,1,45.51
70,7956,-22.9239,74,1,26.27
71,8002,-14.4072,46,1,18.85
72,8099,-16.2187,97,1,42.19
73,8180,9.727,81,1,42.77
74,8216,22.0905,36,1,41.8
75,8529,164.1196,313,2,52.25
76,8639,12.3183,110,1,41.8
77,8692,-19.3119,53,1,26.07
78,8805,64.8728,113,1,47.17
79,8865,30.417,60,1,21.78
80,9253,309.5456,388,2,59.08
81,9288,-26.5294,35,1,25.59
82,9577,212.2008,289,2,54.59
83,9687,42.846,110,1,42.87
84,9920,268.0525,233,2,56.45
85,9974,-25.4275,54,1,40.62
86,10048,-28.0912,74,1,27.44
87,10126,120.618,78,2,54.59
88,10233,41.4861,107,1,48.44
89,10260,-4.9546,27,1,20.31
90,10323,1.2714,63,1,37.5
91,10382,7.5874,59,1,42.48
92,10399,-24.0888,17,1,36.52
93,10490,79.1669,91,1,49.02
94,10707,195.3641,217,1,61.72
95,10742,0.2439,35,1,41.31
96,10901,149.5402,159,2,60.94
97,10966,2.4163,65,1,39.84
98,11007,5.3185,41,1,41.5
99,11092,-13.0889,85,1,28.52
100,11190,2.6285,98,1,26.95
101,11345,116.454,155,1,51.46
102,11599,203.4191,254,1,57.81
103,12065,195.9175,466,2,58.2
104,12115,-18.6501,50,1,40.33
105,12192,35.4133,77,1,46.19
106,12282,13.2761,90,1,42.77
107,12392,76.6221,110,1,52.54
108,12461,-27.7041,69,1,26.27
109,12978,146.4837,517,2,54.2
110,13229,138.2264,251,3,54.1
111,13270,27.4755,41,1,44.14
112,13419,212.9817,149,2,54.49
113,13483,-33.3854,64,1,25.68
114,13601,-19.4003,118,1,38.77
115,13792,243.3406,191,2,65.72
116,13831,-0.7859,39,1,19.92
117,13934,-21.8871,103,1,41.7
118,13968,-29.2595,34,1,25.2
119,14082,36.5957,114,1,43.95
120,14244,167.2662,162,2,48.24
121,14330,95.0549,86,1,52.83
122,14358,-2.4076,28,1,19.04
123,14822,470.2877,464,3,77.34
124,15422,540.5055,600,3,77.34
125,15925,402.6197,503,3,75.68
126,16054,194.8942,129,2,63.28
127,16110,28.8251,56,1,41.7
128,16263,114.8502,153,1,48.24
129,16336,17.294,73,1,41.6
130,16453,147.3125,117,2,56.74
131,16615,259.4053,162,2,70.7
132,16688,26.4044,73,1,40.23
133,16702,-12.379,14,1,41.11
134,16842,-3.7769,140,1,41.89
135,17130,301.4807,288,2,56.74
136,17497,459.8591,367,3,90.33
137,17882,455.553,385,3,55.57
138,17954,33.3677,72,1,45.61
139,18123,161.1208,169,1,52.83
140,18480,270.9045,357,2,55.08
141,18515,37.086,35,1,45.9
142,18569,1.8135,54,1,39.94
143,18741,107.9277,172,2,45.7
144,18771,4.445,30,1,20.31
145,19115,147.0163,344,2,63.48
146,19137,-30.7597,22,1,25.1
147,19489,580.5801,352,5,96.78
148,20089,425.2632,600,3,82.32
149,20286,139.5779,197,1,60.06
150,20340,40.8261,54,1,39.26
151,20353,-11.8488,13,1,39.55
152,20606,16.2704,253,1,43.75
153,20640,40.0732,34,1,43.46
154,20719,-25.9071,79,1,16.89
