rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/loss,train/explained_variance,train/n_updates,train/clip_fraction,train/value_loss,train/std,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_range
37.216899375,1,8192,4547,209.59375,1,,,,,,,,,,,
59.392815750000004,2,16384,3787,248.85714285714286,4,0.0001,44.81881332397461,0.00045365095138549805,10,0.09310302734375,102.57905020713807,1.0020371675491333,-4.260616186261177,0.010079898,-0.011448200372979046,0.2
95.48006482278481,3,24576,3603,284.44303797468353,6,0.0001,41.6187629699707,0.01958906650543213,20,0.05238037109375,96.31144857406616,1.0023740530014038,-4.264343717694283,0.007397675,-0.0084377909777686,0.2
121.3561930319149,4,32768,3504,318.5744680851064,9,0.0001,55.221561431884766,0.06521844863891602,30,0.03104248046875,125.72769503593445,1.000641942024231,-4.262120097875595,0.0053212224,-0.007199193397536874,0.2
158.80056568,5,40960,3443,364.87,11,0.0001,50.04716110229492,0.00035011768341064453,40,0.0422119140625,102.61954312324524,0.9963758587837219,-4.253116542100907,0.0052608075,-0.006263062869402347,0.2
213.17195424000002,6,49152,3407,407.22,14,0.0001,68.21879577636719,0.04085659980773926,50,0.03880615234375,138.12711844444274,0.9949482083320618,-4.244018098711967,0.0054276446,-0.006028254553530133,0.2
242.23017543999998,7,57344,3378,418.66,16,0.0001,66.00727081298828,0.10334545373916626,60,0.0292236328125,137.22837500572206,0.9943580627441406,-4.2409853547811505,0.004362476,-0.0056256026684422976,0.2
266.06060211000005,8,65536,3358,439.7,19,0.0001,69.67511749267578,0.15091657638549805,70,0.01734619140625,156.95672068595886,0.9948787689208984,-4.240860047936439,0.004045196,-0.005030053166410653,0.2
273.78447069,9,73728,3336,433.15,22,0.0001,65.23458099365234,0.22903096675872803,80,0.01231689453125,146.298934841156,0.9952090382575989,-4.241773861646652,0.0027569793,-0.0033229640815989115,0.2
272.19953701,10,81920,3321,424.37,24,0.0001,84.5426025390625,0.31861621141433716,90,0.02623291015625,154.1554756641388,0.9948881268501282,-4.241757097840309,0.004158168,-0.00496779868772137,0.2
279.34338872,11,90112,3308,433.44,27,0.0001,57.77139663696289,0.4989018440246582,100,0.010400390625,148.49802265167236,0.994299590587616,-4.240262711048127,0.0034613376,-0.0026734829327324404,0.2
267.71668801000004,12,98304,3302,404.81,29,0.0001,55.22627639770508,0.6354926824569702,110,0.03778076171875,145.1961151599884,0.9943516850471497,-4.239354446530342,0.004907843,-0.004370571352774277,0.2
272.11631596,13,106496,3296,402.84,32,0.0001,80.43793487548828,0.6110193729400635,120,0.02623291015625,170.88524231910705,0.9944424629211426,-4.23956438601017,0.0042202375,-0.004023735219379887,0.2
284.21851487,14,114688,3291,422.41,34,0.0001,67.02101135253906,0.7161211371421814,130,0.0117431640625,150.52935423851014,0.99321049451828,-4.237958019971847,0.0030506183,-0.0035393134945479686,0.2
301.31509675999996,15,122880,3285,434.28,37,0.0001,59.19907760620117,0.7827686816453934,140,0.0221435546875,135.1206495285034,0.9926560521125793,-4.235204845666885,0.0041495175,-0.004064018907956779,0.2
296.1685931,16,131072,3281,411.11,39,0.0001,64.99185180664062,0.7928706407546997,150,0.02393798828125,156.40847845077514,0.9916534423828125,-4.232744017243386,0.003508755,-0.004104895584168844,0.2
313.39753285,17,139264,3278,436.02,42,0.0001,77.7633285522461,0.814858004450798,160,0.01982421875,174.95878415107728,0.9905425906181335,-4.229541456699371,0.0038853316,-0.0037427202689286785,0.2
345.74091070000003,18,147456,3272,463.3,45,0.0001,61.86266326904297,0.8601760119199753,170,0.01895751953125,129.72515211105346,0.9894512295722961,-4.226308879256249,0.004620612,-0.0032728844918892717,0.2
361.55333631,19,155648,3269,439.31,47,0.0001,77.71216583251953,0.8443278968334198,180,0.0199462890625,175.17910861968994,0.9882736206054688,-4.222674936056137,0.0032054083,-0.003257815525284968,0.2
358.53624597000004,20,163840,3266,410.8,50,0.0001,122.1855697631836,0.8057783097028732,190,0.02171630859375,228.90271348953246,0.987461268901825,-4.2196078360080715,0.0028817551,-0.0031787602638360113,0.2
383.31668519999994,21,172032,3264,403.99,52,0.0001,106.87444305419922,0.8130778074264526,200,0.026611328125,231.73916997909546,0.9868693947792053,-4.217581909894943,0.004293259,-0.0035988614545203745,0.2
373.36861846000005,22,180224,3262,359.81,55,0.0001,126.62279510498047,0.8338091969490051,210,0.023876953125,228.06648530960084,0.9862828254699707,-4.215753623843193,0.0038389594,-0.0030933806418033784,0.2
371.4878424000001,23,188416,3259,345.09,57,0.0001,119.61541748046875,0.8442140370607376,220,0.022412109375,238.2230697631836,0.9865741729736328,-4.215001425147056,0.0041488074,-0.003272190700226929,0.2
368.38143141000006,24,196608,3256,339.98,60,0.0001,111.47252655029297,0.8639919459819794,230,0.0148681640625,224.56276006698607,0.9860938191413879,-4.215133365988732,0.0034532018,-0.002798177173099248,0.2
361.80262487,25,204800,3255,345.63,62,0.0001,119.85741424560547,0.8379306644201279,240,0.027099609375,275.73569707870485,0.9846156239509583,-4.212087261676788,0.0044023166,-0.0034737245419819373,0.2
