episode,timestep,ep_return,steps,explored_voxels,coverage_pct,visited_rooms,success,crashed,min_lidar,ent_coef,actor_loss,critic_loss
1,144,-21.22,18,345,33.7,1,0,1,0.192,0.005,0.0,0.0
2,544,-45.79,68,254,24.8,1,0,1,0.158,0.005,0.0,0.0
3,992,8.73,124,209,20.4,1,0,1,0.142,0.005,0.0,0.0
4,1088,-15.29,136,267,26.1,1,0,1,0.189,0.005,0.0,0.0
5,1392,-8.99,174,216,21.1,1,0,1,0.124,0.005,0.0,0.0
6,1496,-17.65,13,385,37.6,1,0,1,0.101,0.005,0.0,0.0
7,1496,8.81,119,201,19.6,1,0,1,0.192,0.005,0.0,0.0
8,1672,-17.0,73,192,18.8,1,0,1,0.185,0.005,0.0,0.0
9,1704,179.08,213,606,59.2,1,0,1,0.197,0.005,0.0,0.0
10,1808,-27.64,102,270,26.4,1,0,1,0.121,0.005,0.0,0.0
11,2072,-74.28,259,275,26.9,1,0,1,0.137,0.005,0.0,0.0
12,2128,49.18,79,447,43.7,1,0,1,0.175,0.005,0.0,0.0
13,2248,18.68,68,210,20.5,1,0,1,0.132,0.005,0.0,0.0
14,2528,-7.04,50,368,35.9,1,0,1,0.087,0.005,0.0,0.0
15,2592,65.47,98,496,48.4,1,0,1,0.137,0.005,0.0,0.0
16,3344,5.16,159,434,42.4,1,0,1,0.178,0.005,0.0,0.0
17,3576,-13.02,238,443,43.3,1,0,1,0.181,0.005,0.0,0.0
18,3984,65.91,311,499,48.7,1,0,1,0.168,0.005,0.0,0.0
19,4288,313.42,518,683,66.7,2,0,1,0.156,0.005,0.0,0.0
20,4352,-27.47,126,389,38.0,1,0,1,0.176,0.005,0.0,0.0
21,4512,7.04,28,206,20.1,1,0,1,0.086,0.005,0.0,0.0
22,4688,2.67,22,201,19.6,1,0,1,0.131,0.005,0.0,0.0
23,4800,67.85,600,486,47.5,1,0,0,2.46,0.005,0.0,0.0
24,5048,26.1,315,438,42.8,1,0,1,0.178,0.005,0.0,0.0
25,5352,-10.38,222,424,41.4,1,0,1,0.044,0.005,0.0,0.0
26,5808,151.8,402,515,50.3,1,0,1,0.056,0.005,0.0,0.0
27,5920,162.1,459,446,43.6,1,0,1,0.075,0.005,0.0,0.0
28,6088,-27.57,217,203,19.8,1,0,1,0.093,0.005,0.0,0.0
29,6248,-2.78,283,470,45.9,1,0,1,0.116,0.005,0.0,0.0
30,6432,-12.4,64,349,34.1,1,0,1,0.056,0.005,0.0,0.0
31,6768,-17.78,65,348,34.0,1,0,1,0.109,0.005,0.0,0.0
32,7280,53.99,310,483,47.2,1,0,1,0.128,0.005,0.0,0.0
33,7480,45.75,89,468,45.7,1,0,1,0.171,0.005,0.0,0.0
34,7616,96.65,226,482,47.1,1,0,1,0.196,0.005,0.0,0.0
35,8080,33.95,206,441,43.1,1,0,1,0.19,0.005,0.0,0.0
