episode,timestep,ep_return,steps,explored_voxels,coverage_pct,visited_rooms,success,crashed,min_lidar,ent_coef,actor_loss,critic_loss
1,352,35.65,44,482,47.1,1,0,1,0.206,0.0,0.0,0.0
2,2136,52.02,267,461,45.0,1,0,1,0.172,0.0,0.0,0.0
3,2456,111.21,307,507,49.5,1,0,1,0.102,0.0,0.0,0.0
4,2960,26.23,103,222,21.7,1,0,1,0.129,0.0,0.0,0.0
5,3064,2.37,76,432,42.2,1,0,1,0.191,0.0,0.0,0.0
6,3360,-88.78,420,282,27.5,1,0,1,0.144,0.0,0.0,0.0
7,3688,93.02,461,370,36.1,1,0,1,0.149,0.0,0.0,0.0
8,4496,-13.08,142,285,27.8,1,0,1,0.129,0.0,0.0,0.0
9,4640,217.63,580,631,61.6,1,0,1,0.063,0.0,0.0,0.0
10,4712,-17.5,9,407,39.7,1,0,1,0.189,0.0,0.0,0.0
11,4720,-33.94,129,389,38.0,1,0,1,0.146,0.0,0.0,0.0
12,4800,195.4,600,483,47.2,1,0,0,1.984,0.0,0.0,0.0
13,4800,38.7,600,486,47.5,1,0,0,1.589,0.0,0.0,0.0
14,5064,8.88,71,188,18.4,1,0,1,0.153,0.0,0.0,0.0
15,5152,53.35,600,475,46.4,1,0,0,0.407,0.0,0.0,0.0
16,5296,-12.85,18,200,19.5,1,0,1,0.156,0.0,0.0,0.0
17,5792,-2.35,134,408,39.8,1,0,1,0.098,0.0,0.0,0.0
18,6064,86.37,96,475,46.4,1,0,1,0.12,0.0,0.0,0.0
19,7072,-35.68,160,269,26.3,1,0,1,0.185,0.0,0.0,0.0
20,7480,-70.85,335,204,19.9,1,0,1,0.082,0.0,0.0,0.0
21,7760,176.05,600,566,55.3,1,0,0,0.869,0.0,0.0,0.0
22,7864,35.2,600,459,44.8,1,0,0,0.262,0.0,0.0,0.0
23,8376,-24.18,112,273,26.7,1,0,1,0.13,0.0,0.0,0.0
24,8592,-4.37,441,442,43.2,1,0,1,0.172,0.0,0.0,0.0
25,9264,-79.84,558,279,27.2,1,0,1,0.191,0.0,0.0,0.0
26,9512,-43.33,600,450,43.9,1,0,0,1.346,0.0,0.0,0.0
27,9904,-8.25,80,207,20.2,1,0,1,0.187,0.0,0.0,0.0
28,9968,-32.22,488,225,22.0,1,0,1,0.171,0.0,0.0,0.0
29,10136,11.85,284,306,29.9,1,0,1,0.173,0.0,0.0,0.0
30,10408,10.35,112,204,19.9,1,0,1,0.132,0.0,-3.0577,6.7434
31,10472,128.52,262,571,55.8,1,0,1,0.202,0.0,-3.0577,6.7434
32,10736,96.56,268,514,50.2,1,0,1,0.146,0.0,-4.83,4.4354
33,10736,24.21,41,456,44.5,1,0,1,0.018,0.0,-4.83,4.4354
34,10816,139.23,382,565,55.2,1,0,1,0.173,0.0,-5.7212,6.441
35,10976,38.84,134,376,36.7,1,0,1,0.152,0.0,-5.7212,6.441
36,11296,13.41,60,446,43.6,1,0,1,0.225,0.0,-7.6483,5.8291
37,11384,9.98,51,384,37.5,1,0,1,0.158,0.0,0.0,0.0
38,11512,-43.39,193,192,18.8,1,0,1,0.173,0.0,0.0,0.0
39,11720,-14.49,123,202,19.7,1,0,1,0.181,0.0,-8.6292,6.8208
40,11872,115.45,600,499,48.7,1,0,0,1.134,0.0,-9.6298,7.3416
41,12104,76.33,101,518,50.6,1,0,1,0.215,0.0,-10.6718,6.0803
42,13232,61.49,215,501,48.9,1,0,1,0.205,0.0,-14.6651,7.7445
43,13888,172.75,313,510,49.8,1,0,1,0.181,0.0,-17.7148,7.4409
44,14880,240.12,206,541,52.8,2,0,1,0.208,0.0,-21.8943,6.8883
45,14936,285.06,600,601,58.7,1,0,0,1.467,0.0,0.0,0.0
46,15272,296.2,600,502,49.0,1,0,0,1.456,0.0,-22.9761,6.1289
47,15536,392.87,600,678,66.2,2,0,0,1.858,0.0,-24.0142,8.242
48,16112,14.01,105,216,21.1,1,0,1,0.168,0.0,-26.1652,6.9994
49,16520,263.4,600,668,65.2,2,0,0,0.802,0.0,-28.2617,7.424
50,16672,401.07,600,751,73.3,2,0,0,0.588,0.0,-29.3367,7.3786
51,16720,128.94,76,521,50.9,1,0,1,0.189,0.0,-29.3367,7.3786
52,16904,363.4,600,725,70.8,2,0,0,2.132,0.0,-30.2247,6.6043
53,17104,26.65,73,210,20.5,1,0,1,0.156,0.0,0.0,0.0
54,17216,189.7,285,493,48.1,2,0,1,0.139,0.0,-31.2597,6.199
55,18688,234.1,600,669,65.3,1,0,0,1.293,0.0,-35.917,6.8043
56,19680,248.3,600,663,64.7,2,0,0,1.211,0.0,-39.2731,6.4289
57,20336,312.14,600,666,65.0,1,0,0,2.384,0.0,-41.6303,7.6432
58,21472,321.37,600,756,73.8,2,0,0,2.517,0.0,-44.6931,6.7345
59,21520,547.19,600,825,80.6,3,0,0,2.013,0.0,-45.3613,6.6584
60,21704,254.0,600,715,69.8,2,0,0,1.814,0.0,-45.3613,6.6584
61,21904,239.3,600,718,70.1,2,0,0,1.918,0.0,-45.941,5.9603
62,22016,501.58,600,810,79.1,3,0,0,2.243,0.0,-45.941,5.9603
63,22320,26.47,106,224,21.9,1,0,1,0.118,0.0,-47.2222,7.6311
64,23488,369.59,600,787,76.9,2,0,0,2.218,0.0,-49.7318,7.6039
65,23704,4.82,27,210,20.5,1,0,1,0.152,0.0,-50.4244,6.7216
66,24480,354.81,600,801,78.2,3,0,0,1.864,0.0,-51.7723,7.3277
67,25136,188.1,600,675,65.9,1,0,0,2.346,0.0,-53.0771,8.1049
68,26320,224.0,600,724,70.7,2,0,0,1.927,0.0,-54.8438,6.945
69,26504,465.8,600,838,81.8,3,0,0,1.878,0.0,-55.1337,6.9373
70,26704,367.96,600,797,77.8,3,0,0,1.92,0.0,-55.4994,7.9453
71,26816,369.29,600,774,75.6,2,0,0,1.932,0.0,-55.4994,7.9453
72,27120,482.29,600,858,83.8,4,0,0,1.379,0.0,-55.9783,6.9242
73,28504,382.18,600,877,85.6,3,0,0,2.406,0.0,-57.3939,9.0858
74,29280,297.0,600,762,74.4,2,0,0,2.374,0.0,-58.0076,7.6175
75,29448,-0.38,21,207,20.2,1,0,1,0.128,0.0,-57.9994,7.5745
76,29936,264.75,600,791,77.2,2,0,0,1.673,0.0,-58.1259,8.9679
77,31120,453.9,600,927,90.5,4,0,0,1.636,0.0,-58.4222,9.2614
78,31248,8.58,593,508,49.6,2,0,1,0.186,0.0,-58.3945,8.5099
79,31504,446.67,600,882,86.1,4,0,0,1.32,0.0,-58.4194,9.0602
80,31616,562.24,600,1021,99.7,5,0,0,0.766,0.0,-58.4194,9.0602
81,31920,366.2,600,843,82.3,3,0,0,1.519,0.0,-58.3237,8.6951
82,33304,334.84,600,847,82.7,4,0,0,2.063,0.0,-58.7138,8.4951
83,33656,633.63,255,1023,99.9,6,1,0,1.203,0.0,-58.7257,8.8411
84,33832,278.92,339,859,83.9,3,0,1,0.187,0.0,-58.566,9.9047
85,34248,409.66,600,954,93.2,4,0,0,2.327,0.0,-58.7325,9.1099
86,34736,311.08,600,871,85.1,4,0,0,2.052,0.0,-58.8322,8.8675
87,35256,584.13,417,1024,100.0,6,1,0,1.725,0.0,-58.9446,9.7216
88,36048,201.1,600,801,78.2,2,0,0,1.304,0.0,-58.9421,8.2062
89,36288,431.93,329,963,94.0,5,0,1,0.111,0.0,-59.0086,9.7184
90,36304,244.5,600,700,68.4,3,0,0,1.29,0.0,-59.0086,9.7184
91,38104,247.7,600,818,79.9,2,0,0,1.562,0.0,-59.114,9.238
92,38632,123.85,600,557,54.4,2,0,0,2.587,0.0,-59.1792,9.2749
93,38848,-13.12,27,194,18.9,1,0,1,0.174,0.0,-58.986,9.1087
94,39048,399.31,600,941,91.9,5,0,0,1.23,0.0,-58.985,8.3803
95,39536,421.25,600,944,92.2,5,0,0,1.368,0.0,-58.5038,9.3601
96,40056,206.83,600,775,75.7,2,0,0,1.434,0.0,0.0,0.0
97,40384,-16.25,512,245,23.9,1,0,1,0.189,0.0,-58.6832,8.7866
98,40848,378.94,600,971,94.8,4,0,0,2.106,0.0,-58.7729,9.1966
99,41104,374.31,600,867,84.7,4,0,0,1.674,0.0,-58.6868,8.8033
100,42904,369.87,600,851,83.1,4,0,0,2.121,0.0,-58.5878,9.2395
101,43648,169.92,600,740,72.3,2,0,0,1.981,0.0,-58.8889,9.2343
102,43848,380.98,600,849,82.9,4,0,0,1.766,0.0,-58.7055,9.775
103,44336,329.0,600,828,80.9,3,0,0,2.096,0.0,-58.5495,8.9802
104,44416,595.21,189,1022,99.8,6,1,0,1.788,0.0,-58.5495,8.9802
105,44480,40.23,104,237,23.1,1,0,1,0.176,0.0,0.0,0.0
106,44856,250.3,600,824,80.5,3,0,0,1.861,0.0,-58.6399,7.5449
107,45184,144.0,600,756,73.8,2,0,0,1.586,0.0,-58.9757,10.026
108,45648,157.67,600,762,74.4,2,0,0,1.938,0.0,-58.7309,8.6155
109,45864,9.68,191,214,20.9,1,0,1,0.198,0.0,-58.7553,8.8361
110,45904,136.54,600,764,74.6,2,0,0,1.684,0.0,-58.7553,8.8361
111,48648,163.4,600,677,66.1,1,0,0,1.535,0.0,-58.4426,8.767
112,49216,126.0,600,674,65.8,1,0,0,1.255,0.0,-58.6503,9.1782
113,49280,382.49,600,968,94.5,5,0,0,1.091,0.0,0.0,0.0
114,49656,363.73,600,938,91.6,5,0,0,1.675,0.0,-58.32,8.6026
115,49984,337.55,600,927,90.5,4,0,0,1.797,0.0,-58.2454,9.3655
116,50448,223.8,600,817,79.8,3,0,0,2.332,0.0,-58.3586,8.9904
117,50664,350.38,600,843,82.3,4,0,0,2.156,0.0,0.0,0.0
118,50704,153.87,600,748,73.0,2,0,0,2.024,0.0,-58.2892,10.6915
119,52232,390.21,281,875,85.4,5,0,1,0.201,0.0,-58.392,10.4357
120,52384,583.54,215,1024,100.0,6,1,0,1.362,0.0,-58.392,10.4357
121,53024,102.69,99,510,49.8,2,0,1,0.185,0.0,-58.63,9.3647
122,53448,194.7,600,750,73.2,2,0,0,0.8,0.0,-58.3193,9.1218
123,53624,-12.51,22,179,17.5,1,0,1,0.185,0.0,-58.1979,10.6527
124,54016,343.41,600,954,93.2,5,0,0,1.959,0.0,-58.7725,9.6911
125,54080,427.19,600,876,85.5,5,0,0,0.811,0.0,-58.5093,9.9791
126,54384,108.63,170,526,51.4,3,0,1,0.138,0.0,-58.3806,9.0502
127,54456,119.84,600,733,71.6,2,0,0,2.073,0.0,-58.3806,9.0502
128,54720,124.91,88,529,51.7,3,0,1,0.098,0.0,-58.1893,8.8885
129,55248,309.02,600,847,82.7,4,0,0,1.78,0.0,-58.9552,9.0604
130,55504,357.17,600,936,91.4,5,0,0,1.945,0.0,-58.6801,9.1367
131,57152,377.91,384,951,92.9,5,0,1,0.192,0.0,-57.9361,8.8031
132,57176,594.8,241,1020,99.6,6,1,0,1.609,0.0,-57.9361,8.8031
133,57184,319.85,600,972,94.9,5,0,0,0.894,0.0,0.0,0.0
134,58424,333.49,600,876,85.5,5,0,0,0.523,0.0,-57.4185,8.941
135,58720,577.57,193,1020,99.6,6,1,0,1.444,0.0,-57.2139,9.1236
136,59184,433.7,600,855,83.5,4,0,0,2.168,0.0,-56.8017,9.3982
137,59256,271.18,600,860,84.0,5,0,0,0.412,0.0,0.0,0.0
138,59520,332.1,600,957,93.5,5,0,0,1.845,0.0,-57.1439,8.9409
139,60304,366.5,600,849,82.9,4,0,0,2.137,0.0,-57.1128,8.2411
140,61952,357.53,600,861,84.1,4,0,0,1.345,0.0,-56.3637,9.0093
141,61984,354.84,600,840,82.0,4,0,0,2.543,0.0,-55.9258,8.6907
142,63224,298.23,600,867,84.7,4,0,0,1.813,0.0,-55.5867,8.4742
143,63520,380.6,600,934,91.2,4,0,0,1.838,0.0,-55.0315,9.6864
144,63984,377.36,600,948,92.6,5,0,0,1.461,0.0,-54.963,8.4876
145,64016,236.88,99,840,82.0,3,0,1,0.194,0.0,-54.715,8.8545
146,64056,191.36,600,546,53.3,3,0,0,1.364,0.0,-54.715,8.8545
147,64320,296.79,600,834,81.4,4,0,0,1.566,0.0,-54.8223,9.5893
148,65104,314.74,600,832,81.2,4,0,0,2.134,0.0,-54.3417,8.6459
149,65168,566.81,206,1020,99.6,6,1,0,1.224,0.0,0.0,0.0
150,66752,327.02,600,966,94.3,5,0,0,1.435,0.0,-53.358,7.5131
151,66768,118.59,200,541,52.8,2,0,1,0.193,0.0,-53.358,7.5131
152,66784,315.16,600,941,91.9,5,0,0,1.973,0.0,-53.358,7.5131
153,66976,-13.68,24,209,20.4,1,0,1,0.215,0.0,-53.0876,8.7053
154,68784,326.53,600,873,85.3,5,0,0,1.916,0.0,-52.5094,9.4159
155,68808,338.8,257,930,90.8,4,0,1,0.178,0.0,-52.5094,9.4159
156,68816,273.97,600,857,83.7,3,0,0,0.908,0.0,-52.5094,9.4159
157,68856,198.27,600,566,55.3,3,0,0,1.128,0.0,0.0,0.0
158,69120,270.95,600,955,93.3,4,0,0,2.116,0.0,-52.7428,9.5284
159,69904,150.88,600,554,54.1,2,0,0,1.028,0.0,-52.868,8.5897
160,71568,305.08,600,851,83.1,3,0,0,2.228,0.0,-51.7647,9.7753
161,71776,298.38,600,860,84.0,3,0,0,1.491,0.0,-51.9226,9.2727
162,73240,299.13,554,859,83.9,3,0,1,0.201,0.0,-51.8149,9.0734
163,73584,128.39,600,550,53.7,2,0,0,1.899,0.0,-51.9565,9.6481
164,73616,317.73,600,840,82.0,4,0,0,1.132,0.0,-51.9565,9.6481
165,73656,125.98,600,559,54.6,3,0,0,0.934,0.0,0.0,0.0
166,73920,430.5,600,1023,99.9,5,0,0,1.776,0.0,-51.9332,8.0609
167,74704,344.05,600,845,82.5,4,0,0,1.71,0.0,-51.6663,8.5503
168,75408,364.35,480,1024,100.0,5,0,1,0.196,0.0,-52.1377,8.8581
169,76576,205.69,600,558,54.5,3,0,0,1.043,0.0,-51.3482,7.6999
170,77904,124.6,498,576,56.2,2,0,1,0.173,0.0,-50.8452,7.8624
171,78040,412.39,600,1024,100.0,5,0,0,1.17,0.0,-50.8452,7.8624
172,78384,102.48,600,564,55.1,3,0,0,0.837,0.0,-50.5643,7.9308
173,78416,257.21,600,560,54.7,3,0,0,1.644,0.0,0.0,0.0
174,78456,275.2,600,868,84.8,4,0,0,1.293,0.0,0.0,0.0
175,79504,207.37,600,559,54.6,3,0,0,0.915,0.0,-50.3993,8.7069
176,80208,324.3,600,890,86.9,5,0,0,1.811,0.0,-50.4486,8.7037
177,81376,514.05,600,1024,100.0,5,0,0,1.499,0.0,-49.6389,9.0985
178,82704,175.16,600,561,54.8,2,0,0,0.91,0.0,-48.6284,8.4023
179,82840,172.1,600,564,55.1,3,0,0,0.847,0.0,-48.6284,8.4023
180,83184,138.85,600,577,56.3,2,0,0,1.759,0.0,-48.9374,8.4593
181,83216,317.15,600,856,83.6,4,0,0,1.97,0.0,-48.3271,8.023
182,83256,316.0,600,855,83.5,3,0,0,1.705,0.0,-48.3271,8.023
183,84304,275.69,600,940,91.8,4,0,0,0.915,0.0,-48.001,7.521
