episode,timestep,ep_return,steps,explored_voxels,coverage_pct,visited_rooms,success,crashed,min_lidar,ent_coef,actor_loss,critic_loss
1,800,64.67,100,486,47.5,1,0,1,0.096,0.05,0.0,0.0
2,864,16.63,108,468,45.7,1,0,1,0.141,0.05,0.0,0.0
3,1024,5.28,128,432,42.2,1,0,1,0.04,0.05,0.0,0.0
4,1112,49.14,139,477,46.6,1,0,1,0.203,0.05,0.0,0.0
5,1192,-19.0,49,194,18.9,1,0,1,0.093,0.05,0.0,0.0
6,1664,-2.91,59,204,19.9,1,0,1,0.206,0.05,0.0,0.0
7,1960,66.31,245,498,48.6,1,0,1,0.173,0.05,0.0,0.0
8,2208,3.55,31,211,20.6,1,0,1,0.171,0.05,0.0,0.0
9,2576,-78.69,322,272,26.6,1,0,1,0.176,0.05,0.0,0.0
10,3288,34.12,89,406,39.6,1,0,1,0.2,0.05,0.0,0.0
11,3392,-12.22,216,210,20.5,1,0,1,0.159,0.05,0.0,0.0
12,3656,295.53,457,565,55.2,2,0,1,0.1,0.05,0.0,0.0
13,3656,-10.92,33,203,19.8,1,0,1,0.137,0.05,0.0,0.0
14,3848,77.97,342,486,47.5,1,0,1,0.176,0.05,0.0,0.0
15,3936,50.49,216,446,43.6,1,0,1,0.151,0.05,0.0,0.0
16,4216,-5.8,116,189,18.5,1,0,1,0.147,0.05,0.0,0.0
17,4224,-28.03,71,273,26.7,1,0,1,0.143,0.05,0.0,0.0
18,4440,-4.74,74,203,19.8,1,0,1,0.167,0.05,0.0,0.0
19,4800,-17.36,600,316,30.9,1,0,0,1.013,0.05,0.0,0.0
20,5240,-2.92,163,442,43.2,1,0,1,0.168,0.05,0.0,0.0
21,5592,-12.92,99,278,27.1,1,0,1,0.092,0.05,0.0,0.0
22,5664,125.8,600,511,49.9,1,0,0,0.563,0.05,0.0,0.0
23,5824,18.76,600,472,46.1,1,0,0,0.815,0.05,0.0,0.0
24,5832,38.22,201,431,42.1,1,0,1,0.19,0.05,0.0,0.0
25,6160,-9.78,313,415,40.5,1,0,1,0.184,0.05,0.0,0.0
26,6168,55.2,63,469,45.8,1,0,1,0.168,0.05,0.0,0.0
27,6320,20.33,235,299,29.2,1,0,1,0.192,0.05,0.0,0.0
28,6360,5.1,25,214,20.9,1,0,1,0.163,0.05,0.0,0.0
29,6664,13.17,134,439,42.9,1,0,1,0.015,0.05,0.0,0.0
30,6944,7.9,341,302,29.5,1,0,1,0.203,0.05,0.0,0.0
31,7160,-18.93,27,202,19.7,1,0,1,0.12,0.05,0.0,0.0
32,7320,2.95,144,284,27.7,1,0,1,0.125,0.05,0.0,0.0
33,7656,17.89,62,219,21.4,1,0,1,0.0,0.05,0.0,0.0
34,7840,-10.45,147,434,42.4,1,0,1,0.166,0.05,0.0,0.0
35,8128,20.15,101,473,46.2,1,0,1,0.186,0.05,0.0,0.0
36,8224,39.15,71,231,22.6,1,0,1,0.151,0.05,-0.0138,101.5248
37,9632,69.07,414,457,44.6,1,0,1,0.188,0.05,-0.0138,101.5248
38,10040,302.59,600,681,66.5,2,0,0,1.877,0.05,-0.0138,101.5248
39,10320,184.46,561,609,59.5,1,0,1,0.106,0.05,-0.0138,101.5248
40,10624,130.02,600,562,54.9,1,0,0,1.621,0.05,-0.0138,101.5248
41,11160,285.2,600,657,64.2,1,0,0,2.116,0.05,-0.0138,101.5248
42,11432,60.29,101,505,49.3,1,0,1,0.123,0.05,-0.0138,101.5248
43,12040,54.07,215,525,51.3,1,0,1,0.173,0.05,-0.0138,101.5248
44,12344,19.4,148,231,22.6,1,0,1,0.123,0.05,-0.0138,101.5248
45,12640,324.07,600,733,71.6,2,0,0,1.903,0.05,-0.0138,101.5248
46,12928,347.9,600,559,54.6,2,0,0,0.905,0.05,-0.0138,101.5248
47,13024,357.63,600,725,70.8,2,0,0,1.508,0.05,-0.0138,101.5248
48,14240,-12.77,152,204,19.9,1,0,1,0.166,0.05,-0.0138,101.5248
49,14432,152.6,600,429,41.9,1,0,0,1.934,0.05,-0.0138,101.5248
50,14656,-10.72,28,196,19.1,1,0,1,0.069,0.05,-0.0138,101.5248
51,14824,228.69,310,529,51.7,2,0,1,0.191,0.05,-0.0138,101.5248
52,14840,210.4,600,459,44.8,1,0,0,2.264,0.05,-0.0138,101.5248
53,15456,19.74,77,222,21.7,1,0,1,0.172,0.05,-0.0138,101.5248
54,15992,227.46,383,612,59.8,1,0,1,0.148,0.05,-0.0138,101.5248
55,16232,365.1,600,679,66.3,1,0,0,1.48,0.05,-0.0138,101.5248
56,16840,134.4,600,412,40.2,1,0,0,1.813,0.05,-0.011,75.1414
57,17440,240.2,600,663,64.7,2,0,0,2.293,0.05,-0.011,75.1414
58,18016,257.72,420,660,64.5,1,0,1,0.121,0.05,-0.011,75.1414
59,19040,175.3,600,426,41.6,1,0,0,2.381,0.05,-0.011,75.1414
60,19400,97.68,245,525,51.3,1,0,1,0.205,0.05,-0.011,75.1414
61,19624,295.42,600,663,64.7,2,0,0,1.239,0.05,-0.011,75.1414
62,19744,79.81,88,470,45.9,1,0,1,0.189,0.05,-0.011,75.1414
63,20256,353.27,600,729,71.2,2,0,0,1.828,0.05,-0.011,75.1414
64,20792,348.24,600,722,70.5,2,0,0,2.346,0.05,-0.011,75.1414
65,20840,3.18,73,204,19.9,1,0,1,0.198,0.05,-0.011,75.1414
66,21032,253.13,600,665,64.9,2,0,0,2.092,0.05,-0.011,75.1414
67,21568,223.24,228,592,57.8,2,0,1,0.204,0.05,-0.011,75.1414
68,21640,211.8,600,445,43.5,1,0,0,1.959,0.05,-0.011,75.1414
69,22256,362.07,530,574,56.1,2,0,1,0.126,0.05,-0.011,75.1414
70,22880,218.79,164,536,52.3,2,0,1,0.161,0.05,-0.011,75.1414
71,24200,365.73,600,737,72.0,2,0,0,1.09,0.05,-0.011,75.1414
72,24424,285.1,600,538,52.5,2,0,0,1.124,0.05,-0.011,75.1414
73,24920,45.24,90,483,47.2,1,0,1,0.134,0.05,-0.0101,102.2568
74,25592,523.23,600,736,71.9,2,0,0,1.152,0.05,-0.0101,102.2568
75,25640,422.64,600,788,77.0,2,0,0,2.317,0.05,-0.0101,102.2568
