rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/loss,train/explained_variance,train/learning_rate,train/n_updates,train/approx_kl,train/std,train/clip_fraction,train/clip_range
209.59375,1,4960,8192,37.216899375,1,,,,,,,,,,,
266.5769230769231,2,4108,16384,67.9045791923077,3,-0.013335899375670123,-4.292718812823296,95.43532500267028,36.48771286010742,0.00045365095138549805,0.0003,10,0.012076404,1.0204863548278809,0.1403564453125,0.2
290.46753246753246,3,3890,24576,103.00829548051948,6,-0.011868883176066446,-4.33049892783165,82.5825629234314,36.779632568359375,0.11490613222122192,0.0003,20,0.008016962,1.0284446477890015,0.09012451171875,0.2
304.64,4,3791,32768,126.86587378999998,8,-0.008677334352978506,-4.348645097017288,109.84025444984437,46.48231887817383,0.1490071415901184,0.0003,30,0.006146537,1.0329021215438843,0.05865478515625,0.2
340.4,5,3739,40960,166.42626280000002,10,-0.009031089587369933,-4.360747891664505,115.31904811859131,47.793601989746094,0.37748634815216064,0.0003,40,0.006317475,1.0375730991363525,0.051123046875,0.2
371.25,6,3693,49152,212.12394598999998,13,-0.011250381464196834,-4.376082879304886,105.20004005432129,47.745052337646484,0.501848965883255,0.0003,50,0.008035513,1.043686032295227,0.0812744140625,0.2
395.79,7,3659,57344,241.97191676000003,15,-0.006485936355602462,-4.391850033402443,114.77194766998291,48.02524185180664,0.6743845045566559,0.0003,60,0.0063009565,1.0483765602111816,0.040869140625,0.2
418.85,8,3641,65536,261.56887143,17,-0.005806358133850153,-4.405840584635735,102.57820959091187,41.35297393798828,0.759966567158699,0.0003,70,0.0057070153,1.0528286695480347,0.038818359375,0.2
438.84,9,3627,73728,296.93943235,20,-0.00608440369105665,-4.418154519796372,98.75791006088257,47.311275482177734,0.8322904258966446,0.0003,80,0.0062277005,1.0571900606155396,0.0480224609375,0.2
452.83,10,3613,81920,318.38089671,22,-0.006556245010870043,-4.431975579261779,128.42889738082886,60.747684478759766,0.772202342748642,0.0003,90,0.006382523,1.06330406665802,0.049853515625,0.2
462.16,11,3602,90112,327.9376066699999,25,-0.005739555551554076,-4.447578287124633,106.95218825340271,42.84959030151367,0.869622990489006,0.0003,100,0.006521446,1.0678620338439941,0.0553466796875,0.2
438.76,12,3593,98304,319.7262079,27,-0.004445102186582517,-4.463081261515617,123.14216885566711,53.65425109863281,0.8756009563803673,0.0003,110,0.005148491,1.0755298137664795,0.04906005859375,0.2
418.13,13,3584,106496,322.50685469999996,29,-0.0048062586727610325,-4.4826493740081785,112.56532883644104,36.45836639404297,0.875012680888176,0.0003,120,0.005082408,1.0813922882080078,0.0487060546875,0.2
416.6,14,3576,114688,324.78384166999996,32,-0.004758589097036747,-4.4964513093233105,125.02845983505249,45.36924743652344,0.8844313248991966,0.0003,130,0.0057810573,1.0858653783798218,0.0392333984375,0.2
385.5,15,3569,122880,310.51719629999997,34,-0.004768304212484508,-4.514607560634613,121.68192586898803,49.051761627197266,0.8982614427804947,0.0003,140,0.0046162764,1.094448208808899,0.04893798828125,0.2
370.11,16,3563,131072,314.37580205,36,-0.005822879764309619,-4.536244881153107,138.63140678405762,66.02396392822266,0.8881314918398857,0.0003,150,0.0072755963,1.1010774374008179,0.05428466796875,0.2
385.48,17,3559,139264,329.32516166,39,-0.00527313109341776,-4.555134934186936,129.2750054359436,52.042964935302734,0.9049802348017693,0.0003,160,0.005988677,1.1086751222610474,0.0396484375,0.2
398.22,18,3554,147456,328.81538015000007,41,-0.004358321459585568,-4.575825509428978,83.65568714141845,39.241947174072266,0.9294045642018318,0.0003,170,0.006408936,1.1168376207351685,0.05015869140625,0.2
410.01,19,3551,155648,334.8385885899999,43,-0.0055341131574095925,-4.601752746105194,115.00369291305542,49.799625396728516,0.9209792986512184,0.0003,180,0.007578943,1.1268916130065918,0.0690673828125,0.2
436.51,20,3548,163840,352.4186489,46,-0.0045790859458065825,-4.623379889130592,93.36552567481995,28.524707794189453,0.9374219998717308,0.0003,190,0.007204882,1.1348406076431274,0.06480712890625,0.2
448.75,21,3546,172032,359.33996636000006,48,-0.004870158724952489,-4.653180316090584,81.68846929073334,38.01991653442383,0.944698840379715,0.0003,200,0.0066403216,1.147242546081543,0.06270751953125,0.2
434.34,22,3543,180224,351.23334520000003,50,-0.005761480049113743,-4.6738577544689175,112.99003429412842,42.92331314086914,0.9296524673700333,0.0003,210,0.004515455,1.1512091159820557,0.062841796875,0.2
432.99,23,3540,188416,349.72307927,53,-0.0047608577064238485,-4.694210201501846,112.36837358474732,53.60553741455078,0.9167824685573578,0.0003,220,0.006065867,1.1639701128005981,0.07176513671875,0.2
422.75,24,3539,196608,353.4594812999999,55,-0.00440270637118374,-4.722508829832077,117.80275883674622,52.45027542114258,0.9246635884046555,0.0003,230,0.0058967364,1.1725351810455322,0.054931640625,0.2
420.51,25,3537,204800,339.3898314300001,57,-0.004118507400562521,-4.74321603178978,96.1385145664215,37.77261734008789,0.9416530691087246,0.0003,240,0.0056364555,1.181894063949585,0.049169921875,0.2
