episode,timestep,ep_return,steps,explored_voxels,coverage_pct,visited_rooms,success,crashed,min_lidar,ent_coef,actor_loss,critic_loss
1,248,-11.12,31,358,35.0,1,0,1,0.189,0.005,0.0,0.0
2,272,31.2,34,485,47.4,1,0,1,0.077,0.005,0.0,0.0
3,944,16.34,118,406,39.6,1,0,1,0.181,0.005,0.0,0.0
4,960,2.69,120,376,36.7,1,0,1,0.141,0.005,0.0,0.0
5,1072,29.41,134,409,39.9,1,0,1,0.163,0.005,0.0,0.0
6,1416,20.88,143,469,45.8,1,0,1,0.118,0.005,0.0,0.0
7,1552,-2.24,74,214,20.9,1,0,1,0.152,0.005,0.0,0.0
8,2520,55.68,315,473,46.2,1,0,1,0.168,0.005,0.0,0.0
9,3120,-32.83,390,287,28.0,1,0,1,0.125,0.005,0.0,0.0
10,3184,-4.78,83,356,34.8,1,0,1,0.163,0.005,0.0,0.0
11,3456,27.25,255,332,32.4,1,0,1,0.174,0.005,0.0,0.0
12,3456,20.52,42,214,20.9,1,0,1,0.141,0.005,0.0,0.0
13,3736,-32.3,273,211,20.6,1,0,1,0.144,0.005,0.0,0.0
14,3872,-13.44,86,329,32.1,1,0,1,0.187,0.005,0.0,0.0
15,4152,78.34,385,493,48.1,1,0,1,0.22,0.005,0.0,0.0
16,4152,-16.75,35,404,39.5,1,0,1,0.151,0.005,0.0,0.0
17,4528,-27.36,134,263,25.7,1,0,1,0.202,0.005,0.0,0.0
18,4800,75.72,600,373,36.4,1,0,0,2.841,0.005,0.0,0.0
19,5048,213.95,600,534,52.1,2,0,0,1.085,0.005,0.0,0.0
20,5608,-13.08,182,370,36.1,1,0,1,0.151,0.005,0.0,0.0
21,5744,185.8,600,577,56.3,1,0,0,1.655,0.005,0.0,0.0
22,5896,-59.67,270,427,41.7,1,0,1,0.192,0.005,0.0,0.0
23,6416,-58.31,202,268,26.2,1,0,1,0.193,0.005,0.0,0.0
24,6992,20.45,355,300,29.3,1,0,1,0.1,0.005,0.0,0.0
25,7568,31.23,144,410,40.0,1,0,1,0.132,0.005,0.0,0.0
26,8256,127.6,600,388,37.9,1,0,0,2.064,0.005,-0.0125,73.905
27,9224,-10.2,121,205,20.0,1,0,1,0.059,0.005,-0.0125,73.905
28,9328,42.01,600,450,43.9,1,0,0,2.394,0.005,-0.0125,73.905
29,9792,29.36,278,481,47.0,1,0,1,0.179,0.005,-0.0125,73.905
30,9848,121.5,600,358,35.0,1,0,0,2.842,0.005,-0.0125,73.905
31,9968,-2.95,15,439,42.9,1,0,1,0.041,0.005,-0.0125,73.905
32,10408,215.8,600,429,41.9,1,0,0,1.493,0.005,-0.0125,73.905
33,10544,321.85,600,516,50.4,2,0,0,0.865,0.005,-0.0125,73.905
34,10656,98.11,166,480,46.9,1,0,1,0.124,0.005,-0.0125,73.905
35,10696,74.55,600,338,33.0,1,0,0,2.118,0.005,-0.0125,73.905
36,11256,-22.15,75,190,18.6,1,0,1,0.117,0.005,-0.0125,73.905
37,11320,39.27,191,231,22.6,1,0,1,0.16,0.005,-0.0125,73.905
38,11792,318.2,600,685,66.9,1,0,0,2.067,0.005,-0.0125,73.905
39,12008,38.34,86,209,20.4,1,0,1,0.127,0.005,-0.0125,73.905
40,12544,21.54,231,415,40.5,1,0,1,0.15,0.005,-0.0125,73.905
41,13336,315.3,366,519,50.7,2,0,1,0.146,0.005,-0.0125,73.905
42,13496,5.39,441,318,31.1,1,0,1,0.175,0.005,-0.0125,73.905
43,13624,263.29,385,574,56.1,2,0,1,0.173,0.005,-0.0125,73.905
