time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/clip_range,train/approx_kl,train/entropy_loss,train/loss,train/value_loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/std,train/n_updates
1,8192,1,224.2,21.50270192,5067,,,,,,,,,,,
3,16384,2,295.32608695652175,77.01741008695653,4181,0.2,0.009575654,-4.25108872950077,28.406452178955078,68.7211443901062,-0.0017156600952148438,0.0003,-0.014478366961702705,0.13203125,0.9959864020347595,10
6,24576,3,336.030303030303,110.80875439393938,3953,0.2,0.010609531,-4.235297027230263,34.50505828857422,88.61331915855408,0.12844491004943848,0.0003,-0.012797623050573748,0.10419921875,0.9892799258232117,20
8,32768,4,342.4222222222222,138.07765933333334,3843,0.2,0.0066457805,-4.220084175467491,45.42813491821289,94.77821969985962,0.21218830347061157,0.0003,-0.008250368767767214,0.05447998046875,0.9855387806892395,30
11,40960,5,369.47,166.19452039999996,3722,0.2,0.0057469127,-4.2093212604522705,42.53398513793945,116.81170630455017,0.19174093008041382,0.0003,-0.00800936282175826,0.0427978515625,0.9821717739105225,40
13,49152,6,399.64,220.56406249999998,3688,0.2,0.0065501374,-4.199287414550781,52.94203567504883,114.6002769947052,0.37340641021728516,0.0003,-0.008385934464604361,0.0539306640625,0.9798001646995544,50
164,57344,7,421.18,241.66498948000003,349,0.2,0.004649763,-4.1947060286998745,44.215396881103516,104.57072162628174,0.513349711894989,0.0003,-0.006009774481935892,0.0397216796875,0.9789597988128662,60
169,65536,8,430.9,251.74394642999997,386,0.2,0.0044209026,-4.189700934290886,35.79146957397461,85.53894455432892,0.7002386748790741,0.0003,-0.004205095334691577,0.03177490234375,0.976513683795929,70
174,73728,9,457.87,274.78963117,423,0.2,0.005744974,-4.186899015307427,35.0948371887207,85.51671621799468,0.7628375291824341,0.0003,-0.007643475754593965,0.06661376953125,0.9778217673301697,80
177,81920,10,478.13,286.33831850999997,461,0.2,0.0042852173,-4.1881414473056795,48.6367073059082,103.5508960723877,0.8077217191457748,0.0003,-0.00496241664950503,0.03253173828125,0.9767053723335266,90
181,90112,11,506.32,307.40549883999995,497,0.2,0.008494828,-4.182360526919365,32.96914291381836,80.4181931257248,0.8620602935552597,0.0003,-0.008374651096528397,0.0703857421875,0.9743053317070007,100
184,98304,12,503.89,301.63180773,532,0.2,0.007606368,-4.179283836483956,29.49555778503418,75.80531823635101,0.8860832452774048,0.0003,-0.008078466411097907,0.07939453125,0.9746397137641907,110
188,106496,13,526.35,319.47128404,566,0.2,0.006280713,-4.176018312573433,43.759647369384766,100.47314670085908,0.8830126076936722,0.0003,-0.005948671270016348,0.060302734375,0.9721996188163757,120
191,114688,14,497.57,323.62153780000006,598,0.2,0.006139617,-4.166221806406975,60.857173919677734,118.65373768806458,0.8571030497550964,0.0003,-0.007853611435712083,0.0739013671875,0.9686477780342102,130
195,122880,15,459.34,328.92522618,629,0.2,0.005097178,-4.157868614792823,56.943607330322266,129.89291911125184,0.8500748574733734,0.0003,-0.004167575256724376,0.04052734375,0.9669094681739807,140
198,131072,16,425.49,329.02935107999997,660,0.2,0.005917698,-4.1529056370258335,83.96868896484375,164.8542811870575,0.8508579432964325,0.0003,-0.004106468742975267,0.03428955078125,0.9647774696350098,150
201,139264,17,386.29,322.51580837999995,691,0.2,0.0048956536,-4.145310753583908,52.470619201660156,121.65131168365478,0.9005840048193932,0.0003,-0.005519286592607387,0.0568115234375,0.9624860882759094,160
204,147456,18,363.43,327.2380211,721,0.2,0.0042882683,-4.137190246582032,86.7486343383789,170.9889620780945,0.8743189722299576,0.0003,-0.004558002152043628,0.04537353515625,0.9595419764518738,170
207,155648,19,361.73,336.83825275999993,750,0.2,0.006017314,-4.132416567206382,106.01837158203125,217.36870183944703,0.8504228740930557,0.0003,-0.005572816226049326,0.05111083984375,0.9597256183624268,180
210,163840,20,369.33,348.09371145,779,0.2,0.0044203456,-4.128324556350708,67.0128402709961,148.78103189468385,0.9025129675865173,0.0003,-0.004265293749631383,0.0359130859375,0.9563633799552917,190
213,172032,21,365.5,352.70312456000005,805,0.2,0.0061989203,-4.12192032635212,64.16131591796875,136.31930103302003,0.9115539789199829,0.0003,-0.005120596157212276,0.051611328125,0.9560926556587219,200
216,180224,22,380.03,374.02470891999997,831,0.2,0.0050594374,-4.118114429712295,72.19808197021484,183.1601236343384,0.8874296322464943,0.0003,-0.00458453556348104,0.058447265625,0.9536595344543457,210
219,188416,23,393.81,373.1333090900001,856,0.2,0.005125626,-4.107557713985443,71.95319366455078,147.22565207481384,0.9183505475521088,0.0003,-0.004803768467536429,0.06097412109375,0.9498142600059509,220
222,196608,24,389.56,385.1749463100001,881,0.2,0.0066043036,-4.097684046626091,44.30233383178711,86.63411073684692,0.9456615746021271,0.0003,-0.004993443055718671,0.07318115234375,0.9474268555641174,230
226,204800,25,362.55,401.8008777400001,903,0.2,0.005906539,-4.0901883989572525,69.71714782714844,167.22404646873474,0.8996858522295952,0.0003,-0.003984199133992661,0.05975341796875,0.9450697302818298,240
