#{"t_start": 1780251405.8839998, "env_id": "None"}
r,l,t,explored_voxels,visited_rooms
17.018,282,3100.268049,16,2
86.2,1000,3123.369153,73,5
79.2,1000,3146.51265,58,6
-51.3,1000,3169.618492,48,3
81.0,1000,3192.73863,61,6
42.03,370,3201.613351,25,4
-9.755,255,3207.921777,16,2
38.0,1000,3231.047167,41,4
14.399,501,3242.931861,31,3
28.845,755,3260.52335,52,4
52.1,1000,3283.652399,67,5
45.7,1000,3306.807326,68,4
92.6,1000,3329.987216,77,5
31.8,1000,3353.085652,49,3
-3.1,1000,3376.25795,40,3
5.9,1000,3399.663003,50,3
21.3,1000,3423.023085,69,3
-9.387,287,3430.385616,17,2
41.9,1000,3453.700395,55,5
-1.0,1000,3476.938862,56,2
68.9,1000,3500.216927,60,5
14.0,1000,3523.47381,41,3
10.147,453,3534.316168,25,2
32.046,254,3540.625106,13,3
12.637,363,3549.415586,19,2
43.034,566,3562.864055,38,4
79.7,1000,3586.093634,53,6
53.5,1000,3609.321873,56,4
28.581,219,3614.824824,13,3
-72.393,193,3619.730123,12,1
56.6,1000,3642.969579,67,5
47.7,1000,3666.232162,73,4
7.973,427,3676.480132,22,2
19.996,504,3688.459622,25,3
32.191,509,3700.567432,37,3
36.1,1000,3723.853729,67,4
0.04,660,3739.39043,38,2
30.711,589,3753.305653,43,3
26.862,338,3761.528167,16,3
37.8,1000,3784.75749,64,4
32.136,264,3791.289409,14,3
-120.3,1000,3814.516371,58,3
49.464,836,3834.029385,55,5
6.97,430,3844.333028,20,2
33.572,228,3850.038396,12,3
18.2,1000,3873.28135,73,2
30.2,1000,3896.831283,48,3
41.991,609,3911.202955,41,4
67.6,1000,3934.457277,77,5
72.1,1000,3957.716235,72,4
56.833,567,3971.196033,37,5
15.4,1000,3994.421899,60,3
45.746,354,4002.988645,21,4
35.5,1000,4026.215917,56,3
56.9,1000,4049.492256,60,4
67.8,1000,4072.72712,64,6
35.1,1000,4095.981578,52,3
37.5,1000,4119.225154,41,4
15.013,487,4130.823025,33,2
44.124,376,4139.944494,27,4
54.244,656,4155.367082,46,5
51.5,1000,4178.665512,76,4
37.2,1000,4201.899797,63,4
45.2,1000,4225.153889,48,4
37.6,1000,4248.560589,57,3
52.628,772,4266.729547,52,5
20.502,498,4278.530272,29,3
18.8,1000,4301.650745,69,4
64.308,892,4322.314026,60,6
35.9,200,4327.356359,12,3
-10.337,537,4340.006622,15,2
58.8,1000,4363.149941,69,5
35.12,180,4367.759056,9,3
78.3,1000,4390.888608,64,5
-26.099,899,4411.833783,33,2
42.093,407,4421.630405,23,4
23.5,1000,4444.878216,66,3
22.958,442,4455.477226,22,3
66.4,1000,4478.733383,55,5
47.711,389,4488.103632,26,4
48.255,645,4503.603933,50,4
71.3,1000,4526.840668,69,6
87.5,1000,4550.064565,71,7
16.881,419,4560.186073,28,2
14.888,412,4570.073301,21,3
98.8,1000,4593.376534,69,6
29.8,1000,4616.59912,39,4
35.6,1000,4640.265049,57,3
41.665,935,4662.354219,57,5
30.7,1000,4685.844737,68,5
-22.341,541,4698.747709,39,2
-16.188,288,4705.83676,15,2
8.836,464,4716.886929,33,2
55.0,1000,4740.210854,66,5
29.37,530,4752.810681,40,3
24.13,670,4768.566031,44,3
37.2,1000,4791.784986,63,4
113.8,1000,4815.005525,69,7
-3.7,1000,4838.235611,54,4
59.9,1000,4861.564776,75,5
13.93,470,4872.784079,30,2
24.6,1000,4896.021997,52,4
35.8,1000,4919.262654,69,5
40.821,679,4935.23215,50,5
-4.397,197,4940.232376,16,2
12.629,671,4955.990854,50,4
65.0,1000,4979.244972,71,4
30.61,390,4988.648039,26,3
80.5,1000,5011.899787,66,5
86.6,1000,5035.143626,67,7
-28.025,425,5045.340494,30,2
-13.47,470,5056.555881,31,2
37.918,682,5072.598635,44,4
-8.5,500,5084.485107,36,2
45.46,640,5099.55143,47,4
35.089,511,5111.65144,38,6
51.267,633,5126.570024,38,5
-36.357,257,5132.942301,17,2
57.081,619,5147.826458,42,5
48.9,1000,5171.094168,40,5
82.8,1000,5194.355087,69,5
-16.4,1000,5217.621522,52,3
34.0,1000,5240.847351,61,5
77.2,1000,5264.096977,63,5
32.944,256,5270.453284,14,3
16.108,492,5282.150392,34,2
20.8,1000,5305.397223,39,3
18.948,252,5311.673283,15,2
16.543,357,5320.321415,22,2
17.99,310,5328.2091,19,2
-15.997,397,5337.773162,17,3
54.2,1000,5361.010967,68,5
32.2,1000,5384.244606,53,3
-11.349,549,5397.248124,37,3
-8.1,1000,5420.494424,60,3
19.513,887,5441.158766,62,5
57.626,674,5456.975084,48,5
55.225,775,5475.117054,56,5
14.657,543,5488.287323,26,3
26.2,1000,5511.52161,53,4
19.0,1000,5534.744476,66,4
6.7,1000,5557.947664,58,4
27.94,360,5566.664811,19,3
9.038,562,5580.074048,34,2
-68.216,916,5601.410917,49,4
-1.9,1000,5624.650711,72,2
17.9,1000,5647.889692,60,3
14.097,403,5657.581353,24,3
10.8,1000,5680.818232,54,3
-11.369,669,5696.559572,38,2
34.3,1000,5719.808408,44,4
58.9,1000,5743.349072,60,4
25.5,1000,5766.885383,46,3
36.569,231,5772.685208,15,3
25.3,1000,5795.947149,44,3
34.538,262,5802.433975,16,3
17.7,1000,5825.681298,43,3
14.394,506,5837.723074,36,2
21.6,1000,5860.971504,67,5
39.659,641,5876.060092,35,5
48.528,272,5882.784022,16,4
57.228,672,5898.573751,47,5
44.9,1000,5921.809197,70,4
50.274,326,5929.816703,23,4
28.5,1000,5953.159662,46,3
-12.653,853,5973.014566,41,2
44.265,735,5990.337356,41,5
8.342,558,6003.562527,33,2
76.1,1000,6026.922971,62,5
41.9,1000,6050.81531,45,4
6.614,586,6064.860548,34,2
-4.092,692,6081.24325,34,2
45.808,392,6091.011302,25,4
15.6,1000,6114.396598,57,3
20.412,888,6135.113693,47,4
39.493,607,6149.451607,39,4
75.7,1000,6172.740785,63,5
36.378,222,6178.33374,14,3
24.036,464,6189.533353,30,4
18.4,1000,6212.933646,60,3
30.806,894,6233.852094,57,4
0.135,465,6245.213693,17,2
31.2,1000,6269.132339,58,4
29.051,849,6289.206805,59,4
-14.001,801,6308.240095,35,2
49.486,814,6327.368099,53,5
-46.7,1000,6350.630364,14,2
-46.7,1000,6373.890875,14,2
39.4,1000,6397.145827,65,4
25.443,657,6412.591044,44,3
45.85,850,6432.442157,53,5
-1.809,909,6453.639688,56,2
18.6,1000,6476.890539,37,3
42.683,717,6493.729771,52,4
116.0,1000,6516.984084,71,7
49.732,768,6534.985287,49,5
47.9,1000,6558.250887,60,5
-106.2,1000,6581.489706,29,2
-29.1,1000,6604.695911,30,2
10.6,1000,6627.92047,62,4
-11.5,1000,6651.123138,46,2
29.455,445,6662.053837,30,4
23.118,882,6682.532521,53,4
19.7,1000,6705.666483,63,3
16.018,282,6712.56829,16,2
3.4,1000,6735.762503,60,2
57.419,681,6751.680442,48,5
70.076,824,6770.846719,59,6
20.5,1000,6793.994102,76,3
7.377,923,6815.403575,47,4
-12.6,1000,6838.550553,45,2
6.892,408,6848.303936,27,2
27.9,1000,6871.438488,60,4
16.275,425,6881.57485,28,2
0.6,1000,6904.702256,47,3
-40.25,450,6915.423619,13,3
15.811,689,6931.537689,25,4
46.2,1000,6954.763667,58,5
-30.3,1000,6977.915555,48,2
