rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/n_updates,train/ent_coef,train/learning_rate,train/critic_loss,train/actor_loss,train/ent_coef_loss
180.25,3063,2960,56.2813345,0,4,,,,,,
227.5,3044,4496,27.331486374999997,1,8,,,,,,
287.53846153846155,2993,4800,47.611027538461535,1,12,,,,,,
276.6875,2958,5296,41.770207187500006,1,16,,,,,,
257.6,3055,7480,32.29072955,2,20,,,,,,
287.7083333333333,3044,8592,34.520985708333335,2,24,,,,,,
308.25,2936,9968,23.745066607142856,3,28,,,,,,
291.59375,1846,10736,26.801629562499997,5,32,64,0.9952550567686558,0.0001,6.289872318506241,-3.046816363930702,-0.024023013014812022
282.05555555555554,1542,11096,31.465667499999995,7,36,128,0.9888990093022585,0.0001,6.5254515670239925,-5.53554804623127,-0.056363207986578345
282.025,1173,12064,34.4535894,10,40,256,0.976318234577775,0.0001,5.8781100660562515,-9.689539730548859,-0.12097293208353221
274.79545454545456,938,13624,35.372320181818175,14,44,448,0.9577580336481333,0.0001,8.164450459182262,-16.113315016031265,-0.21781141823157668
268.9791666666667,830,14904,37.0903886875,17,48,608,0.9425586424767971,0.0001,8.169936247169971,-21.402997970581055,-0.2985428338870406
281.4423076923077,780,16080,36.38993226923076,20,52,736,0.9305729605257511,0.0001,9.272685151547194,-25.330392062664032,-0.3627291386947036
281.5357142857143,700,18248,45.562109875,26,56,1024,0.904204910621047,0.0001,9.858565337955952,-33.741037368774414,-0.504853954538703
284.26666666666665,678,19000,49.519093600000005,27,60,1120,0.8956153523176908,0.0001,10.420291032642126,-36.18680775165558,-0.5506498236209154
288.84375,632,20600,57.218962265625,32,64,1312,0.8787751067429781,0.0001,10.682881731539965,-41.13889920711517,-0.6380970925092697
293.27941176470586,602,21808,64.81994482352941,36,68,1472,0.8651029020547867,0.0001,9.932731129229069,-44.98361146450043,-0.7055256217718124
302.3611111111111,579,24232,81.57426776388888,41,72,1760,0.8412617985159159,0.0001,12.20648355782032,-52.13552391529083,-0.8246641512960196
311.07894736842104,562,25680,89.6028089868421,45,76,1952,0.8258381895720959,0.0001,11.164574787020683,-56.604016184806824,-0.9045069441199303
325.525,537,28464,102.79194883749999,52,80,2304,0.7983593046665192,0.0001,14.926377780735493,-63.763465881347656,-1.0446483232080936
338.5952380952381,523,30480,115.48259901190474,58,84,2560,0.7789752725511789,0.0001,12.033891215920448,-68.11433267593384,-1.1425637528300285
350.47727272727275,515,33264,123.95871792045455,64,88,2880,0.7554077580571175,0.0001,11.437799274921417,-72.62619996070862,-1.268048506230116
361.32608695652175,508,35280,137.69941936956522,69,92,3136,0.7370908260345459,0.0001,12.450868219137192,-75.68597936630249,-1.3634784296154976
365.5416666666667,500,37440,145.26641722916668,74,96,3424,0.7170173116028309,0.0001,12.144346922636032,-78.49648022651672,-1.4644873514771461
369.41,493,39024,148.58148204,79,100,3616,0.7039890959858894,0.0001,10.585885927081108,-80.259685754776,-1.533174630254507
386.2,484,41008,159.25022866,84,104,3872,0.6869495790451765,0.0001,11.370372518897057,-81.81321334838867,-1.6280940100550652
399.21,473,43824,171.72296312999998,92,108,4224,0.6641163118183613,0.0001,13.132104516029358,-83.28576135635376,-1.7511588037014008
398.96,469,45088,176.58917886999998,96,112,4384,0.653944643214345,0.0001,14.585138574242592,-83.67747735977173,-1.8071818947792053
398.97,468,45808,181.08974892000003,97,116,4448,0.6499320529401302,0.0001,13.467526152729988,-83.8922929763794,-1.835190623998642
410.41,464,48456,189.69827002000002,104,120,4800,0.628179881721735,0.0001,12.724074199795723,-84.13188195228577,-1.9719028919935226
416.88,462,50344,198.03567830999998,108,124,5024,0.6146269664168358,0.0001,13.901986122131348,-84.16606307029724,-2.051843259483576
423.62,458,53256,210.36382996000003,116,128,5408,0.5920218303799629,0.0001,11.824522823095322,-83.90871357917786,-2.2045988738536835
440.62,456,55144,218.48152786,120,132,5632,0.579186275601387,0.0001,11.57526895403862,-83.13998317718506,-2.282858021557331
445.77,454,56640,222.14119186000005,124,136,5824,0.5683957599103451,0.0001,14.151811018586159,-82.40858340263367,-2.3497156873345375
453.18,452,58224,227.79785791000003,128,140,6016,0.5577887408435345,0.0001,11.676961734890938,-81.87740921974182,-2.4282581955194473
459.14,442,60472,231.03659002999996,136,144,6304,0.5422805212438107,0.0001,12.909327000379562,-80.5837824344635,-2.524968206882477
469.59,440,61568,237.61721056000002,139,148,6432,0.5355166271328926,0.0001,13.191386491060257,-80.30239772796631,-2.585795409977436
465.46,439,62944,241.96723353000002,143,152,6592,0.5272060111165047,0.0001,13.527106240391731,-79.44324207305908,-2.61765618622303
478.15,437,65560,242.07445632000002,149,156,6944,0.5093447808176279,0.0001,13.71904020011425,-77.72992324829102,-2.7761910930275917
483.94,434,67656,247.10943529,155,160,7200,0.4966912120580673,0.0001,12.131750762462616,-76.88327932357788,-2.840784326195717
482.14,433,68696,243.53783347,158,164,7328,0.4904720354825258,0.0001,14.652543291449547,-76.01847982406616,-2.888074867427349
491.57,429,71040,243.01648871,165,168,7616,0.4767497619614005,0.0001,13.145866498351097,-74.5903525352478,-3.0130807608366013
491.58,429,72944,234.12733947,169,172,7840,0.46633876860141754,0.0001,12.56702247262001,-73.06990385055542,-3.119393602013588
496.86,428,75160,234.85964208,175,176,8128,0.45324100088328123,0.0001,12.956865191459656,-71.416433095932,-3.18011574447155
496.86,427,77744,230.28382049,181,180,8448,0.4391558272764087,0.0001,12.339293703436852,-69.6360125541687,-3.310558967292309
496.86,426,79960,225.76598656,187,184,8736,0.4268182972446084,0.0001,12.71722312271595,-67.70723581314087,-3.4368030428886414
496.86,425,82544,224.03605550999998,193,188,9056,0.4134641159325838,0.0001,11.823308989405632,-65.67901837825775,-3.5833729431033134
496.86,424,84760,212.84979566,199,192,9344,0.40175992995500565,0.0001,11.549001350998878,-64.13573944568634,-3.70136346668005
492.2,424,86672,208.11575848999996,204,196,9568,0.39290778804570436,0.0001,12.802715554833412,-63.18820762634277,-3.7575237303972244
492.78,423,87936,206.28526603999998,207,200,9728,0.38672797847539186,0.0001,11.856019631028175,-61.713032722473145,-3.824186585843563
492.78,423,90240,202.04938385999998,213,204,10016,0.3758712075650692,0.0001,10.921649888157845,-60.37942826747894,-3.939294882118702
489.82,421,92696,196.7497231,219,208,10336,0.3641460435464978,0.0001,12.818015724420547,-59.11322009563446,-3.986515522003174
495.12,420,94832,193.01585762000002,225,212,10592,0.3550521181896329,0.0001,11.80530247092247,-57.81305241584778,-4.11130104213953
506.22,419,96944,198.70583278,231,216,10848,0.3462265906855464,0.0001,11.034111306071281,-56.27102828025818,-4.170833267271519
505.82,418,99392,193.85659640999995,237,220,11168,0.33548950497061014,0.0001,11.150713875889778,-54.76113474369049,-4.284447595477104
505.82,418,101072,194.58483993,241,224,11360,0.32917054649442434,0.0001,12.00211375951767,-53.74361062049866,-4.36533559858799
505.82,417,104192,193.91973814999997,249,228,11744,0.3169169155880809,0.0001,10.30236992239952,-51.87788367271423,-4.432572320103645
500.11,417,104872,190.84184295000003,251,232,11840,0.3139335634186864,0.0001,11.00526736676693,-51.01578402519226,-4.547216892242432
500.46,416,106544,194.88103170000005,255,236,12064,0.30706274323165417,0.0001,10.478609159588814,-50.67306411266327,-4.5608178824186325
505.78,415,109672,199.68728082,263,240,12448,0.2957349540665746,0.0001,11.71356749534607,-49.27410137653351,-4.592961594462395
515.72,416,111344,208.24671323,267,244,12640,0.2902853898704052,0.0001,9.953107699751854,-48.42645025253296,-4.637328654527664
