rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/loss,train/clip_range,train/std,train/learning_rate,train/explained_variance,train/approx_kl,train/clip_fraction,train/n_updates,train/value_loss,train/policy_gradient_loss,train/entropy_loss
21.556253714285713,190.0,1,1,4939,8192,,,,,,,,,,,
73.33912741818183,254.94545454545454,3,2,4096,16384,50.19898223876953,0.2,0.9997099041938782,0.0003,0.0068703293800354,0.010556221,0.131689453125,10,101.52496685981751,-0.014208872253948356,-4.256936174631119
112.23798031578951,292.75,6,3,3871,24576,32.54707336425781,0.2,0.9907622337341309,0.0003,0.11225181818008423,0.008415315,0.08125,20,80.52508776187896,-0.010313892835984006,-4.244246909022332
139.85117028571426,323.38775510204084,8,4,3766,32768,49.6270637512207,0.2,0.9868987202644348,0.0003,0.07227134704589844,0.0069514923,0.06793212890625,30,106.20892539024354,-0.008885640132939443,-4.224073156714439
179.46796054000004,364.57,11,5,3704,40960,50.02431869506836,0.2,0.9812397956848145,0.0003,0.2719929814338684,0.0060357004,0.04918212890625,40,109.9268569946289,-0.008193709491752087,-4.209606784582138
235.46277535,412.19,13,6,3668,49152,45.70840835571289,0.2,0.9745404720306396,0.0003,0.5032720863819122,0.005840829,0.04117431640625,50,106.2486174583435,-0.00769405702012591,-4.190864765644074
264.80357414,451.72,15,7,3638,57344,33.033592224121094,0.2,0.970595121383667,0.0003,0.6562567949295044,0.0046485043,0.0333984375,60,83.41584689617157,-0.0056568490370409565,-4.173938354849815
276.80686975000003,463.6,18,8,3617,65536,46.463584899902344,0.2,0.9683806300163269,0.0003,0.7495658099651337,0.0060788337,0.07022705078125,70,98.37563037872314,-0.0065422693936852735,-4.163191285729408
294.67764367,469.11,20,9,3599,73728,51.86058807373047,0.2,0.9660966396331787,0.0003,0.7798444628715515,0.0064074905,0.0526123046875,80,102.63540921211242,-0.00598071462882217,-4.157354333996773
287.67424127000004,464.59,22,10,3587,81920,40.577903747558594,0.2,0.9602497220039368,0.0003,0.814726859331131,0.0054361615,0.056884765625,90,101.56312408447266,-0.005420102448260878,-4.1449292451143265
274.61046083,462.9,25,11,3580,90112,41.24381637573242,0.2,0.9555434584617615,0.0003,0.7430449426174164,0.0070338654,0.0706787109375,100,106.07031059265137,-0.00808423393900739,-4.126446807384491
255.24685920000005,446.1,27,12,3576,98304,50.936676025390625,0.2,0.9506609439849854,0.0003,0.7683158367872238,0.0074388473,0.05169677734375,110,110.43657007217408,-0.006467991453246213,-4.11232482790947
263.22306562,439.98,29,13,3571,106496,55.6982536315918,0.2,0.9475626945495605,0.0003,0.8026543110609055,0.0056496793,0.06883544921875,120,118.3893210887909,-0.00582924027039553,-4.098759061098098
268.09012487,446.19,32,14,3566,114688,33.7105827331543,0.2,0.9413149952888489,0.0003,0.8779488578438759,0.008841389,0.07802734375,130,84.64269785881042,-0.007379093482450116,-4.085464465618133
263.29532928000003,434.62,34,15,3562,122880,65.23091125488281,0.2,0.9409541487693787,0.0003,0.8477411568164825,0.006007743,0.05960693359375,140,128.09149632453918,-0.004848987839068286,-4.073446872830391
267.78346109,427.26,36,16,3558,131072,44.546688079833984,0.2,0.9398698806762695,0.0003,0.8421361297369003,0.004428762,0.03271484375,150,126.65519819259643,-0.0036788067503948697,-4.071583861112595
286.41909136,430.57,39,17,3555,139264,57.3541374206543,0.2,0.9385550618171692,0.0003,0.829426571726799,0.006829135,0.060888671875,160,133.13903045654297,-0.006486683593539056,-4.067859411239624
299.72967700000004,421.43,41,18,3552,147456,58.408077239990234,0.2,0.9367634654045105,0.0003,0.868194118142128,0.0061078384,0.06177978515625,170,125.04948787689209,-0.006235465428835596,-4.0626094251871105
295.31024483000004,418.32,43,19,3548,155648,63.74917984008789,0.2,0.934681236743927,0.0003,0.8454958349466324,0.007133593,0.069775390625,180,141.95209474563597,-0.006629150206572376,-4.056769669055939
307.69817975,424.57,46,20,3546,163840,59.723785400390625,0.2,0.9335262775421143,0.0003,0.8898361697793007,0.0064497464,0.0635009765625,190,119.06277046203613,-0.004736466387112159,-4.050945723056794
317.82482448999997,442.6,48,21,3544,172032,45.10032653808594,0.2,0.9289559721946716,0.0003,0.9135484099388123,0.007838732,0.0827880859375,200,101.41591601371765,-0.006659416457114276,-4.0426392436027525
313.30586489999996,447.88,50,22,3542,180224,45.424949645996094,0.2,0.9267268776893616,0.0003,0.8963469713926315,0.009074428,0.0666748046875,210,121.42336535453796,-0.0055765953336958775,-4.032178041338921
310.94499452,449.86,53,23,3539,188416,61.04877853393555,0.2,0.9199538230895996,0.0003,0.9172850772738457,0.007039301,0.07923583984375,220,109.44651427268983,-0.0056683219361730154,-4.015947705507278
287.20651017,441.08,55,24,3538,196608,50.536224365234375,0.2,0.9171462059020996,0.0003,0.8965808525681496,0.006764249,0.090869140625,230,112.47776861190796,-0.007490898923424538,-3.9997886300086973
289.64979549000003,463.89,57,25,3536,204800,52.32855224609375,0.2,0.9124345183372498,0.0003,0.9200955033302307,0.0069512418,0.07205810546875,240,104.12484459877014,-0.0067439521590131335,-3.988378216326237
