episode,timestep,episode_reward,episode_length,visited_rooms,explored_pct
1,182,154.3975,182,1,48.44
2,648,157.5628,466,2,49.02
3,845,2.1488,197,1,29.39
4,908,13.0569,63,1,41.6
5,1031,66.9709,123,1,42.09
6,1089,-25.1925,58,1,26.66
7,1108,-18.5346,19,1,35.64
8,1139,4.0819,31,1,35.64
9,1259,19.8017,120,1,42.19
10,1286,-19.3254,27,1,17.09
11,1313,-19.4521,27,1,17.48
12,1432,-17.0689,119,1,28.61
13,1480,-16.0644,48,1,18.46
14,1531,-31.4121,51,1,24.9
15,1619,1.734,88,1,35.94
16,1650,-1.6667,31,1,37.5
17,1704,-16.5029,54,1,36.82
18,1774,25.6603,70,1,49.8
19,1988,212.4082,214,2,49.9
20,2165,143.4204,177,2,46.68
21,2190,-12.9776,25,1,18.75
22,2224,-32.24,34,1,25.2
23,2349,-6.9887,125,1,42.38
24,2556,132.7844,207,2,50.98
25,2580,-13.0865,24,1,18.55
26,2670,-39.7932,90,1,26.17
27,2946,177.6461,276,2,63.96
28,3108,101.2858,162,2,48.24
29,3205,128.0873,97,1,49.02
30,3515,92.1429,310,1,34.86
31,3632,105.4109,117,1,47.27
32,3812,91.1652,180,2,49.51
33,3836,-12.907,24,1,36.13
34,3989,62.9727,153,1,49.32
35,4051,-5.0649,62,1,39.36
36,4231,161.8916,180,1,54.2
37,4293,42.6272,62,1,39.94
38,4355,19.8961,62,1,21.19
39,4407,19.6206,52,1,43.07
40,4868,304.572,461,2,79.59
41,4960,-9.4027,92,1,19.04
42,5214,186.6414,254,3,55.86
43,5471,152.5438,257,1,57.32
44,5518,-1.4242,47,1,41.7
45,5626,-10.5068,108,1,28.42
46,5698,-5.8763,72,1,39.45
47,5776,17.3837,78,1,41.6
48,5901,35.5622,125,1,45.61
49,5988,-7.1644,87,1,39.94
50,6231,154.3204,243,2,52.44
51,6466,127.2526,235,1,54.0
52,6493,10.9131,27,1,20.8
53,6553,51.1541,60,2,46.29
54,6642,-13.2004,89,1,26.27
55,6717,-13.0094,75,1,37.4
56,6770,-9.8932,53,1,35.84
57,6799,-24.4066,29,1,32.62
58,7054,256.5429,255,2,66.31
59,7181,53.2132,127,1,43.55
60,7323,31.7788,142,1,30.66
61,7434,-4.6061,111,1,26.66
62,7504,6.3524,70,1,20.51
63,7541,-2.5219,37,1,18.75
64,7758,135.7835,217,1,37.79
65,8103,352.0712,345,2,72.46
66,8265,51.4034,162,1,47.17
67,8436,129.0716,171,1,29.1
68,8462,7.8119,26,1,20.7
69,8503,-15.0904,41,1,34.08
70,8683,126.7292,180,1,53.42
71,8796,121.5408,113,1,53.81
72,8924,71.1755,128,1,23.54
73,9056,-40.3582,132,1,27.25
74,9170,110.7761,114,1,56.64
75,9203,-8.8646,33,1,34.28
76,9341,88.8198,138,1,46.58
77,9518,8.5585,177,1,43.75
78,9563,-1.2992,45,1,36.13
79,9668,-4.292,105,1,19.34
80,9768,70.5928,100,1,52.54
81,9809,-29.957,41,1,26.37
82,9869,-34.6836,60,1,26.27
83,10419,81.0249,550,2,48.63
84,10584,2.9274,165,1,42.87
85,10604,-24.445,20,1,16.7
86,10952,220.3485,348,2,69.14
87,11196,49.7276,244,2,46.58
88,11392,277.5813,196,2,68.16
89,11463,27.2626,71,1,43.55
90,11552,6.936,89,1,42.48
91,11792,130.9383,240,1,48.14
92,11945,183.0663,153,1,58.98
93,11995,-19.1258,50,1,25.68
94,12022,4.756,27,1,35.55
95,12103,-22.2075,81,1,18.26
