episode,timestep,ep_return,steps,explored_voxels,coverage_pct,visited_rooms,success,crashed,min_lidar,ent_coef,actor_loss,critic_loss
1,400,7.5,50,197,19.2,1,0,1,0.167,0.05,0.0,0.0
2,584,-15.82,73,352,34.4,1,0,1,0.165,0.05,0.0,0.0
3,936,23.28,117,470,45.9,1,0,1,0.186,0.05,0.0,0.0
4,1200,-2.98,150,358,35.0,1,0,1,0.105,0.05,0.0,0.0
5,1592,95.66,199,513,50.1,2,0,1,0.143,0.05,0.0,0.0
6,1744,108.95,218,524,51.2,1,0,1,0.143,0.05,0.0,0.0
7,1888,66.77,86,426,41.6,1,0,1,0.211,0.05,0.0,0.0
8,1944,203.4,243,589,57.5,1,0,1,0.145,0.05,0.0,0.0
9,2112,-9.73,147,411,40.1,1,0,1,0.175,0.05,0.0,0.0
10,2560,-22.85,247,305,29.8,1,0,1,0.191,0.05,0.0,0.0
11,2720,29.72,290,416,40.6,1,0,1,0.174,0.05,0.0,0.0
12,2720,34.21,97,406,39.6,1,0,1,0.188,0.05,0.0,0.0
13,2728,-64.47,341,284,27.7,1,0,1,0.202,0.05,0.0,0.0
14,3600,-3.63,130,404,39.5,1,0,1,0.142,0.05,0.0,0.0
15,3616,121.94,234,490,47.9,1,0,1,0.167,0.05,0.0,0.0
16,3832,9.25,280,436,42.6,1,0,1,0.066,0.05,0.0,0.0
17,3848,-37.36,245,289,28.2,1,0,1,0.176,0.05,0.0,0.0
18,4304,60.13,57,468,45.7,2,0,1,0.114,0.05,0.0,0.0
19,5192,-4.06,199,445,43.5,1,0,1,0.099,0.05,0.0,0.0
20,5216,47.08,312,462,45.1,1,0,1,0.103,0.05,0.0,0.0
21,5488,87.76,148,478,46.7,1,0,1,0.175,0.05,0.0,0.0
22,5488,2.93,422,428,41.8,1,0,1,0.183,0.05,0.0,0.0
23,5608,157.81,361,553,54.0,2,0,1,0.196,0.05,0.0,0.0
24,5688,38.79,259,489,47.8,1,0,1,0.177,0.05,0.0,0.0
25,6184,20.69,294,466,45.5,1,0,1,0.123,0.05,0.0,0.0
26,6408,12.56,90,445,43.5,1,0,1,0.194,0.05,0.0,0.0
27,6416,16.6,116,404,39.5,1,0,1,0.21,0.05,0.0,0.0
28,6496,171.42,160,601,58.7,1,0,1,0.215,0.05,0.0,0.0
29,7272,18.29,97,222,21.7,1,0,1,0.125,0.05,0.0,0.0
30,7528,-46.97,600,417,40.7,1,0,0,0.469,0.05,0.0,0.0
31,7688,72.76,260,544,53.1,1,0,1,0.188,0.05,0.0,0.0
32,7896,-8.66,185,196,19.1,1,0,1,0.191,0.05,0.0,0.0
33,8568,34.76,298,453,44.2,1,0,1,0.214,0.05,-0.0133,95.4353
34,9992,124.5,600,561,54.8,1,0,0,3.037,0.05,-0.0133,95.4353
35,10072,34.28,188,232,22.7,1,0,1,0.139,0.05,-0.0133,95.4353
36,10288,81.4,600,329,32.1,1,0,0,1.79,0.05,-0.0133,95.4353
37,10376,36.57,38,459,44.8,1,0,1,0.158,0.05,-0.0133,95.4353
38,11208,185.6,600,570,55.7,1,0,0,1.535,0.05,-0.0133,95.4353
39,11272,4.67,112,208,20.3,1,0,1,0.095,0.05,-0.0133,95.4353
40,11376,-13.01,21,427,41.7,1,0,1,0.191,0.05,-0.0133,95.4353
41,12024,241.99,217,525,51.3,2,0,1,0.137,0.05,-0.0133,95.4353
42,12032,203.39,543,551,53.8,2,0,1,0.184,0.05,-0.0133,95.4353
43,12072,138.0,600,363,35.4,1,0,0,1.87,0.05,-0.0133,95.4353
44,12328,153.0,600,602,58.8,1,0,0,2.84,0.05,-0.0133,95.4353
45,12584,-2.53,70,383,37.4,1,0,1,0.141,0.05,-0.0133,95.4353
46,12696,337.51,600,728,71.1,2,0,0,1.583,0.05,-0.0133,95.4353
47,13552,24.3,190,207,20.2,1,0,1,0.074,0.05,-0.0133,95.4353
48,13768,174.45,312,522,51.0,2,0,1,0.061,0.05,-0.0133,95.4353
