episode,timestep,ep_return,steps,explored_voxels,coverage_pct,visited_rooms,success,crashed,min_lidar,ent_coef,actor_loss,critic_loss
1,144,-22.55,18,329,32.1,1,0,1,0.188,0.0,0.0,0.0
2,720,-11.1,90,192,18.8,1,0,1,0.177,0.0,0.0,0.0
3,800,50.58,100,504,49.2,1,0,1,0.179,0.0,0.0,0.0
4,1200,-15.89,150,283,27.6,1,0,1,0.166,0.0,0.0,0.0
5,2072,6.51,259,444,43.4,1,0,1,0.197,0.0,0.0,0.0
6,2504,135.02,313,547,53.4,2,0,1,0.169,0.0,0.0,0.0
7,2832,86.64,264,439,42.9,1,0,1,0.195,0.0,0.0,0.0
8,3008,48.5,376,404,39.5,1,0,1,0.162,0.0,0.0,0.0
9,3720,151.86,206,575,56.2,1,0,1,0.172,0.0,0.0,0.0
10,4680,7.5,209,373,36.4,1,0,1,0.154,0.0,0.0,0.0
11,4800,109.25,600,507,49.5,1,0,0,1.396,0.0,0.0,0.0
12,4944,170.7,600,380,37.1,1,0,0,2.472,0.0,0.0,0.0
13,5200,3.82,32,440,43.0,1,0,1,0.175,0.0,0.0,0.0
14,5384,11.57,319,397,38.8,1,0,1,0.205,0.0,0.0,0.0
15,5600,76.95,600,480,46.9,1,0,0,1.394,0.0,0.0,0.0
16,6000,81.0,600,527,51.5,1,0,0,1.399,0.0,0.0,0.0
17,6672,44.76,369,426,41.6,1,0,1,0.062,0.0,0.0,0.0
18,7280,3.49,76,194,18.9,1,0,1,0.164,0.0,0.0,0.0
19,7304,3.17,600,456,44.5,1,0,0,1.542,0.0,0.0,0.0
20,7504,5.27,188,397,38.8,1,0,1,0.173,0.0,0.0,0.0
21,7560,-16.83,32,178,17.4,1,0,1,0.209,0.0,0.0,0.0
22,7720,42.19,365,417,40.7,1,0,1,0.214,0.0,0.0,0.0
23,8304,13.67,73,225,22.0,1,0,1,0.146,0.0,0.0,0.0
24,8360,73.06,345,511,49.9,1,0,1,0.187,0.0,0.0,0.0
25,8640,-3.73,430,444,43.4,1,0,1,0.157,0.0,0.0,0.0
26,8704,25.41,415,428,41.8,1,0,1,0.129,0.0,0.0,0.0
27,8704,-8.86,150,196,19.1,1,0,1,0.139,0.0,0.0,0.0
28,8872,21.42,64,455,44.4,1,0,1,0.199,0.0,0.0,0.0
29,9040,109.18,92,505,49.3,1,0,1,0.219,0.0,0.0,0.0
30,9408,1.94,46,341,33.3,1,0,1,0.188,0.0,0.0,0.0
31,9480,32.4,600,417,40.7,1,0,0,1.364,0.0,0.0,0.0
32,10152,16.09,181,304,29.7,1,0,1,0.208,0.0,0.0,0.0
33,10200,177.51,330,571,55.8,1,0,1,0.167,0.0,0.0,0.0
34,10320,35.13,210,447,43.7,1,0,1,0.135,0.0,-2.3143,10.0401
35,10424,16.95,393,407,39.7,1,0,1,0.132,0.0,-2.3143,10.0401
36,10672,65.08,246,478,46.7,1,0,1,0.156,0.0,-3.2494,7.2202
37,10744,6.47,158,440,43.0,1,0,1,0.171,0.0,0.0,0.0
38,10992,-24.98,84,193,18.8,1,0,1,0.178,0.0,-4.7627,5.5414
39,11376,-32.28,246,267,26.1,1,0,1,0.157,0.0,-6.7672,7.9691
40,11480,-59.25,326,281,27.4,1,0,1,0.146,0.0,-6.7672,7.9691
41,11496,80.77,168,490,47.9,2,0,1,0.153,0.0,0.0,0.0
42,12024,22.94,129,406,39.6,1,0,1,0.181,0.0,-8.9228,6.9821
43,12136,-30.71,183,269,26.3,1,0,1,0.214,0.0,-9.9887,7.1591
44,12408,3.81,34,198,19.3,1,0,1,0.175,0.0,-11.0906,9.0142
45,12424,-9.26,278,303,29.6,1,0,1,0.195,0.0,0.0,0.0
46,12464,-3.95,215,432,42.2,1,0,1,0.148,0.0,0.0,0.0
47,12592,30.52,271,492,48.0,1,0,1,0.182,0.0,-12.1798,7.9398
48,12984,2.36,70,372,36.3,1,0,1,0.205,0.0,-13.2707,9.3169
49,13224,104.39,102,502,49.0,1,0,1,0.124,0.0,-14.4309,7.2051
50,13256,-1.21,154,418,40.8,1,0,1,0.187,0.0,-14.4309,7.2051
51,13560,41.8,42,491,47.9,1,0,1,0.134,0.0,-15.5133,9.128
52,13856,-0.38,158,285,27.8,1,0,1,0.105,0.0,-17.601,10.5286
53,14536,49.53,160,446,43.6,1,0,1,0.174,0.0,-19.7168,11.4919
54,14776,-19.67,30,336,32.8,1,0,1,0.186,0.0,-20.7183,11.5174
55,15392,45.77,192,224,21.9,1,0,1,0.098,0.0,-23.7201,9.9997
56,15544,17.99,248,424,41.4,1,0,1,0.196,0.0,-23.7201,9.9997
57,15640,209.93,397,532,52.0,2,0,1,0.192,0.0,-24.6926,10.9362
58,15736,50.23,530,522,51.0,1,0,1,0.172,0.0,-24.6926,10.9362
59,15752,144.33,547,544,53.1,2,0,1,0.225,0.0,-24.6926,10.9362
60,16280,246.4,600,667,65.1,1,0,0,1.745,0.0,-26.589,12.0544
61,16728,118.53,148,544,53.1,1,0,1,0.162,0.0,-28.545,11.112
62,16856,61.19,72,494,48.2,1,0,1,0.117,0.0,-28.545,11.112
63,16904,-11.1,266,425,41.5,1,0,1,0.179,0.0,-29.3863,14.3125
64,17784,203.8,600,493,48.1,1,0,0,1.429,0.0,-32.0579,14.6288
65,18928,175.95,259,566,55.3,2,0,1,0.162,0.0,-35.6792,13.8886
66,20128,375.67,561,698,68.2,2,0,1,0.175,0.0,-40.1624,13.6226
67,20192,240.2,600,672,65.6,1,0,0,2.051,0.0,-40.1624,13.6226
68,20536,301.7,600,588,57.4,2,0,0,1.0,0.0,-41.9202,10.8918
69,20552,212.2,600,623,60.8,1,0,0,2.075,0.0,0.0,0.0
70,21400,46.73,108,221,21.6,1,0,1,0.15,0.0,-44.3967,14.5054
71,21528,333.29,600,696,68.0,2,0,0,2.053,0.0,-45.1726,12.3347
72,21704,330.7,600,669,65.3,2,0,0,1.238,0.0,-45.1726,12.3347
73,22304,265.89,264,532,52.0,2,0,1,0.201,0.0,-47.72,15.3922
74,22584,306.95,600,566,55.3,2,0,0,1.024,0.0,-48.4868,13.9253
75,23256,257.06,194,522,51.0,2,0,1,0.212,0.0,-50.1642,13.2983
76,23464,1.84,26,216,21.1,1,0,1,0.207,0.0,-51.1513,17.0478
77,23728,280.7,600,686,67.0,2,0,0,2.003,0.0,-51.9795,13.02
78,24928,255.9,600,659,64.4,2,0,0,1.481,0.0,-55.8977,12.7486
79,25352,369.15,600,816,79.7,2,0,0,1.629,0.0,-57.3809,13.5232
80,26200,240.8,600,675,65.9,1,0,0,2.247,0.0,-59.4932,14.9228
81,26328,242.7,600,704,68.8,2,0,0,2.0,0.0,0.0,0.0
82,27104,265.03,600,725,70.8,2,0,0,2.16,0.0,-61.5167,12.8842
83,27384,230.2,600,679,66.3,2,0,0,1.907,0.0,-62.019,14.8841
84,28264,356.21,600,828,80.9,2,0,0,0.909,0.0,-64.8309,12.0169
85,28528,514.43,600,883,86.2,4,0,0,1.965,0.0,-65.4536,10.5703
86,29728,482.0,600,791,77.2,3,0,0,1.529,0.0,-68.1327,12.5921
87,30152,219.7,600,723,70.6,2,0,0,1.958,0.0,-68.8514,12.1542
88,31000,230.8,600,704,68.8,2,0,0,1.943,0.0,-70.7459,10.9047
89,31128,322.34,600,805,78.6,3,0,0,1.862,0.0,0.0,0.0
90,31904,496.9,600,877,85.6,4,0,0,1.774,0.0,-72.2522,11.0085
91,32184,226.0,600,694,67.8,2,0,0,1.2,0.0,-72.8075,12.564
92,33064,373.15,600,780,76.2,3,0,0,2.439,0.0,-74.3249,15.4644
93,33328,341.6,600,779,76.1,3,0,0,1.443,0.0,-74.8194,11.4766
94,33552,10.67,28,221,21.6,1,0,1,0.196,0.0,-75.3733,10.7578
95,34528,404.1,600,785,76.7,3,0,0,1.762,0.0,-76.3327,11.9407
96,34952,315.6,600,737,72.0,3,0,0,1.004,0.0,-76.8874,12.56
97,35168,-7.35,27,167,16.3,1,0,1,0.22,0.0,-77.1738,14.536
98,35800,535.12,600,854,83.4,4,0,0,1.872,0.0,-77.9901,12.3499
99,35928,267.39,600,784,76.6,2,0,0,2.194,0.0,-78.2076,13.1586
100,36704,302.6,600,767,74.9,3,0,0,1.915,0.0,-78.9202,11.0756
101,36984,329.78,600,808,78.9,3,0,0,1.874,0.0,-78.9687,11.1122
102,37864,381.83,600,822,80.3,3,0,0,1.945,0.0,-79.8816,14.2312
103,38352,260.49,600,744,72.7,2,0,0,1.673,0.0,-80.344,12.0678
104,38872,-3.62,65,200,19.5,1,0,1,0.188,0.0,-80.5896,14.7639
105,39328,207.6,600,719,70.2,2,0,0,2.021,0.0,-81.0132,10.9712
106,39968,336.54,600,848,82.8,3,0,0,1.387,0.0,-81.3629,11.9596
107,40600,400.04,600,894,87.3,4,0,0,1.501,0.0,-81.6114,11.5028
108,40728,325.72,600,823,80.4,3,0,0,1.739,0.0,-81.7247,13.9472
109,41504,269.8,600,821,80.2,3,0,0,2.076,0.0,-81.9471,12.2327
110,41712,-7.33,26,197,19.2,1,0,1,0.169,0.0,-81.9471,12.2327
111,41784,282.36,600,794,77.5,3,0,0,1.845,0.0,-82.34,12.2077
112,42488,64.65,88,261,25.5,1,0,1,0.195,0.0,-82.1057,13.2369
113,42664,326.86,600,785,76.7,3,0,0,1.983,0.0,-82.4067,14.0407
114,43264,21.05,75,214,20.9,1,0,1,0.122,0.0,-82.4758,13.7465
115,43672,129.7,600,707,69.0,2,0,0,1.982,0.0,-82.4005,13.8828
116,44128,137.8,600,655,64.0,2,0,0,1.77,0.0,-82.7578,12.6102
117,44768,294.29,600,835,81.5,3,0,0,2.04,0.0,-82.6638,14.2082
118,45400,285.7,600,785,76.7,2,0,0,2.04,0.0,-82.4772,15.0144
119,45528,399.59,600,862,84.2,4,0,0,1.86,0.0,-82.4772,15.0144
120,45776,-10.73,31,179,17.5,1,0,1,0.175,0.0,-82.5868,12.8224
121,45976,-10.04,25,176,17.2,1,0,1,0.185,0.0,-82.4737,12.1571
122,46512,355.6,600,876,85.5,4,0,0,1.979,0.0,-82.1359,12.8927
123,47288,393.29,600,858,83.8,4,0,0,1.514,0.0,-82.4677,14.0845
124,48064,117.5,600,651,63.6,2,0,0,1.604,0.0,-82.0819,13.6832
125,48472,203.2,600,721,70.4,2,0,0,2.18,0.0,-82.2209,12.2265
126,48928,121.1,600,656,64.1,1,0,0,2.042,0.0,-82.0301,13.8163
127,49568,364.28,600,870,85.0,4,0,0,1.656,0.0,-81.9568,14.3153
