rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/episodes,train/ent_coef,train/actor_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/critic_loss
56.2813345,2960,3187,180.25,0,4,,,,,,
27.331486374999997,4496,3159,227.5,1,8,,,,,,
47.611027538461535,4800,3069,287.53846153846155,1,12,,,,,,
41.770207187500006,5296,2963,276.6875,1,16,,,,,,
32.29072955,7480,3033,257.6,2,20,,,,,,
34.520985708333335,8592,3015,287.7083333333333,2,24,,,,,,
23.745066607142856,9968,3036,308.25,3,28,,,,,,
28.374311848484847,10736,1931,290.8484848484849,5,32,0.9858431611210108,-4.829989492893219,64,-0.07202756963670254,0.0003,4.435390789061785
31.32879225,11296,1514,282.6111111111111,7,36,0.957842780277133,-7.6483288407325745,160,-0.21748797968029976,0.0003,5.829144693911076
29.884575050000002,11872,1312,278.525,9,40,0.9396315310150385,-9.629828810691833,224,-0.31395893823355436,0.0003,7.341625325381756
39.68348834090909,14880,863,272.1818181818182,17,44,0.8381138313561678,-21.89428812265396,608,-0.8629170507192612,0.0003,6.888330392539501
56.962784166666665,16112,806,289.1875,19,48,0.8074273057281971,-26.165230631828308,736,-1.0252776592969894,0.0003,6.999390110373497
74.82720905769231,16904,748,303.0192307692308,22,52,0.778136508539319,-30.22474592924118,864,-1.1806582249701023,0.0003,6.604290932416916
81.960057875,19680,679,309.19642857142856,28,56,0.7101144213229418,-39.27313840389252,1184,-1.5500552840530872,0.0003,6.428925737738609
100.40766945,21704,640,328.5833333333333,33,60,0.6608230192214251,-45.36134457588196,1440,-1.811656404286623,0.0003,6.658416762948036
111.89702878125,23488,613,337.828125,38,64,0.620730934664607,-49.73175525665283,1664,-2.0435723327100277,0.0003,7.603917129337788
116.66393844117648,26320,579,344.8235294117647,45,68,0.5627692192792892,-54.84376060962677,2016,-2.404662773013115,0.0003,6.944984063506126
133.59019865277776,27120,571,359.0,47,72,0.5478497706353664,-55.97826099395752,2112,-2.490976132452488,0.0003,6.924153447151184
138.9742572368421,29936,553,364.0657894736842,54,76,0.4968241760507226,-58.12594473361969,2464,-2.7436309531331062,0.0003,8.967942118644714
150.4179074125,31616,540,375.775,58,80,0.467167092487216,-58.41942346096039,2688,-2.9720714539289474,0.0003,9.060215786099434
162.46447654761906,33832,528,379.23809523809524,64,84,0.4320516763255,-58.56595420837402,2976,-3.1346596777439117,0.0003,9.904650092124939
172.19297310227273,36048,515,387.1931818181818,69,88,0.4031782951205969,-58.94206142425537,3232,-3.2257335036993027,0.0003,8.206177979707718
176.09739173913044,38632,504,393.5,76,92,0.37069966178387403,-59.17920410633087,3552,-3.2975349724292755,0.0003,9.274879023432732
179.32526805208332,40056,497,396.1354166666667,80,96,0.3526815352961421,-58.52697479724884,3744,-3.346542112529278,0.0003,10.402586355805397
183.22097432,42904,482,403.41,88,100,0.32228126283735037,-58.58778250217438,4096,-3.4089565724134445,0.0003,9.23946464061737
195.72081703999993,44416,475,416.09,93,104,0.307101434096694,-58.54945719242096,4288,-3.464324578642845,0.0003,8.980178877711296
201.70756390000003,45648,471,424.14,96,108,0.295134705491364,-58.730915665626526,4448,-3.4311843290925026,0.0003,8.615513756871223
202.44780133000003,49216,462,430.87,106,112,0.26393779926002026,-58.65028393268585,4896,-3.4696599766612053,0.0003,9.178172379732132
214.64268904,50448,459,441.98,109,116,0.25367437954992056,-58.3586243391037,5056,-3.3439618051052094,0.0003,8.990432649850845
229.64769985000007,52384,457,451.69,114,120,0.2402516738511622,-58.391971707344055,5280,-3.2757326513528824,0.0003,10.435722902417183
234.10368699000003,54016,456,447.37,118,124,0.22939271107316017,-58.772515535354614,5472,-3.476276606321335,0.0003,9.691131383180618
243.54575064000005,54720,454,444.69,120,128,0.22403879603371024,-58.18929600715637,5568,-3.5564161092042923,0.0003,8.888503164052963
257.46203221999997,57176,451,453.68,126,132,0.20700400788336992,-57.936137080192566,5888,-3.4575913697481155,0.0003,8.803144201636314
271.95108708,59184,449,467.44,131,136,0.19413973577320576,-56.8017201423645,6144,-3.611591152846813,0.0003,9.398209258913994
284.54866108,61952,448,481.77,138,140,0.17922386340796947,-56.36365187168121,6464,-3.6354192718863487,0.0003,9.009251475334167
293.15208989000007,63984,444,497.42,143,144,0.16795433731749654,-54.96303474903107,6720,-3.560097575187683,0.0003,8.487611413002014
293.66839777,65104,439,497.36,148,148,0.16127535235136747,-54.34165000915527,6880,-3.5314062014222145,0.0003,8.645882472395897
295.37618869,66784,436,494.66,152,152,0.15374538348987699,-53.35799491405487,7072,-3.448547512292862,0.0003,7.513090535998344
297.64479226,68816,432,493.89,159,156,0.14461154444143176,-52.509374022483826,7328,-2.996287979185581,0.0003,9.41585299372673
292.54972121,71568,427,493.89,167,160,0.134599304292351,-51.76469075679779,7680,-2.4780939370393753,0.0003,9.775320008397102
291.61657008,73616,426,498.37,172,164,0.12847987469285727,-51.95653414726257,7936,-2.1673828288912773,0.0003,9.648134544491768
296.5480052,75408,425,502.9,177,168,0.12340849381871521,-52.13771045207977,8160,-2.187578696757555,0.0003,8.858148828148842
288.14609018000004,78384,423,501.88,185,172,0.11442772508598864,-50.564313530921936,8544,-2.4041356034576893,0.0003,7.930800601840019
289.35140693,80208,423,507.67,189,176,0.10882821516133845,-50.44863307476044,8768,-2.4412888772785664,0.0003,8.703697293996811
284.63912224,83184,422,507.74,197,180,0.09971383260563016,-48.93739557266235,9120,-2.5855759121477604,0.0003,8.459281161427498
278.87768632,85008,420,513.8,202,184,0.09404855826869607,-47.79063045978546,9376,-2.1211044751107693,0.0003,8.590059086680412
276.77859555000003,87912,416,510.14,211,188,0.0879255912732333,-45.82764434814453,9728,-1.8772783228196204,0.0003,8.74717292189598
275.33559386,89104,413,512.85,215,192,0.08556853863410652,-45.548412561416626,9888,-1.2301018815487623,0.0003,8.987200409173965
273.96243814999997,91384,413,511.71,220,196,0.08320496720261872,-44.90263545513153,10144,-0.9290127048734576,0.0003,7.724654957652092
279.56417185,92760,412,506.72,225,200,0.08183111529797316,-44.92342281341553,10336,-0.6665535899810493,0.0003,10.454111278057098
275.99483465,94936,410,507.61,231,204,0.07927708956412971,-43.81091630458832,10592,-1.240978067740798,0.0003,10.002878785133362
280.6014545400001,96392,409,503.26,235,208,0.07643729099072516,-44.05957353115082,10784,-1.6073030426632613,0.0003,9.667619436979294
289.56679378,98992,408,503.54,242,212,0.07138595404103398,-42.85626578330994,11104,-1.2759764837101102,0.0003,8.447734586894512
291.99875009000004,99672,408,489.67,244,216,0.0701333770994097,-42.72875797748566,11200,-1.1069805482402444,0.0003,8.94134695827961
283.48278063,100672,407,490.56,246,220,0.06877457350492477,-42.17328679561615,11328,-0.8921925078611821,0.0003,10.418794244527817
292.50092657,103792,407,491.97,254,224,0.06497040204703808,-40.71058487892151,11712,-0.7138885301537812,0.0003,10.152049854397774
294.03549152000005,104624,407,499.06,256,228,0.06419679941609502,-40.3423672914505,11808,-0.5382796137128025,0.0003,9.807966828346252
285.36038695999997,108448,407,502.78,266,232,0.059816813096404076,-38.461272835731506,12288,-0.5147633401211351,0.0003,9.937073677778244
274.14527111,108840,406,500.33,267,236,0.059387043584138155,-38.34368121623993,12352,-0.7348298444412649,0.0003,9.677640102803707
273.65178390000005,109976,406,494.99,270,240,0.058559605153277516,-38.1629022359848,12480,-0.5838342262431979,0.0003,10.130089789628983
269.08198593000003,111680,405,484.67,275,244,0.0579691348830238,-38.01047158241272,12704,0.11816373257897794,0.0003,10.312369868159294
266.83331325,113640,405,481.48,280,248,0.057877142797224224,-38.01649510860443,12928,0.3674711149651557,0.0003,10.500644937157631
