episode,timestep,ep_return,steps,explored_voxels,coverage_pct,visited_rooms,success,crashed,min_lidar,ent_coef,actor_loss,critic_loss
1,800,64.67,100,486,47.5,1,0,1,0.096,0.01,0.0,0.0
2,864,16.63,108,468,45.7,1,0,1,0.141,0.01,0.0,0.0
3,1024,5.28,128,432,42.2,1,0,1,0.04,0.01,0.0,0.0
4,1112,49.14,139,477,46.6,1,0,1,0.203,0.01,0.0,0.0
5,1192,-19.0,49,194,18.9,1,0,1,0.093,0.01,0.0,0.0
6,1664,-2.91,59,204,19.9,1,0,1,0.206,0.01,0.0,0.0
7,1960,66.31,245,498,48.6,1,0,1,0.173,0.01,0.0,0.0
8,2208,3.55,31,211,20.6,1,0,1,0.171,0.01,0.0,0.0
9,2576,-78.69,322,272,26.6,1,0,1,0.176,0.01,0.0,0.0
10,3288,34.12,89,406,39.6,1,0,1,0.2,0.01,0.0,0.0
11,3392,-12.22,216,210,20.5,1,0,1,0.159,0.01,0.0,0.0
12,3656,295.53,457,565,55.2,2,0,1,0.1,0.01,0.0,0.0
13,3656,-10.92,33,203,19.8,1,0,1,0.137,0.01,0.0,0.0
14,3848,77.97,342,486,47.5,1,0,1,0.176,0.01,0.0,0.0
15,3936,50.49,216,446,43.6,1,0,1,0.151,0.01,0.0,0.0
16,4216,-5.8,116,189,18.5,1,0,1,0.147,0.01,0.0,0.0
17,4224,-28.03,71,273,26.7,1,0,1,0.143,0.01,0.0,0.0
18,4440,-4.74,74,203,19.8,1,0,1,0.167,0.01,0.0,0.0
19,4800,-17.36,600,316,30.9,1,0,0,1.013,0.01,0.0,0.0
20,5240,-2.92,163,442,43.2,1,0,1,0.168,0.01,0.0,0.0
21,5592,-12.92,99,278,27.1,1,0,1,0.092,0.01,0.0,0.0
22,5664,125.8,600,511,49.9,1,0,0,0.563,0.01,0.0,0.0
23,5824,18.76,600,472,46.1,1,0,0,0.815,0.01,0.0,0.0
24,5832,38.22,201,431,42.1,1,0,1,0.19,0.01,0.0,0.0
25,6160,-9.78,313,415,40.5,1,0,1,0.184,0.01,0.0,0.0
26,6168,55.2,63,469,45.8,1,0,1,0.168,0.01,0.0,0.0
27,6320,20.33,235,299,29.2,1,0,1,0.192,0.01,0.0,0.0
28,6360,5.1,25,214,20.9,1,0,1,0.163,0.01,0.0,0.0
29,6664,13.17,134,439,42.9,1,0,1,0.015,0.01,0.0,0.0
30,6944,7.9,341,302,29.5,1,0,1,0.203,0.01,0.0,0.0
31,7160,-18.93,27,202,19.7,1,0,1,0.12,0.01,0.0,0.0
32,7320,2.95,144,284,27.7,1,0,1,0.125,0.01,0.0,0.0
33,7656,17.89,62,219,21.4,1,0,1,0.0,0.01,0.0,0.0
34,7840,-10.45,147,434,42.4,1,0,1,0.166,0.01,0.0,0.0
35,8128,20.15,101,473,46.2,1,0,1,0.186,0.01,0.0,0.0
36,8224,39.15,71,231,22.6,1,0,1,0.157,0.01,-0.0142,101.5251
37,9608,67.81,411,457,44.6,1,0,1,0.207,0.01,-0.0142,101.5251
38,10040,299.29,600,679,66.3,2,0,0,2.128,0.01,-0.0142,101.5251
39,10624,120.99,600,560,54.7,1,0,0,1.609,0.01,-0.0142,101.5251
40,10632,261.78,600,613,59.9,2,0,0,1.553,0.01,-0.0142,101.5251
41,11160,284.7,600,657,64.2,1,0,0,2.251,0.01,-0.0142,101.5251
42,11432,60.37,101,497,48.5,1,0,1,0.18,0.01,-0.0142,101.5251
43,12296,344.43,509,692,67.6,2,0,1,0.093,0.01,-0.0142,101.5251
44,12336,29.82,147,229,22.4,1,0,1,0.212,0.01,-0.0142,101.5251
45,12640,355.05,600,742,72.5,2,0,0,2.389,0.01,-0.0142,101.5251
46,12928,364.5,600,535,52.2,2,0,0,0.935,0.01,-0.0142,101.5251
47,13240,18.01,118,210,20.5,1,0,1,0.198,0.01,-0.0142,101.5251
48,13408,80.26,347,348,34.0,1,0,1,0.178,0.01,-0.0142,101.5251
49,14408,141.16,600,369,36.0,1,0,0,2.408,0.01,-0.0142,101.5251
50,14840,237.1,600,448,43.8,1,0,0,1.339,0.01,-0.0142,101.5251
51,14960,20.38,69,212,20.7,1,0,1,0.167,0.01,-0.0142,101.5251
52,15456,22.67,77,221,21.6,1,0,1,0.162,0.01,-0.0142,101.5251
53,15792,198.89,319,557,54.4,1,0,1,0.159,0.01,-0.0142,101.5251
54,16232,343.24,600,672,65.6,1,0,0,1.221,0.01,-0.0142,101.5251
55,16272,84.56,102,508,49.6,1,0,1,0.187,0.01,-0.0142,101.5251
56,16720,295.38,474,660,64.5,1,0,1,0.21,0.01,-0.0108,76.1035
57,17136,360.87,600,659,64.4,2,0,0,1.836,0.01,-0.0108,76.1035
58,17440,256.02,600,669,65.3,2,0,0,1.303,0.01,-0.0108,76.1035
59,17880,60.75,93,475,46.4,1,0,1,0.192,0.01,-0.0108,76.1035
60,18104,279.55,393,549,53.6,2,0,1,0.166,0.01,-0.0108,76.1035
61,18128,-11.03,31,180,17.6,1,0,1,0.1,0.01,-0.0108,76.1035
62,18208,328.4,600,682,66.6,2,0,0,1.98,0.01,-0.0108,76.1035
63,18400,-6.62,24,175,17.1,1,0,1,0.212,0.01,-0.0108,76.1035
64,19912,122.14,309,546,53.3,1,0,1,0.165,0.01,-0.0108,76.1035
65,20592,309.7,600,528,51.6,2,0,0,1.431,0.01,-0.0108,76.1035
66,21032,327.64,600,738,72.1,2,0,0,1.855,0.01,-0.0108,76.1035
67,21072,234.05,600,694,67.8,2,0,0,1.548,0.01,-0.0108,76.1035
68,21520,298.7,600,725,70.8,2,0,0,1.832,0.01,-0.0108,76.1035
69,21784,82.07,94,567,55.4,1,0,1,0.174,0.01,-0.0108,76.1035
70,21792,84.64,90,509,49.7,1,0,1,0.193,0.01,-0.0108,76.1035
71,22904,180.5,600,418,40.8,1,0,0,1.554,0.01,-0.0108,76.1035
72,22928,417.21,600,747,72.9,3,0,0,1.423,0.01,-0.0108,76.1035
73,23200,347.9,600,721,70.4,2,0,0,1.559,0.01,-0.0108,76.1035
74,23640,78.8,92,483,47.2,1,0,1,0.162,0.01,-0.0108,76.1035
75,23976,64.94,97,480,46.9,1,0,1,0.12,0.01,-0.0108,76.1035
76,24712,270.44,600,724,70.7,2,0,0,1.426,0.01,-0.0114,109.5853
77,25288,232.11,438,537,52.4,2,0,1,0.129,0.01,-0.0114,109.5853
78,25392,364.46,600,724,70.7,2,0,0,1.31,0.01,-0.0114,109.5853
79,26320,268.76,600,682,66.6,2,0,0,2.03,0.01,-0.0114,109.5853
80,26592,385.02,600,747,72.9,2,0,0,1.335,0.01,-0.0114,109.5853
81,27728,297.3,600,706,68.9,2,0,0,2.134,0.01,-0.0114,109.5853
82,28440,443.52,600,778,76.0,3,0,0,1.609,0.01,-0.0114,109.5853
83,28776,291.27,600,674,65.8,2,0,0,1.873,0.01,-0.0114,109.5853
84,29192,245.07,359,566,55.3,2,0,1,0.176,0.01,-0.0114,109.5853
85,29512,312.32,600,700,68.4,2,0,0,1.355,0.01,-0.0114,109.5853
86,30088,451.99,600,839,81.9,3,0,0,1.302,0.01,-0.0114,109.5853
87,30184,79.85,84,494,48.2,1,0,1,0.199,0.01,-0.0114,109.5853
88,30192,451.95,600,793,77.4,3,0,0,1.219,0.01,-0.0114,109.5853
