episode,timestep,episode_reward,episode_length,visited_rooms,explored_pct
1,92,-3.455,92,1,38.09
2,124,-15.5788,32,1,39.65
3,158,-9.2704,34,1,35.55
4,188,-14.201,30,1,17.68
5,334,36.6599,146,1,21.97
6,528,101.9482,194,1,50.68
7,590,57.8767,62,1,41.6
8,662,-9.7134,72,1,37.11
9,732,-11.8857,70,1,40.53
10,814,47.0725,82,1,37.99
11,913,75.1823,99,1,46.68
12,1003,-10.0125,90,1,37.99
13,1119,-30.3301,116,1,38.96
14,1262,4.5573,143,1,27.73
15,1606,163.0407,344,3,54.49
16,2107,79.6886,501,2,52.34
17,2325,243.1109,218,1,63.38
18,2408,-35.9929,83,1,27.15
19,2485,-40.7057,77,1,25.2
20,2549,21.8915,64,1,38.09
21,2591,-16.2036,42,1,17.68
22,2644,-32.8504,53,1,26.46
23,2744,4.0993,100,1,20.51
24,2992,202.6268,248,1,61.62
25,3074,34.8063,82,2,45.7
26,3153,9.8543,79,1,44.14
27,3201,-4.1102,48,1,42.09
28,3274,-8.3825,73,1,40.72
29,3316,-20.76,42,1,39.16
30,3550,7.1474,234,1,28.71
31,4035,318.2139,485,2,73.93
32,4156,3.6496,121,1,41.6
33,4245,-19.2299,89,1,40.72
34,4318,-6.3507,73,1,33.69
35,4407,84.5729,89,1,26.76
36,4587,197.7946,180,1,65.04
37,4651,11.1471,64,1,41.02
38,4781,22.6481,130,1,38.28
39,5051,206.8938,270,2,50.59
40,5243,65.726,192,2,51.07
41,5376,-27.3378,133,1,28.22
42,5412,21.7468,36,1,45.21
43,5497,-8.6545,85,1,35.94
44,5678,141.993,181,2,52.15
45,5704,-1.0295,26,1,19.63
46,5774,-13.1957,70,1,38.57
47,5847,-34.7434,73,1,25.59
48,6014,-0.8004,167,1,21.48
49,6113,0.5019,99,1,40.72
50,6317,240.2319,204,2,65.43
51,6438,49.4955,121,1,46.39
52,6514,-13.1265,76,1,18.55
53,6555,-23.3821,41,1,16.11
54,6596,-0.52,41,1,18.16
55,6665,17.5893,69,1,40.33
56,6741,44.0082,76,1,31.93
57,6811,-0.3866,70,1,20.31
58,6888,-7.0254,77,1,35.45
59,7036,58.0409,148,1,50.59
60,7098,-11.0767,62,1,40.92
61,7159,52.4095,61,1,48.14
62,7541,343.7716,382,2,56.84
63,7630,42.2621,89,1,23.05
64,7681,-9.979,51,1,32.81
