rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/episodes,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss,train/ent_coef
37.00891475,3247,0,2016,193.0,4,,,,,
34.241069375,3295,1,4096,218.75,8,,,,,
41.696354750000005,3255,1,4800,301.75,12,,,,,
43.38449068749999,3249,1,6224,307.0,16,,,,,
33.9071291,3208,2,6432,288.55,20,,,,,
34.83344258333333,3242,2,8760,271.7916666666667,24,,,,,
47.142563214285715,2326,4,10344,307.42857142857144,28,32,-0.629821746610105,0.0003,4.994866736233234,0.10000000149011612
47.140719937499995,1920,5,10816,310.40625,32,96,-1.1086382512003183,0.0003,4.62811185605824,0.10000000149011612
59.21592041666666,1188,11,13560,310.0833333333333,36,416,-5.677269339561462,0.0003,4.224554348737001,0.10000000149011612
68.55425419999999,977,15,15376,312.975,40,672,-10.235413998365402,0.0003,3.7422770895063877,0.10000000149011612
94.84366595454544,943,16,15928,339.0681818181818,44,736,-11.411818712949753,0.0003,3.8253366872668266,0.10000000149011612
115.96872427083333,782,25,19912,359.4166666666667,48,1216,-18.482098281383514,0.0003,4.224274657666683,0.10000000149011612
122.04928350000002,768,26,20432,364.63461538461536,52,1280,-19.22722613811493,0.0003,4.418224982917309,0.10000000149011612
126.28209287499999,698,34,23888,375.9642857142857,56,1728,-25.822889387607574,0.0003,4.385615989565849,0.10000000149011612
139.5956972833333,682,36,24896,389.71666666666664,60,1856,-27.36757183074951,0.0003,5.142222106456757,0.10000000149011612
149.123956953125,612,46,28688,402.859375,64,2336,-31.537848353385925,0.0003,4.8640358075499535,0.10000000149011612
150.87571801470588,598,49,29696,414.45588235294116,68,2432,-31.624932169914246,0.0003,5.985942333936691,0.10000000149011612
154.679622875,572,58,33488,424.7638888888889,72,2912,-35.0070344209671,0.0003,5.935693599283695,0.10000000149011612
158.95851024999996,566,60,34496,433.9868421052632,76,3040,-35.70918560028076,0.0003,6.503833696246147,0.10000000149011612
168.3496733125,551,69,38288,442.2875,80,3520,-38.06614923477173,0.0003,6.265436567366123,0.10000000149011612
171.60934824999998,545,71,39296,449.79761904761904,84,3648,-38.03202044963837,0.0003,5.79840325564146,0.10000000149011612
172.91696592045457,537,76,41296,446.125,88,3904,-38.813055872917175,0.0003,5.8711564391851425,0.10000000149011612
171.32504131521742,527,83,43936,452.8152173913044,92,4224,-37.823270320892334,0.0003,6.203325517475605,0.10000000149011612
172.14085779166666,522,88,46096,458.9479166666667,96,4512,-36.8081488609314,0.0003,6.442717418074608,0.10000000149011612
169.13038661,521,92,48080,453.04,100,4736,-36.597031235694885,0.0003,5.9402738735079765,0.10000000149011612
178.46746521999998,515,95,49168,469.32,104,4896,-35.67805862426758,0.0003,6.992542549967766,0.10000000149011612
