time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/value_loss,train/loss,train/clip_range,train/clip_fraction,train/explained_variance,train/n_updates,train/std,train/entropy_loss,train/learning_rate,train/approx_kl,train/policy_gradient_loss
1,21.50270192,4024,8192,224.2,2,,,,,,,,,,,
2,80.11589480851063,3370,16384,308.1489361702128,4,58.04345300197601,22.898483276367188,0.2,0.16966552734375,-0.0017156600952148438,10,0.9943000674247742,-4.246573457121849,0.001,0.010812025,-0.015293831021699589
3,124.29383450724637,3157,24576,324.2028985507246,7,73.01361813545228,28.925798416137695,0.2,0.14515380859375,0.2623562812805176,20,0.9798767566680908,-4.216220685839653,0.001,0.011888975,-0.015278551196388435
4,156.56395820689656,2977,32768,351.55172413793105,11,102.27500553131104,52.71599578857422,0.2,0.1038330078125,0.24719786643981934,30,0.9724280834197998,-4.1825897067785265,0.001,0.008330926,-0.011190679868013831
5,185.52851947999997,2889,40960,385.6,14,90.58573303222656,35.57851028442383,0.2,0.0716552734375,0.51939257979393,40,0.9652747511863708,-4.161680808663368,0.001,0.008849632,-0.009050124272471293
6,233.91203589999998,2808,49152,415.88,17,94.89949386119842,48.651458740234375,0.2,0.07152099609375,0.6061379909515381,50,0.9624602198600769,-4.145892384648323,0.001,0.007154388,-0.006762622130918316
7,260.72668385,2721,57344,426.53,21,87.88093795776368,45.255008697509766,0.2,0.09158935546875,0.8102571815252304,60,0.9564011096954346,-4.1300930947065355,0.001,0.00940647,-0.007685330382082611
8,282.74077995,2656,65536,437.01,24,90.25569858551026,38.459049224853516,0.2,0.09691162109375,0.8591646403074265,70,0.9509775042533875,-4.112135872244835,0.001,0.0077130347,-0.010309723185491749
9,294.98487893000004,2632,73728,432.56,28,100.82653455734253,36.61163330078125,0.2,0.0864501953125,0.884343221783638,80,0.9506250023841858,-4.103328263759613,0.001,0.007940285,-0.008090089222241659
10,308.10352753,2606,81920,422.95,31,123.47880511283874,45.133209228515625,0.2,0.1166748046875,0.8458976894617081,90,0.9489612579345703,-4.0996223539114,0.001,0.011008823,-0.008742026930849533
11,319.14960562,2586,90112,395.78,34,107.82045168876648,53.86481857299805,0.2,0.1281005859375,0.8940998017787933,100,0.9425039887428284,-4.088787949085235,0.001,0.009234309,-0.009076568440650589
12,340.30705177999994,2572,98304,406.32,38,168.90454545021058,69.8560791015625,0.2,0.12261962890625,0.8864187449216843,110,0.9393315315246582,-4.071489211916924,0.001,0.008350196,-0.006614337966311723
13,349.90509814999996,2576,106496,406.59,41,81.41943969726563,33.7489128112793,0.2,0.1030029296875,0.9260325208306313,120,0.9330072402954102,-4.05582714676857,0.001,0.007960687,-0.003982095522223972
14,347.37036841,2587,114688,386.33,44,111.48819861412048,43.43730926513672,0.2,0.08438720703125,0.9065717905759811,130,0.9299445152282715,-4.039632847905159,0.001,0.0061706444,-0.005537558047217317
15,365.7398773099999,2601,122880,380.7,47,132.33011260032654,64.00382995605469,0.2,0.1049560546875,0.9184338003396988,140,0.9266740679740906,-4.030664202570915,0.001,0.010175304,-0.006147668708581478
16,369.2797028000001,2615,131072,353.84,50,124.49032793045043,57.1906852722168,0.2,0.1466064453125,0.923093818128109,150,0.9158604741096497,-4.007627725601196,0.001,0.014624243,-0.007340487296460196
17,360.99542775000003,2589,139264,317.93,53,137.78544692993165,48.546119689941406,0.2,0.1267578125,0.9161771386861801,160,0.9061636328697205,-3.9736237317323684,0.001,0.011506246,-0.005081377013993915
18,388.31027695999995,2560,147456,320.87,57,146.34033641815185,64.90921020507812,0.2,0.14337158203125,0.9148543626070023,170,0.8971968293190002,-3.9338820710778237,0.001,0.012424877,-0.0039947766912519
19,384.76493298,2558,155648,322.3,60,127.93176417350769,54.021995544433594,0.2,0.16043701171875,0.929497204720974,180,0.8893453478813171,-3.911050294339657,0.001,0.016898114,-0.0028708329678920562
20,378.10070924,2572,163840,336.3,63,109.53370332717896,49.4119987487793,0.2,0.1724609375,0.9337739795446396,190,0.875774621963501,-3.875242605805397,0.001,0.011999931,-0.005025805281184148
21,377.61774672000007,2582,172032,342.85,66,141.2285945892334,43.550472259521484,0.2,0.1073974609375,0.9206283465027809,200,0.8743553161621094,-3.848863314092159,0.001,0.00704322,-0.005552958913540351
22,363.96764353,2594,180224,338.24,69,89.85979897975922,41.50204849243164,0.2,0.1468017578125,0.9563739076256752,210,0.8666518330574036,-3.8321641460061073,0.001,0.011680618,-0.003668278927943902
23,337.3719709,2600,188416,318.59,72,107.08030416965485,53.287628173828125,0.2,0.18851318359375,0.9426886886358261,220,0.8704773783683777,-3.8253229066729544,0.001,0.04937703,0.000246666707971599
24,350.12429554000005,2573,196608,308.28,76,131.7455901622772,55.97066879272461,0.2,0.13084716796875,0.9236412048339844,230,0.863307774066925,-3.8210030511021613,0.001,0.008383555,-0.00546801880482235
25,359.29686863,2567,204800,295.87,79,175.5367542743683,82.79837799072266,0.2,0.115087890625,0.9129063934087753,240,0.8616405129432678,-3.8060724675655364,0.001,0.010112821,-0.0067146503199182915
