episode,timestep,episode_reward,episode_length,visited_rooms,explored_pct
175,26263,508.2829,600,4,93.75
176,26405,256.9826,142,2,66.21
177,27005,394.6269,600,3,87.11
178,27605,593.2568,600,4,85.06
179,27726,37.6158,121,1,44.82
180,27868,54.0775,142,1,23.93
181,27933,57.9611,65,1,45.21
182,28533,544.8719,600,4,86.62
183,28605,-25.4195,72,1,38.18
184,28756,155.9463,151,1,47.75
185,29356,314.024,600,3,72.95
186,29956,368.1701,600,3,79.39
187,30556,392.1772,600,3,82.42
188,30953,316.4212,397,2,73.44
189,31033,56.1766,80,1,45.21
190,31093,20.1874,60,1,22.07
191,31213,108.9419,120,1,46.29
192,31813,573.0748,600,5,96.29
193,32413,436.4933,600,3,81.93
194,33013,483.0461,600,4,84.47
195,33613,653.6763,600,5,98.63
196,34213,470.7,600,4,84.86
197,34813,491.3952,600,4,90.62
198,35119,371.5314,306,3,83.69
199,35419,418.5131,300,3,58.5
200,35529,25.1422,110,1,20.8
201,35901,348.2007,372,2,80.18
202,36284,508.8155,383,4,87.21
203,36393,22.4616,109,1,21.48
204,36485,36.6681,92,1,45.31
205,36507,-12.7283,22,1,17.97
206,36575,71.6864,68,1,50.59
207,36616,2.2848,41,1,18.95
208,37069,473.8273,453,4,85.06
209,37307,306.9023,238,2,58.89
210,37345,27.6865,38,1,46.78
211,37945,629.0757,600,5,96.19
212,38042,28.3211,97,1,45.12
213,38417,454.6249,375,3,57.91
214,38910,455.2049,493,3,79.98
215,39141,279.5519,231,2,56.74
216,39360,185.5861,219,3,53.12
217,39648,319.502,288,2,58.3
218,39714,69.3937,66,1,51.37
219,39784,72.2476,70,1,50.68
220,40195,252.091,411,3,70.9
221,40595,386.9356,400,2,62.3
222,40722,119.5377,127,1,51.37
223,41149,444.0855,427,3,73.34
224,41196,20.5864,47,1,35.16
225,41291,134.089,95,2,49.51
226,41377,121.3336,86,2,48.24
227,41501,89.5623,124,1,45.61
228,41564,53.9541,63,1,42.09
229,41784,200.2402,220,2,69.92
230,41959,242.8415,175,2,70.12
231,42424,348.7305,465,4,84.86
232,42591,252.5983,167,2,75.2
233,42724,90.5583,133,2,46.78
234,43324,312.7761,600,3,79.59
235,43725,270.609,401,3,72.75
236,43755,30.9852,30,1,25.29
237,43795,-6.2619,40,1,19.82
238,43848,50.1997,53,1,42.58
239,44016,140.9902,168,2,60.16
240,44059,64.5909,43,2,43.26
241,44208,157.8733,149,2,46.48
242,44336,196.2692,128,2,46.29
243,44474,123.0329,138,2,57.23
244,44585,133.2792,111,2,50.78
245,44651,12.03,66,1,20.51
246,44737,75.3509,86,1,44.92
247,44771,25.3141,34,1,41.89
248,44829,58.9422,58,1,24.8
249,44881,70.0745,52,1,26.56
250,44916,61.9449,35,2,54.49
251,45037,167.8774,121,1,53.61
252,45637,672.3449,600,4,82.71
253,45703,49.0055,66,1,47.46
254,45732,38.7463,29,2,45.51
255,45773,0.2021,41,1,19.04
256,45963,231.0309,190,3,71.39
257,45981,-27.9016,18,1,17.38
258,46035,43.1949,54,1,45.41
259,46536,247.3639,501,3,82.23
260,46560,-6.8609,24,1,40.92
261,46950,461.6157,390,3,69.43
262,47051,149.6963,101,1,55.08
263,47118,-26.9082,67,1,26.27
264,47222,120.2286,104,2,45.12
265,47536,380.7673,314,2,62.6
266,47612,-9.3967,76,1,27.15
267,47673,55.5121,61,1,45.12
268,47712,21.3555,39,1,19.24
269,47731,5.28,19,1,43.75
270,48007,407.0095,276,3,67.09
271,48137,164.2379,130,2,65.04
272,48215,131.52,78,1,59.18
273,48590,432.077,375,2,62.4
274,48628,-20.4249,38,1,19.63
275,48750,119.9919,122,2,46.78
276,48790,20.5473,40,1,42.09
277,48828,32.9683,38,1,45.41
278,48907,92.869,79,1,56.64
279,49299,120.0974,392,2,48.34
280,49307,-20.0378,8,1,39.94
281,49344,51.0438,37,1,25.88
282,49408,138.3655,64,2,61.23
283,49448,-21.3994,40,1,18.65
284,49498,58.6114,50,1,50.0
285,49531,0.8103,33,1,18.65
286,49650,126.0147,119,2,46.19
287,49795,171.2648,145,2,62.4
