time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates,train/ent_coef,train/ent_coef_loss
212,95520,404,245.07063806000005,235,469.31,0.001,9.339498952031136,-29.605688154697418,10688,0.04742825904395431,0.3386771713849157
216,97224,405,250.81381215,239,486.25,0.001,11.240241557359695,-30.03989815711975,10880,0.04629283014219254,0.32398891681805253
220,100000,404,255.86314282,247,496.32,0.001,9.080745741724968,-29.102179646492004,11232,0.04488197038881481,-0.5287679540924728
224,101688,404,263.57914542000003,251,493.57,0.001,9.095745772123337,-28.91919207572937,11456,0.04442725609987974,-0.4935617770534009
228,103448,403,262.52210139,256,491.13,0.001,9.087727174162865,-28.29016214609146,11680,0.04085971519816667,-0.12574090901762247
232,104768,403,260.21927598,259,478.79,0.001,9.741626530885696,-28.55248636007309,11840,0.041552497539669275,0.034585528541356325
236,105120,403,258.25324418,260,472.96,0.001,12.62017372250557,-28.498734056949615,11872,0.04165072308387607,0.6723366319201887
240,107144,402,265.31303030999993,265,466.33,0.001,11.001340076327324,-27.409495651721954,12128,0.03939279436599463,-0.058956063352525234
244,108520,403,265.84863958,269,463.56,0.001,10.450884073972702,-27.628457725048065,12288,0.037743892753496766,0.0415505962446332
248,109736,401,270.90692163000006,273,455.81,0.001,10.30581545829773,-27.350740373134613,12448,0.03873092739377171,0.15239484782796353
252,112504,399,270.27163543,281,455.27,0.001,9.974775403738022,-26.96510237455368,12800,0.04052826855331659,0.18981093144975603
256,113624,399,273.33074759,284,452.05,0.001,11.829106703400612,-25.83490002155304,12928,0.040163024445064366,-0.140184476505965
260,116664,399,273.15046517999997,292,456.51,0.001,11.425857812166214,-25.904996275901794,13312,0.03895838896278292,-0.2825966663658619
264,117832,397,268.11911041,296,444.55,0.001,12.27147687971592,-26.589857041835785,13472,0.037764907465316355,0.3081195834092796
268,118424,396,266.97613305000004,298,446.48,0.001,10.881303951144218,-26.074872732162476,13536,0.038325831410475075,0.15597936790436506
272,120048,395,273.26029924,303,427.01,0.001,10.787320628762245,-25.637990713119507,13728,0.039688586024567485,-0.40582276741042733
276,122592,392,272.61502947,311,433.63,0.001,12.586812257766724,-25.00370955467224,14048,0.03914890461601317,-0.18703133799135685
280,123712,391,273.89924049999996,316,438.43,0.001,10.624061867594719,-24.12802344560623,14208,0.03852591069880873,-0.20314724801573902
284,124648,390,280.4444623,319,432.01,0.001,12.317771151661873,-24.771487593650818,14304,0.03860790724866092,-0.22469445085152984
288,126648,388,282.16356518,325,438.05,0.001,12.824226334691048,-25.310300946235657,14560,0.03903074283152819,0.970347213326022
292,128592,386,291.13089242,332,435.21,0.001,12.636412784457207,-24.687048614025116,14816,0.038503087824210525,0.1239570239558816
296,129784,385,293.83668056000005,336,430.58,0.001,11.169050991535187,-24.17406517267227,14944,0.04071978619322181,-0.37599469581618905
300,130840,384,297.09933582,340,419.4,0.001,13.17172884941101,-24.796106457710266,15104,0.04138612456154078,0.7210433990694582
304,132136,382,308.69335344999996,345,417.37,0.001,13.356552615761757,-24.476349532604218,15264,0.04050506721250713,-0.4805873390287161
308,134248,382,308.46172766999996,350,411.32,0.001,13.637604728341103,-24.488654911518097,15520,0.04218039917759597,0.5270995465107262
312,135720,381,307.36466704000003,355,408.89,0.001,13.703444600105286,-25.059196531772614,15712,0.04077370173763484,0.17409859434701502
316,137000,381,315.65386087,358,399.94,0.001,11.05129750072956,-24.324920892715454,15872,0.040359021979384124,-0.38523949636146426
320,138776,381,319.87232824999995,363,390.44,0.001,13.9028749614954,-24.557753801345825,16096,0.042799336835742,-0.4360461994074285
324,139384,381,318.95011494000005,365,389.11,0.001,13.717286348342896,-25.305249094963074,16160,0.04287308768834919,-0.2095210086554289
328,141304,380,323.9461258399999,371,378.39,0.001,11.554995194077492,-25.253813862800598,16384,0.040967601584270597,-0.25842762365937233
332,143040,379,331.59812765000004,376,383.8,0.001,12.731635689735413,-24.569683253765106,16608,0.0406631869263947,-0.16674047871492803
336,144184,379,341.07615635999997,380,390.88,0.001,14.724790573120117,-25.463686764240265,16768,0.040092575014568865,0.7579597467556596
340,145264,378,329.23486295999993,383,385.66,0.001,14.64570127427578,-25.637635946273804,16896,0.04186402459163219,0.5303918216377497
344,147504,375,336.752494,392,377.2,0.001,12.33221510052681,-25.38997370004654,17184,0.041585219209082425,-0.20191239449195564
348,148560,375,334.24054596999997,395,381.9,0.001,13.44391368329525,-24.99337524175644,17312,0.041887384722940624,0.655110692139715
352,149504,375,334.75853084000005,397,381.51,0.001,12.546538904309273,-25.583143293857574,17408,0.04243869602214545,0.20433762134052813
356,152640,374,333.17760222,407,381.42,0.001,11.7777701318264,-25.854351937770844,17824,0.04260047385469079,-0.07353325909934938
360,153520,374,337.21525307999997,409,379.01,0.001,11.929239735007286,-25.747969806194305,17920,0.041447813622653484,-0.2621756715234369
364,154528,374,346.8499731400001,413,381.04,0.001,11.972965657711029,-25.832260251045227,18048,0.03917719749733806,0.22191890235990286
368,154832,374,350.84988993999997,413,367.11,0.001,12.013207837939262,-26.13901436328888,18080,0.039556304342113435,0.1798952838871628
372,158160,374,352.04160213999995,422,372.76,0.001,13.463035181164742,-26.852699398994446,18496,0.04084202856756747,-0.051455154083669186
376,159328,373,354.55486474,426,370.04,0.001,14.80736355483532,-26.470561683177948,18656,0.03951617190614343,-0.12512770621106029
380,160696,373,352.08520195999995,430,369.97,0.001,14.277395963668823,-26.190992414951324,18816,0.04093659506179392,0.5620425110682845
384,162848,372,353.0957109699999,437,372.26,0.001,13.680342704057693,-26.609808325767517,19104,0.041767609072849154,-0.7163485465571284
388,164128,370,350.9933146599999,442,372.44,0.001,13.285091295838356,-26.704640805721283,19264,0.04114115971606225,0.23879551887512207
392,165224,369,348.1994129799999,447,372.78,0.001,12.702942907810211,-27.238336443901062,19392,0.04314409627113491,0.5509488093666732
396,168024,366,346.01963986999993,458,377.17,0.001,12.358670070767403,-27.045876622200012,19744,0.042052936856634915,0.4446432734839618
400,169920,366,347.11827599,463,383.63,0.001,13.765886068344116,-27.07072538137436,19968,0.04141402803361416,0.11409483151510358
404,171216,365,346.92028897000006,467,384.96,0.001,13.95088616013527,-26.668323695659637,20128,0.0413742532255128,0.0906896754167974
408,173808,363,338.48906736000004,477,395.79,0.001,13.150125652551651,-26.76380944252014,20448,0.04006434045732021,0.1138558303937316
412,175360,363,340.71711704000006,482,395.11,0.001,14.839652568101883,-26.96810072660446,20640,0.04096680344082415,-0.09638772462494671
416,176104,362,338.41027706,485,394.96,0.001,12.909885287284851,-26.886148691177368,20736,0.041179453022778034,-0.18196402466855943
420,178784,362,331.47379526000003,493,404.21,0.001,14.673835083842278,-27.42184203863144,21088,0.04330973292235285,0.47615967178717256
424,180744,362,327.5954422,498,408.76,0.001,12.754336327314377,-26.61346197128296,21344,0.04293528781272471,0.06946524512022734
428,181960,362,332.20590043000004,501,412.73,0.001,13.955193877220154,-27.444901049137115,21472,0.04344171658158302,0.44717755098827183
432,183584,362,332.53440923,506,412.7,0.001,13.293258234858513,-27.587058007717133,21696,0.04261823196429759,-0.39004864427261055
436,185568,362,332.60149770000004,511,406.57,0.001,13.411711573600769,-28.098681449890137,21920,0.04248283919878304,0.14472828339785337
440,186624,362,339.76896285000004,514,413.7,0.001,13.573822051286697,-27.71879482269287,22048,0.04236867604777217,-0.2947104824706912
444,188440,361,338.83982848,520,413.81,0.001,12.936701506376266,-27.600418746471405,22304,0.04346552584320307,-0.04581233556382358
448,191400,361,336.8884863500001,529,419.09,0.001,15.329246282577515,-27.426651656627655,22656,0.04192251479253173,0.5436415122821927
452,192472,361,335.3600101299999,532,422.61,0.001,12.426064938306808,-27.85492914915085,22784,0.042455718386918306,0.09040465974248946
456,195304,361,332.80785796000004,539,427.3,0.001,11.416317701339722,-27.015232861042023,23136,0.04136279318481684,-0.4505646841134876
460,196544,361,335.3796522200001,543,423.84,0.001,14.714098080992699,-27.19743674993515,23296,0.04058119235560298,-0.2211138983257115
464,197424,361,336.54740473000004,546,424.72,0.001,12.738614872097969,-26.528603315353394,23424,0.041941651375964284,-0.41697019012644887
468,198072,361,338.99164509,548,431.39,0.001,12.39213478565216,-27.462481379508972,23488,0.0411323644220829,0.43583895242772996
