train/loss,time/total_timesteps,train/learning_rate,train/n_updates,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,time/fps
3.027988910675049,12413,0.0001,603,9,50.52700236,124.13,100,0.9213843333333332,1308
1.4859120845794678,34679,0.0001,6169,39,164.63228081999998,222.66,200,0.7803663333333333,880
1.9843220710754395,48259,0.0001,9564,58,103.35841692,135.8,300,0.6943596666666663,825
4.319253921508789,54435,0.0001,11108,67,32.43430272,61.76,400,0.6552449999999999,807
2.1648011207580566,60253,0.0001,12563,75,28.242303389999993,58.18,500,0.6183976666666666,793
3.4467294216156006,69848,0.0001,14961,89,76.22815363,95.95,600,0.5576293333333332,780
2.3672544956207275,92701,0.0001,20675,123,208.33726232,228.53,700,0.4128936666666664,748
3.0822057723999023,112656,0.0001,25663,154,209.68074936000005,199.55,800,0.2865120000000002,729
2.799628496170044,134464,0.0001,31115,188,199.37627027000002,218.08,900,0.14839466666666656,713
3.999748706817627,157237,0.0001,36809,225,175.44324410999997,227.73,1000,0.05,698
6.737124443054199,194700,0.0001,46174,285,309.49182665999996,374.63,1100,0.05,681
1.9456228017807007,236711,0.0001,56677,352,264.1112351400001,420.11,1200,0.05,670
3.0881524085998535,270281,0.0001,65070,406,253.63976442000003,335.7,1300,0.05,665
4.106503486633301,308986,0.0001,74746,469,298.464931,387.05,1400,0.05,657
1.9838465452194214,341902,0.0001,82975,522,321.29769223,329.16,1500,0.05,654
2.570981979370117,366517,0.0001,89129,562,354.44287126999996,246.15,1600,0.05,652
2.3218822479248047,389477,0.0001,94869,599,309.38757026,229.6,1700,0.05,649
2.478309154510498,428252,0.0001,104562,662,354.0323888699999,387.75,1800,0.05,646
2.1305079460144043,467939,0.0001,114484,726,309.64715262999994,396.87,1900,0.05,644
2.048424005508423,512786,0.0001,125696,799,323.53219297,448.47,2000,0.05,641
1.375103235244751,554482,0.0001,136120,866,359.40898816999993,416.96,2100,0.05,639
2.33809494972229,591307,0.0001,145326,928,357.46308947000006,368.25,2200,0.05,636
3.783964157104492,630826,0.0001,155206,993,334.81432414999995,395.19,2300,0.05,634
2.3453869819641113,665531,0.0001,163882,1050,342.06476623000003,347.05,2400,0.05,633
5.206021308898926,703687,0.0001,173421,1123,339.21838836,381.56,2500,0.05,626
2.199249029159546,743639,0.0001,183409,1202,349.39418515,399.52,2600,0.05,618
3.1695375442504883,782957,0.0001,193239,1280,354.23119029000003,393.18,2700,0.05,611
2.9049696922302246,820562,0.0001,202640,1354,329.87804966000004,376.05,2800,0.05,605
1.9418004751205444,855538,0.0001,211384,1424,387.38425180999997,349.76,2900,0.05,600
1.8242374658584595,892321,0.0001,220580,1497,375.30928805,367.83,3000,0.05,595
2.71159029006958,931195,0.0001,230298,1575,371.51173160999997,388.74,3100,0.05,591
2.5371484756469727,972591,0.0001,240647,1657,375.3300590000001,413.96,3200,0.05,586
