rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/episodes,train/learning_rate,train/ent_coef,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/n_updates
56.2813345,3703,0,180.25,2960,4,,,,,,
27.331486374999997,3629,1,227.5,4496,8,,,,,,
47.611027538461535,3547,1,287.53846153846155,4800,12,,,,,,
41.770207187500006,3475,1,276.6875,5296,16,,,,,,
32.29072955,3447,2,257.6,7480,20,,,,,,
34.520985708333335,3458,2,287.7083333333333,8592,24,,,,,,
23.745066607142856,3482,2,308.25,9968,28,,,,,,
26.801618249999997,2127,5,291.59375,10736,32,0.0001,0.9952550567686558,-3.0456078350543976,-0.024023019417654723,6.232551030814648,64
31.466333861111114,1790,6,282.05555555555554,11096,36,0.0001,0.9888990093022585,-5.491932272911072,-0.056363459094427526,6.51312168687582,128
34.6977878,1345,8,282.025,12064,40,0.0001,0.9763181861490011,-9.508760958909988,-0.12097316770814359,5.864235915243626,256
35.87781752272727,1118,12,274.4318181818182,13496,44,0.0001,0.9608282446861267,-14.572880268096924,-0.20165090868249536,7.807842146605253,416
37.06213372916667,925,16,268.7708333333333,14912,48,0.0001,0.9425617512315512,-20.30372714996338,-0.2984479470178485,8.740641202777624,608
41.53677328846153,728,23,289.0,16936,52,0.0001,0.9187663588672876,-27.09836506843567,-0.42603966873139143,8.893725480884314,864
56.92645917857143,658,28,303.19642857142856,19000,56,0.0001,0.8956414926797152,-33.064974427223206,-0.5505468007177114,8.324931357055902,1120
64.53597628333334,622,33,313.68333333333334,20536,60,0.0001,0.8787785246968269,-37.08225679397583,-0.6399742346256971,8.432140059769154,1312
72.30613503125,590,38,308.625,22448,64,0.0001,0.8596710748970509,-41.473594665527344,-0.737338412553072,10.000042613595724,1536
83.75109973529412,581,40,318.1764705882353,23296,68,0.0001,0.851657023653388,-43.27394139766693,-0.7772124223411083,9.67150604724884,1632
90.13151081944446,560,44,326.4861111111111,25104,72,0.0001,0.8307453133165836,-47.254281401634216,-0.884105971083045,9.61018931120634,1888
104.12400753947368,545,51,340.88157894736844,27896,76,0.0001,0.805410161614418,-51.622645020484924,-1.0207007639110088,8.537499994039536,2208
113.8473808,534,54,348.825,29312,80,0.0001,0.7905961014330387,-53.57182824611664,-1.0946394763886929,9.027224346995354,2400
122.77171017857142,515,62,347.79761904761904,32120,84,0.0001,0.7642506081610918,-56.18433344364166,-1.236344687640667,10.735803239047527,2752
130.85181356818183,504,65,352.70454545454544,32896,88,0.0001,0.757209911942482,-56.76481795310974,-1.274808906018734,7.785408146679401,2848
137.8585125978261,487,70,357.2282608695652,34368,92,0.0001,0.7433324847370386,-57.88550651073456,-1.3440494351089,9.881211370229721,3040
139.89269822916665,482,76,356.34375,36920,96,0.0001,0.7207808438688517,-59.30667805671692,-1.4726974703371525,10.577869579195976,3360
146.83216103999996,480,78,360.33,37720,100,0.0001,0.714152492582798,-59.53402543067932,-1.50149941816926,9.475423336029053,3456
154.76186468000003,472,84,377.12,39840,104,0.0001,0.6967549920082092,-60.21423327922821,-1.5978421233594418,9.058583199977875,3712
168.13482245,463,91,390.13,42520,108,0.0001,0.6734153460711241,-60.65244972705841,-1.7533135525882244,8.330864615738392,4064
174.48638783,464,95,396.05,44544,112,0.0001,0.6589003391563892,-60.47114443778992,-1.8301844373345375,9.003231421113014,4288
183.05594289000004,461,102,401.43,47296,116,0.0001,0.6366936210542917,-59.81061041355133,-1.967872653156519,7.763226635754108,4640
192.87467967,459,105,412.5,48456,120,0.0001,0.6268113236874342,-59.30910050868988,-2.044024735689163,8.780374363064766,4800
204.46579193000005,456,112,418.97,51536,124,0.0001,0.603626511991024,-58.12876033782959,-2.2002532333135605,7.425013139843941,5184
214.47856992,455,114,414.58,52312,128,0.0001,0.5979569610208273,-57.65443778038025,-2.2372772097587585,8.287037670612335,5280
220.31622328999995,453,117,420.25,53256,132,0.0001,0.5904769822955132,-57.07678282260895,-2.2932188287377357,8.248952984809875,5408
228.05501549000002,454,119,430.28,54240,136,0.0001,0.5849315375089645,-56.81953263282776,-2.321752056479454,8.610225185751915,5504
237.73909689,451,128,443.01,58056,140,0.0001,0.557938190177083,-54.88204371929169,-2.5168861150741577,8.562297970056534,5984
243.89667661000004,451,129,448.89,58592,144,0.0001,0.5544344186782837,-54.79303562641144,-2.54418121278286,7.648614794015884,6048
248.43574839999997,444,138,459.31,61616,148,0.0001,0.5338869374245405,-53.248520493507385,-2.6920937597751617,8.528511419892311,6432
248.83543870999998,440,143,450.45,62992,152,0.0001,0.523872934281826,-52.662710547447205,-2.748399682343006,7.979909583926201,6624
251.00738589,439,145,454.94,63840,156,0.0001,0.5189452916383743,-52.408984303474426,-2.8132040053606033,7.392763704061508,6720
254.09495449000005,434,156,460.52,67792,160,0.0001,0.494910741224885,-50.286036014556885,-2.9946880489587784,7.834106624126434,7200
256.70584728,432,158,475.21,68640,164,0.0001,0.4886861499398947,-49.76216673851013,-3.032815471291542,7.956558711826801,7328
258.229511,430,168,480.37,72592,168,0.0001,0.4660480171442032,-47.6800342798233,-3.2278542295098305,8.418562978506088,7808
262.15022959000004,429,170,485.66,73440,172,0.0001,0.46165011264383793,-47.0442658662796,-3.2733762562274933,7.489211305975914,7904
258.29336609,428,179,480.35,77080,176,0.0001,0.44026375375688076,-44.99348211288452,-3.447340913116932,7.84067939966917,8384
257.24453619,429,181,484.36,77792,180,0.0001,0.4374952148646116,-44.932504057884216,-3.456228457391262,7.770681068301201,8448
252.53965101999998,429,190,495.27,81880,184,0.0001,0.4158856850117445,-42.4045512676239,-3.65169171243906,7.62734305113554,8960
248.43787615000002,428,192,495.27,82376,188,0.0001,0.4132582452148199,-42.25908410549164,-3.7092621847987175,7.111446365714073,9024
244.99853955000003,426,200,501.0,85616,192,0.0001,0.39654692728072405,-40.33774268627167,-3.8464669957756996,7.307789646089077,9440
246.57122559000004,425,204,505.79,87168,196,0.0001,0.38908088207244873,-39.696147322654724,-3.908343717455864,6.615566946566105,9632
247.1594425,424,207,511.55,88288,200,0.0001,0.3841758221387863,-39.09813404083252,-3.9844412058591843,7.000797808170319,9760
250.28942822999997,423,216,511.55,91968,204,0.0001,0.3664407320320606,-37.311572194099426,-4.0789748430252075,7.051192380487919,10240
249.4377882,424,219,511.55,93088,208,0.0001,0.3618380082771182,-36.89650821685791,-4.172546461224556,7.654667407274246,10368
248.46625703000007,424,227,508.99,96464,212,0.0001,0.3472850052639842,-36.06889200210571,-4.290766045451164,6.474431000649929,10784
249.68952198000002,423,229,514.72,97440,216,0.0001,0.3429353041574359,-35.573177099227905,-4.361085951328278,6.561267212033272,10912
251.71280609,423,239,520.4,101264,220,0.0001,0.32711463887244463,-33.89103835821152,-4.483544036746025,6.894677475094795,11392
250.71966077000002,423,240,519.31,101792,224,0.0001,0.3250663075596094,-33.57238185405731,-4.4754200875759125,6.255569890141487,11456
255.15083934999998,422,251,530.0,106064,228,0.0001,0.30814128555357456,-31.756347119808197,-4.637834399938583,5.637127265334129,12000
256.67787185000003,421,252,541.33,106592,232,0.0001,0.3062164271250367,-31.93166697025299,-4.655517548322678,5.579770982265472,12064
261.78080899,419,261,538.88,109560,236,0.0001,0.29579947981983423,-30.88455903530121,-4.759534880518913,7.1131323128938675,12416
260.66980767000007,417,265,537.41,110968,240,0.0001,0.2902791425585747,-30.342549920082092,-4.8912243992090225,6.825944900512695,12608
264.06184694999996,416,273,544.0,114056,244,0.0001,0.279633647762239,-29.568709194660187,-4.86611807346344,6.712808430194855,12992
267.07385037999995,416,277,543.57,115664,248,0.0001,0.27445162273943424,-28.639816522598267,-5.013925150036812,7.056868903338909,13184
274.86193003,415,281,555.16,117088,252,0.0001,0.2693390026688576,-28.291311383247375,-5.056073561310768,6.159825220704079,13376
268.73868661999995,413,288,544.42,119328,256,0.0001,0.2618550891056657,-27.80072158575058,-5.109885215759277,6.940545409917831,13664
270.54414641999995,413,292,543.65,120992,260,0.0001,0.2570391232147813,-27.22826737165451,-5.101513296365738,6.0806824862957,13856
272.80877304,413,300,543.65,124128,264,0.0001,0.24765304801985621,-26.758166551589966,-5.1795821487903595,6.290937438607216,14240
274.11520750999995,412,304,543.65,125792,268,0.0001,0.24232261767610908,-25.932742297649384,-5.315993681550026,6.079164884984493,14464
273.77960889,413,311,543.65,128928,272,0.0001,0.23345415806397796,-25.33273094892502,-5.387348636984825,5.760359510779381,14848
272.39224810999997,413,315,543.23,130384,276,0.0001,0.22917101485654712,-25.25616431236267,-5.335485801100731,6.687963426113129,15040
269.79600012,412,323,543.23,133456,280,0.0001,0.22091918718069792,-24.656085312366486,-5.2441359013319016,6.905067965388298,15424
273.39763529,412,325,537.45,134248,284,0.0001,0.2189119146205485,-24.11646270751953,-5.33364300429821,6.750695712864399,15520
277.42570564,413,331,543.22,137128,288,0.0001,0.21169499773532152,-23.95699054002762,-5.534363657236099,6.074483811855316,15872
280.477226,413,336,543.22,139048,292,0.0001,0.2065344052389264,-23.211935877799988,-5.419653654098511,6.450301751494408,16128
284.55238282000005,413,340,546.26,140872,296,0.0001,0.20211078459396958,-23.363941192626953,-5.442046076059341,6.563079461455345,16352
285.49234601999996,413,347,545.76,143848,300,0.0001,0.19547517551109195,-22.45294690132141,-5.326008051633835,6.580286338925362,16704
281.05884747000005,412,352,542.29,145616,304,0.0001,0.1913563390262425,-22.406087577342987,-5.26243956387043,6.616039901971817,16928
280.35420163000003,412,359,537.7,148304,308,0.0001,0.1850097649730742,-21.951163947582245,-5.534891277551651,6.628690905869007,17280
280.62613675,412,363,545.16,150192,312,0.0001,0.18107888521626592,-21.50914591550827,-5.490377590060234,7.0956402868032455,17504
281.16991687999996,412,370,545.16,153104,316,0.0001,0.17449375800788403,-21.388816595077515,-5.565526381134987,7.002943336963654,17888
279.49727902,413,375,545.16,154992,320,0.0001,0.1708338358439505,-21.171998858451843,-5.468258157372475,7.061219975352287,18112
