rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,train/approx_kl,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/std,train/loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/value_loss,train/clip_range
21.556253714285713,8192,190.0,1,4579,1,,,,,,,,,,,
77.49436276785715,16384,264.82142857142856,4,3794,2,0.009696177,0.0001,0.0068703293800354,-0.012134258011064958,1.0013529062271118,62.689781188964844,0.087451171875,-4.259515404701233,10,111.60595092773437,0.2
110.10938393243244,24576,305.3918918918919,6,3569,3,0.007815047,0.0001,0.06271535158157349,-0.009081982829957268,0.9982852935791016,39.18754959106445,0.0604248046875,-4.257808318734169,20,81.98628540039063,0.2
134.8822589263158,32768,324.69473684210527,9,3463,4,0.0055750734,0.0001,-0.004190564155578613,-0.007113182078319369,0.9973861575126648,55.282527923583984,0.04053955078125,-4.250834032893181,30,117.8312716960907,0.2
181.58183646000006,40960,374.13,12,3411,5,0.005939776,0.0001,0.09576314687728882,-0.0070797253094497135,0.994286060333252,63.449710845947266,0.037548828125,-4.245247960090637,40,128.9288486480713,0.2
228.97816441999998,49152,407.42,14,3380,6,0.0042989254,0.0001,0.13344484567642212,-0.004895109163771849,0.9937024116516113,59.63577651977539,0.0164794921875,-4.238954237103462,50,136.14581565856935,0.2
243.65432564,57344,427.9,17,3349,7,0.006424332,0.0001,0.21403205394744873,-0.007291470325435511,0.9929119944572449,53.53852081298828,0.04364013671875,-4.236903566122055,60,133.54793281555175,0.2
245.5352938,65536,409.18,19,3332,8,0.0048237867,0.0001,0.3594205975532532,-0.005006330870673992,0.9923966526985168,63.032711029052734,0.035302734375,-4.234759047627449,70,142.37999911308287,0.2
253.71493026999997,73728,418.61,22,3314,9,0.005347972,0.0001,0.41518348455429077,-0.005650756880640984,0.9923126697540283,76.60089874267578,0.0482177734375,-4.233745530247688,80,150.93250412940978,0.2
264.02681635,81920,432.83,24,3305,10,0.0039901454,0.0001,0.5885186791419983,-0.004603053882601671,0.9912757277488708,70.38929748535156,0.02659912109375,-4.2322180569171906,90,155.75075340270996,0.2
271.11844537,90112,421.87,27,3296,11,0.0056737578,0.0001,0.6491264998912811,-0.0052353337116073815,0.9898683428764343,77.55138397216797,0.04248046875,-4.228423216938973,100,157.2547763824463,0.2
290.90832781,98304,411.07,29,3288,12,0.0061650737,0.0001,0.7135052978992462,-0.0055098038370488215,0.9885237812995911,70.87026977539062,0.0455810546875,-4.224281376600265,110,183.7297254562378,0.2
314.74118129999994,106496,423.41,32,3282,13,0.00485262,0.0001,0.7059826552867889,-0.005457090871641412,0.9879087805747986,71.3850326538086,0.03775634765625,-4.221166127920151,120,179.14732427597045,0.2
338.24313579999995,114688,448.7,35,3274,14,0.0023230365,0.0001,0.742315411567688,-0.002899632767366711,0.9879088401794434,80.52008056640625,0.00723876953125,-4.220133665204048,130,184.71391677856445,0.2
326.67250205,122880,424.77,37,3268,15,0.0054820487,0.0001,0.7999471873044968,-0.005150700093145133,0.9864237904548645,64.38375854492188,0.03148193359375,-4.218038034439087,140,131.76282477378845,0.2
325.69561362,131072,444.45,40,3267,16,0.0051498236,0.0001,0.8175971806049347,-0.003757372435211437,0.9851393699645996,66.0304183959961,0.0368408203125,-4.214005926251412,150,143.9978814125061,0.2
324.5935514700001,139264,445.91,42,3264,17,0.002801201,0.0001,0.8618935495615005,-0.0020513026109256318,0.9826240539550781,48.2701416015625,0.0065673828125,-4.208075499534607,160,119.02414073944092,0.2
325.70440302,147456,465.24,45,3262,18,0.0033933055,0.0001,0.8526816666126251,-0.0036135421090875753,0.9820938110351562,72.0876235961914,0.01817626953125,-4.202969539165497,170,146.3494721889496,0.2
331.83152016,155648,469.37,47,3257,19,0.0030149857,0.0001,0.8623788058757782,-0.0035601678013335914,0.9809970855712891,70.00321197509766,0.01864013671875,-4.201425120234489,180,148.58919281959533,0.2
337.88409017,163840,476.89,50,3254,20,0.0042936383,0.0001,0.8900678902864456,-0.0037718204737757334,0.9803616404533386,59.21105194091797,0.03043212890625,-4.1980808198452,190,119.42635540962219,0.2
353.47350142000005,172032,481.85,52,3253,21,0.003368392,0.0001,0.9056499153375626,-0.003184264407900628,0.9805372357368469,46.84177780151367,0.026123046875,-4.198012274503708,200,101.55956192016602,0.2
354.30376600000005,180224,459.31,55,3261,22,0.004666838,0.0001,0.886151984333992,-0.004858572231023572,0.9779913425445557,65.71659088134766,0.03018798828125,-4.194094845652581,210,142.06378917694093,0.2
348.76510265999997,188416,430.53,57,3265,23,0.0035184196,0.0001,0.8801859989762306,-0.0035703790752450006,0.9772585034370422,77.55879974365234,0.02313232421875,-4.188780099153519,220,167.365420627594,0.2
359.43486304,196608,411.82,60,3263,24,0.0049563264,0.0001,0.8383579403162003,-0.004729493133345386,0.9772391319274902,74.07318115234375,0.04056396484375,-4.18776535987854,230,203.92811822891235,0.2
352.01972144,204800,382.93,62,3261,25,0.0041752513,0.0001,0.9093583226203918,-0.0034069983470544686,0.9771981835365295,85.37654876708984,0.029345703125,-4.187619933485985,240,165.60814323425294,0.2
