episode,timestep,episode_reward,episode_length,visited_rooms,explored_pct
1,36,39.7999,36,1,52.44
2,152,-4.2728,116,1,42.48
3,326,116.4922,174,1,56.54
4,481,33.6114,155,1,29.79
5,583,32.0767,102,1,37.89
6,1059,417.9898,476,2,64.84
7,1227,79.8753,168,1,50.78
8,1281,20.493,54,1,40.23
9,1330,55.6811,49,1,41.31
10,1378,-7.3919,48,1,19.73
11,1465,85.5963,87,1,42.29
12,1663,136.0989,198,1,57.42
13,1688,-1.1109,25,1,40.72
14,1773,87.4697,85,2,44.73
15,1865,-17.6161,92,1,28.03
16,1971,-13.5261,106,1,40.62
17,2058,1.2232,87,1,40.23
18,2142,-7.4833,84,1,27.05
19,2169,-4.1895,27,1,18.26
20,2407,191.8614,238,2,53.03
21,2559,28.7909,152,1,28.91
22,2638,-31.2134,79,1,26.37
23,2718,15.8906,80,1,20.02
24,3023,171.9502,305,1,41.6
25,3135,-36.1946,112,1,26.95
26,3206,-33.983,71,1,26.17
27,3343,-8.0401,137,1,42.19
28,3387,-4.4698,44,1,35.64
29,3447,-15.2001,60,1,37.01
30,3507,-14.3497,60,1,27.15
31,3565,-20.7488,58,1,25.39
32,3596,30.0268,31,2,45.9
33,3681,93.1481,85,1,54.0
34,3755,23.1836,74,1,40.53
35,3989,174.2886,234,2,51.37
36,4005,-15.0888,16,1,37.79
37,4091,-29.1995,86,1,25.29
38,4298,202.7301,207,1,55.47
39,4315,-24.3536,17,1,32.32
40,4432,36.8969,117,1,38.18
41,4458,-7.0883,26,1,16.7
42,4527,-11.9505,69,1,19.73
43,4575,-34.0457,48,1,25.88
44,4648,47.8175,73,1,38.96
45,4694,44.6851,46,1,43.46
46,4749,-19.5444,55,1,26.27
47,4862,22.2886,113,1,29.69
48,4924,-11.0654,62,1,19.43
49,4976,-9.435,52,1,38.87
50,5017,-21.3282,41,1,16.41
51,5180,158.4034,163,2,56.64
52,5509,232.5813,329,2,68.95
53,5530,5.1653,21,1,39.36
54,5740,313.2284,210,3,74.12
55,6038,190.4688,298,1,58.5
56,6277,255.3147,239,1,62.4
57,6358,68.2409,81,1,47.56
58,6413,-31.8323,55,1,25.78
59,6446,-13.7955,33,1,36.23
60,6635,35.8737,189,1,42.09
61,6752,128.7014,117,2,54.88
62,6797,-18.1246,45,1,33.4
63,6840,18.3043,43,1,41.7
64,6882,-31.5702,42,1,25.49
65,6907,-13.2193,25,1,34.77
66,6931,-12.9939,24,1,42.48
67,7046,43.5491,115,1,43.16
68,7386,334.7459,340,2,70.61
69,7432,-18.1644,46,1,37.7
70,7460,26.0887,28,1,45.7
71,7558,-0.5238,98,1,39.94
72,7707,39.9705,149,1,21.19
73,7820,31.4011,113,1,45.7
74,7897,-16.5902,77,1,19.53
75,8088,65.05,191,1,45.8
76,8184,-9.1238,96,1,37.21
77,8297,40.1275,113,1,43.07
78,8513,200.15,216,1,48.93
79,8560,-6.8918,47,1,39.16
80,9000,126.4267,440,2,53.42
81,9041,-18.2953,41,1,16.5
82,9085,2.5637,44,1,39.75
83,9120,31.3079,35,1,46.0
84,9162,3.1737,42,1,20.21
85,9218,-23.5462,56,1,37.79
