rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/n_updates,train/learning_rate,train/ent_coef
56.2813345,4,2960,2285,180.25,1,,,,,,
27.331486374999997,8,4496,2161,227.5,2,,,,,,
47.611027538461535,12,4800,2167,287.53846153846155,2,,,,,,
41.770207187500006,16,5296,2203,276.6875,2,,,,,,
32.29072955,20,7480,2293,257.6,3,,,,,,
34.520985708333335,24,8592,2260,287.7083333333333,3,,,,,,
23.745066607142856,28,9968,2252,308.25,4,,,,,,
29.154511656249994,32,10728,1183,298.65625,9,-5.167074978351593,4.790092051029205,-0.23992216726765037,64,0.001,0.9536257088184357
35.315530805555554,36,11696,901,296.8611111111111,12,-8.603444576263428,5.893499244004488,-0.8803488053381443,192,0.001,0.8390979804098606
46.35706235,40,14936,646,298.45,23,-21.057627081871033,4.214097961783409,-2.6130678579211235,608,0.001,0.560894763097167
79.24417247727273,44,15688,618,325.8636363636364,25,-23.614768743515015,4.572134874761105,-2.9230087101459503,704,0.001,0.5129776522517204
105.83695233333333,48,17824,571,336.75,31,-30.039114475250244,4.2971338629722595,-3.6294025182724,960,0.001,0.407274940982461
117.11263869230768,52,20080,537,343.86538461538464,37,-35.230082750320435,4.748265661299229,-3.973936587572098,1248,0.001,0.3192613320425153
131.4795246607143,56,21472,523,350.5,41,-37.907498598098755,4.924933701753616,-3.7639016658067703,1408,0.001,0.2817662311717868
146.10694461666665,60,22624,509,354.9,44,-40.4063481092453,5.095989562571049,-3.8109448328614235,1568,0.001,0.2509903353638947
152.91522871875,64,24928,494,356.703125,50,-44.43762826919556,6.004079677164555,-3.169432371854782,1856,0.001,0.20955132832750678
169.5701236764706,68,26088,489,358.7352941176471,53,-46.467241048812866,5.975292846560478,-2.82677960395813,1984,0.001,0.19529097666963935
182.5837444861111,72,27056,484,359.72222222222223,55,-48.63161373138428,5.954727791249752,-2.2604211755096912,2112,0.001,0.18334902077913284
193.23025942105258,76,27872,481,346.5263157894737,57,-50.169150829315186,6.636935085058212,-2.1671450808644295,2208,0.001,0.17654210049659014
198.64071610000002,80,29568,470,348.675,62,-53.40102696418762,8.546673879027367,-1.5667768083512783,2432,0.001,0.16302757756784558
198.3415294880953,84,32064,461,353.8095238095238,69,-56.873783469200134,7.753751218318939,-1.9188657402992249,2752,0.001,0.1456346116028726
201.90389657954546,88,34200,456,365.0,74,-58.856557726860046,8.610224783420563,-1.4881450720131397,3008,0.001,0.13224606169387698
205.07290957608694,92,36864,452,375.2173913043478,81,-61.83490014076233,8.37497065961361,-1.1542099959915504,3328,0.001,0.11884633963927627
203.70884345360827,96,38880,445,378.0927835051546,87,-63.83941662311554,11.031634375452995,-1.4024992901831865,3584,0.001,0.10885907430201769
204.23678735,100,39384,442,384.75,89,-64.14240312576294,12.419248819351196,-1.1619848555419594,3648,0.001,0.10637926985509694
210.84283856,104,43256,425,396.49,101,-67.59802854061127,11.48184223473072,-1.0975453075952828,4128,0.001,0.09155094088055193
217.38936375999998,108,43968,423,403.61,103,-67.96758651733398,10.704374343156815,-0.7537652398459613,4224,0.001,0.08831254695542157
220.26602124000001,112,45400,421,409.49,107,-70.26809239387512,11.491646707057953,-0.37567896489053965,4416,0.001,0.08532686298713088
